phase,scenario,repeat,policy,selected_policy,n_cores,cpus,loads,status,decode_tok_s,generation_decode_ms,speedup,baseline_tok_s,selected_tok_s,selected_speedup,elapsed_s,output_tail
candidate,2c_balanced_mid,0,baseline_no_svd,,2,"60,61","50,50",ok,10.7391,93.1174,1.0,,,,0.9319489002227783,"llama_context: graph splits = 1
attach_threadpool: call
threads: decode=2 batch=2
prompt tokens: 4
running one forward pass (llama_decode) ...
Top-5 next-token candidates:
  id=11 logit=20.2053 piece="",""
  id=304 logit=18.9277 piece="" in""
  id=3837 logit=18.7558 piece=""，""
  id=1052 logit=18.5616 piece="" there""
  id=358 logit=17.8374 piece="" I""
Autoregressive generation:
Generated text: ,
Decode-only throughput: 10.7391 tokens/s (1 tokens in 0.0931174 s of llama_decode)
End-to-end throughput: 10.7 tokens/s (1 tokens in 0.0934579 s)
[decode-stage-profile] model_load=396.491 ms context_create=58.8819 ms tokenize=0.451392 ms prefill_decode=206.49 ms generation_decode=93.1174 ms generation_total=93.4579 ms program_total=773.003 ms
[svd-local-op-profile] up_ops=56 gate_ops=56 down_ops=56 up_total=86.105 ms gate_total=85.134 ms down_total=74.904 ms up_v=12.583 ms gate_v=12.727 ms down_v=59.244 ms up_u=73.516 ms gate_u=72.399 ms down_u=15.654 ms
[svd-local-stage-profile] attention_total=1.660 ms ffn_total=248.170 ms ffn_svd_total=246.143 ms ffn_svd_v=84.554 ms ffn_svd_u=161.569 ms
[svd-offload-zero-profile] up_finish=0 up_cache=0 up_no_request=27 gate_finish=0 gate_cache=0 gate_no_request=27 down_finish=0 down_cache=0 down_no_request=27 other_finish=0 other_cache=0 other_no_request=0
[svd-local-timeout-profile] up_keep=0 up_drop=0 up_wait=0.000 ms gate_keep=0 gate_drop=0 gate_wait=0.000 ms down_keep=0 down_drop=0 down_wait=0.000 ms other_keep=0 other_drop=0 other_wait=0.000 ms
[svd-offload-client] up_gate_req=0 down_req=0 other_mat_req=0 ffn_req=0 gate_cache_hits=0 gate_cache_checks=0 miss_invalid=0 miss_layer=0 miss_rank=0 miss_hash=0 miss_output=0 miss_data=0 send_up_gate=0.000 ms send_down=0.000 ms send_other=0.000 ms send_ffn=0.000 ms wait_up_gate=0.000 ms wait_down=0.000 ms wait_other=0.000 ms wait_ffn=0.000 ms
[svd-offload-client-stage-profile] rpc_send_total=0.000 ms rpc_wait_total=0.000 ms
[svd-offload-client-debug] finish_fail_up_gate=0 finish_fail_down=0 finish_fail_other=0 finish_fail_ffn=0 cache_take_fail_up=0 cache_take_fail_gate=0 recv_up_sum_abs=0.000000e+00 recv_up_max_abs=0.000000e+00 recv_up_zero=0 recv_gate_sum_abs=0.000000e+00 recv_gate_max_abs=0.000000e+00 recv_gate_zero=0 recv_down_sum_abs=0.000000e+00 recv_down_max_abs=0.000000e+00 recv_down_zero=0 recv_other_sum_abs=0.000000e+00 recv_other_max_abs=0.000000e+00 recv_other_zero=0 recv_ffn_sum_abs=0.000000e+00 recv_ffn_max_abs=0.000000e+00 recv_ffn_zero=0
SUCCEED (one forward pass done)"
candidate,2c_balanced_mid,0,all_0.35,,2,"60,61","50,50",ok,11.2021,89.2687,1.0431134825078452,,,,0.9351508617401123,"llama_context: graph splits = 1
attach_threadpool: call
threads: decode=2 batch=2
prompt tokens: 4
running one forward pass (llama_decode) ...
Top-5 next-token candidates:
  id=3 logit=0 piece=""$""
  id=4 logit=0 piece=""%""
  id=1 logit=0 piece=""""""
  id=0 logit=0 piece=""!""
  id=2 logit=0 piece=""#""
Autoregressive generation:
Generated text: !
Decode-only throughput: 11.2021 tokens/s (1 tokens in 0.0892687 s of llama_decode)
End-to-end throughput: 11.1636 tokens/s (1 tokens in 0.0895767 s)
[decode-stage-profile] model_load=463.651 ms context_create=59.2414 ms tokenize=0.46158 ms prefill_decode=157.829 ms generation_decode=89.2687 ms generation_total=89.5767 ms program_total=787.268 ms
[svd-local-op-profile] up_ops=56 gate_ops=56 down_ops=56 up_total=72.774 ms gate_total=68.488 ms down_total=52.311 ms up_v=8.647 ms gate_v=8.623 ms down_v=41.614 ms up_u=64.123 ms gate_u=59.859 ms down_u=10.693 ms
[svd-local-stage-profile] attention_total=1.629 ms ffn_total=195.419 ms ffn_svd_total=193.573 ms ffn_svd_v=58.884 ms ffn_svd_u=134.675 ms
[svd-offload-zero-profile] up_finish=0 up_cache=0 up_no_request=27 gate_finish=0 gate_cache=0 gate_no_request=27 down_finish=0 down_cache=0 down_no_request=27 other_finish=0 other_cache=0 other_no_request=0
[svd-local-timeout-profile] up_keep=0 up_drop=0 up_wait=0.000 ms gate_keep=0 gate_drop=0 gate_wait=0.000 ms down_keep=0 down_drop=0 down_wait=0.000 ms other_keep=0 other_drop=0 other_wait=0.000 ms
[svd-offload-client] up_gate_req=0 down_req=0 other_mat_req=0 ffn_req=0 gate_cache_hits=0 gate_cache_checks=0 miss_invalid=0 miss_layer=0 miss_rank=0 miss_hash=0 miss_output=0 miss_data=0 send_up_gate=0.000 ms send_down=0.000 ms send_other=0.000 ms send_ffn=0.000 ms wait_up_gate=0.000 ms wait_down=0.000 ms wait_other=0.000 ms wait_ffn=0.000 ms
[svd-offload-client-stage-profile] rpc_send_total=0.000 ms rpc_wait_total=0.000 ms
[svd-offload-client-debug] finish_fail_up_gate=0 finish_fail_down=0 finish_fail_other=0 finish_fail_ffn=0 cache_take_fail_up=0 cache_take_fail_gate=0 recv_up_sum_abs=0.000000e+00 recv_up_max_abs=0.000000e+00 recv_up_zero=0 recv_gate_sum_abs=0.000000e+00 recv_gate_max_abs=0.000000e+00 recv_gate_zero=0 recv_down_sum_abs=0.000000e+00 recv_down_max_abs=0.000000e+00 recv_down_zero=0 recv_other_sum_abs=0.000000e+00 recv_other_max_abs=0.000000e+00 recv_other_zero=0 recv_ffn_sum_abs=0.000000e+00 recv_ffn_max_abs=0.000000e+00 recv_ffn_zero=0
SUCCEED (one forward pass done)"
candidate,2c_balanced_mid,0,all_0.4,,2,"60,61","50,50",ok,11.6724,85.6721,1.086906724027153,,,,0.9029459953308105,"llama_context: graph splits = 1
attach_threadpool: call
threads: decode=2 batch=2
prompt tokens: 4
running one forward pass (llama_decode) ...
Top-5 next-token candidates:
  id=3 logit=0 piece=""$""
  id=4 logit=0 piece=""%""
  id=1 logit=0 piece=""""""
  id=0 logit=0 piece=""!""
  id=2 logit=0 piece=""#""
Autoregressive generation:
Generated text: !
Decode-only throughput: 11.6724 tokens/s (1 tokens in 0.0856721 s of llama_decode)
End-to-end throughput: 11.6262 tokens/s (1 tokens in 0.0860123 s)
[decode-stage-profile] model_load=403.873 ms context_create=70.3435 ms tokenize=0.891754 ms prefill_decode=138.489 ms generation_decode=85.6721 ms generation_total=86.0123 ms program_total=717.048 ms
[svd-local-op-profile] up_ops=56 gate_ops=56 down_ops=56 up_total=64.246 ms gate_total=61.084 ms down_total=43.743 ms up_v=7.981 ms gate_v=7.606 ms down_v=34.154 ms up_u=56.256 ms gate_u=53.472 ms down_u=9.582 ms
[svd-local-stage-profile] attention_total=1.710 ms ffn_total=171.111 ms ffn_svd_total=169.073 ms ffn_svd_v=49.741 ms ffn_svd_u=119.310 ms
[svd-offload-zero-profile] up_finish=0 up_cache=0 up_no_request=27 gate_finish=0 gate_cache=0 gate_no_request=27 down_finish=0 down_cache=0 down_no_request=27 other_finish=0 other_cache=0 other_no_request=0
[svd-local-timeout-profile] up_keep=0 up_drop=0 up_wait=0.000 ms gate_keep=0 gate_drop=0 gate_wait=0.000 ms down_keep=0 down_drop=0 down_wait=0.000 ms other_keep=0 other_drop=0 other_wait=0.000 ms
[svd-offload-client] up_gate_req=0 down_req=0 other_mat_req=0 ffn_req=0 gate_cache_hits=0 gate_cache_checks=0 miss_invalid=0 miss_layer=0 miss_rank=0 miss_hash=0 miss_output=0 miss_data=0 send_up_gate=0.000 ms send_down=0.000 ms send_other=0.000 ms send_ffn=0.000 ms wait_up_gate=0.000 ms wait_down=0.000 ms wait_other=0.000 ms wait_ffn=0.000 ms
[svd-offload-client-stage-profile] rpc_send_total=0.000 ms rpc_wait_total=0.000 ms
[svd-offload-client-debug] finish_fail_up_gate=0 finish_fail_down=0 finish_fail_other=0 finish_fail_ffn=0 cache_take_fail_up=0 cache_take_fail_gate=0 recv_up_sum_abs=0.000000e+00 recv_up_max_abs=0.000000e+00 recv_up_zero=0 recv_gate_sum_abs=0.000000e+00 recv_gate_max_abs=0.000000e+00 recv_gate_zero=0 recv_down_sum_abs=0.000000e+00 recv_down_max_abs=0.000000e+00 recv_down_zero=0 recv_other_sum_abs=0.000000e+00 recv_other_max_abs=0.000000e+00 recv_other_zero=0 recv_ffn_sum_abs=0.000000e+00 recv_ffn_max_abs=0.000000e+00 recv_ffn_zero=0
SUCCEED (one forward pass done)"
candidate,2c_balanced_mid,0,all_0.5,,2,"60,61","50,50",ok,12.4398,80.3874,1.1583652261362682,,,,0.8105466365814209,"llama_context: graph splits = 1
attach_threadpool: call
threads: decode=2 batch=2
prompt tokens: 4
running one forward pass (llama_decode) ...
Top-5 next-token candidates:
  id=11 logit=15.272 piece="",""
  id=12 logit=14.9123 piece=""-""
  id=51730 logit=14.8613 piece="" Ri""
  id=6216 logit=14.8165 piece="" ir""
  id=472 logit=14.5534 piece="" H""
Autoregressive generation:
Generated text: ,
Decode-only throughput: 12.4398 tokens/s (1 tokens in 0.0803874 s of llama_decode)
End-to-end throughput: 12.3955 tokens/s (1 tokens in 0.0806746 s)
[decode-stage-profile] model_load=372.452 ms context_create=56.4796 ms tokenize=0.430481 ms prefill_decode=137.401 ms generation_decode=80.3874 ms generation_total=80.6746 ms program_total=664.065 ms
[svd-local-op-profile] up_ops=56 gate_ops=56 down_ops=56 up_total=66.362 ms gate_total=59.490 ms down_total=38.436 ms up_v=6.766 ms gate_v=6.613 ms down_v=28.947 ms up_u=59.592 ms gate_u=52.873 ms down_u=9.485 ms
[svd-local-stage-profile] attention_total=1.646 ms ffn_total=166.032 ms ffn_svd_total=164.288 ms ffn_svd_v=42.326 ms ffn_svd_u=121.950 ms
[svd-offload-zero-profile] up_finish=0 up_cache=0 up_no_request=27 gate_finish=0 gate_cache=0 gate_no_request=27 down_finish=0 down_cache=0 down_no_request=27 other_finish=0 other_cache=0 other_no_request=0
[svd-local-timeout-profile] up_keep=0 up_drop=0 up_wait=0.000 ms gate_keep=0 gate_drop=0 gate_wait=0.000 ms down_keep=0 down_drop=0 down_wait=0.000 ms other_keep=0 other_drop=0 other_wait=0.000 ms
[svd-offload-client] up_gate_req=0 down_req=0 other_mat_req=0 ffn_req=0 gate_cache_hits=0 gate_cache_checks=0 miss_invalid=0 miss_layer=0 miss_rank=0 miss_hash=0 miss_output=0 miss_data=0 send_up_gate=0.000 ms send_down=0.000 ms send_other=0.000 ms send_ffn=0.000 ms wait_up_gate=0.000 ms wait_down=0.000 ms wait_other=0.000 ms wait_ffn=0.000 ms
[svd-offload-client-stage-profile] rpc_send_total=0.000 ms rpc_wait_total=0.000 ms
[svd-offload-client-debug] finish_fail_up_gate=0 finish_fail_down=0 finish_fail_other=0 finish_fail_ffn=0 cache_take_fail_up=0 cache_take_fail_gate=0 recv_up_sum_abs=0.000000e+00 recv_up_max_abs=0.000000e+00 recv_up_zero=0 recv_gate_sum_abs=0.000000e+00 recv_gate_max_abs=0.000000e+00 recv_gate_zero=0 recv_down_sum_abs=0.000000e+00 recv_down_max_abs=0.000000e+00 recv_down_zero=0 recv_other_sum_abs=0.000000e+00 recv_other_max_abs=0.000000e+00 recv_other_zero=0 recv_ffn_sum_abs=0.000000e+00 recv_ffn_max_abs=0.000000e+00 recv_ffn_zero=0
SUCCEED (one forward pass done)"
candidate,2c_balanced_mid,0,all_0.6,,2,"60,61","50,50",ok,12.2754,81.4639,1.1430566807274352,,,,0.846825361251831,"llama_context: graph splits = 1
attach_threadpool: call
threads: decode=2 batch=2
prompt tokens: 4
running one forward pass (llama_decode) ...
Top-5 next-token candidates:
  id=548 logit=12.187 piece="" pr""
  id=62 logit=11.6986 piece=""_""
  id=512 logit=11.4494 piece="" le""
  id=9985 logit=11.4267 piece=""CM""
  id=1315 logit=11.4123 piece=""ait""
Autoregressive generation:
Generated text:  pr
Decode-only throughput: 12.2754 tokens/s (1 tokens in 0.0814639 s of llama_decode)
End-to-end throughput: 12.2308 tokens/s (1 tokens in 0.0817611 s)
[decode-stage-profile] model_load=377.363 ms context_create=57.186 ms tokenize=0.881904 ms prefill_decode=118.788 ms generation_decode=81.4639 ms generation_total=81.7611 ms program_total=653.196 ms
[svd-local-op-profile] up_ops=56 gate_ops=56 down_ops=56 up_total=53.869 ms gate_total=57.317 ms down_total=34.548 ms up_v=5.543 ms gate_v=5.260 ms down_v=22.967 ms up_u=48.320 ms gate_u=52.053 ms down_u=11.574 ms
[svd-local-stage-profile] attention_total=1.750 ms ffn_total=147.677 ms ffn_svd_total=145.734 ms ffn_svd_v=33.770 ms ffn_svd_u=111.947 ms
[svd-offload-zero-profile] up_finish=0 up_cache=0 up_no_request=27 gate_finish=0 gate_cache=0 gate_no_request=27 down_finish=0 down_cache=0 down_no_request=27 other_finish=0 other_cache=0 other_no_request=0
[svd-local-timeout-profile] up_keep=0 up_drop=0 up_wait=0.000 ms gate_keep=0 gate_drop=0 gate_wait=0.000 ms down_keep=0 down_drop=0 down_wait=0.000 ms other_keep=0 other_drop=0 other_wait=0.000 ms
[svd-offload-client] up_gate_req=0 down_req=0 other_mat_req=0 ffn_req=0 gate_cache_hits=0 gate_cache_checks=0 miss_invalid=0 miss_layer=0 miss_rank=0 miss_hash=0 miss_output=0 miss_data=0 send_up_gate=0.000 ms send_down=0.000 ms send_other=0.000 ms send_ffn=0.000 ms wait_up_gate=0.000 ms wait_down=0.000 ms wait_other=0.000 ms wait_ffn=0.000 ms
[svd-offload-client-stage-profile] rpc_send_total=0.000 ms rpc_wait_total=0.000 ms
[svd-offload-client-debug] finish_fail_up_gate=0 finish_fail_down=0 finish_fail_other=0 finish_fail_ffn=0 cache_take_fail_up=0 cache_take_fail_gate=0 recv_up_sum_abs=0.000000e+00 recv_up_max_abs=0.000000e+00 recv_up_zero=0 recv_gate_sum_abs=0.000000e+00 recv_gate_max_abs=0.000000e+00 recv_gate_zero=0 recv_down_sum_abs=0.000000e+00 recv_down_max_abs=0.000000e+00 recv_down_zero=0 recv_other_sum_abs=0.000000e+00 recv_other_max_abs=0.000000e+00 recv_other_zero=0 recv_ffn_sum_abs=0.000000e+00 recv_ffn_max_abs=0.000000e+00 recv_ffn_zero=0
SUCCEED (one forward pass done)"
candidate,2c_balanced_mid,0,trunc_even_0.8,,2,"60,61","50,50",ok,12.7038,78.7168,1.1829482917562923,,,,0.8111212253570557,"llama_context: graph splits = 1
attach_threadpool: call
threads: decode=2 batch=2
prompt tokens: 4
running one forward pass (llama_decode) ...
Top-5 next-token candidates:
  id=3 logit=0 piece=""$""
  id=4 logit=0 piece=""%""
  id=1 logit=0 piece=""""""
  id=0 logit=0 piece=""!""
  id=2 logit=0 piece=""#""
Autoregressive generation:
Generated text: !
Decode-only throughput: 12.7038 tokens/s (1 tokens in 0.0787168 s of llama_decode)
End-to-end throughput: 12.6538 tokens/s (1 tokens in 0.0790274 s)
[decode-stage-profile] model_load=378.238 ms context_create=59.0649 ms tokenize=0.431704 ms prefill_decode=114.166 ms generation_decode=78.7168 ms generation_total=79.0274 ms program_total=647.805 ms
[svd-local-op-profile] up_ops=56 gate_ops=56 down_ops=56 up_total=55.030 ms gate_total=50.641 ms down_total=37.565 ms up_v=10.218 ms gate_v=5.972 ms down_v=29.443 ms up_u=44.803 ms gate_u=44.664 ms down_u=8.118 ms
[svd-local-stage-profile] attention_total=1.600 ms ffn_total=144.899 ms ffn_svd_total=143.236 ms ffn_svd_v=45.633 ms ffn_svd_u=97.585 ms
[svd-offload-zero-profile] up_finish=0 up_cache=0 up_no_request=27 gate_finish=0 gate_cache=0 gate_no_request=27 down_finish=0 down_cache=0 down_no_request=27 other_finish=0 other_cache=0 other_no_request=0
[svd-local-timeout-profile] up_keep=0 up_drop=0 up_wait=0.000 ms gate_keep=0 gate_drop=0 gate_wait=0.000 ms down_keep=0 down_drop=0 down_wait=0.000 ms other_keep=0 other_drop=0 other_wait=0.000 ms
[svd-offload-client] up_gate_req=0 down_req=0 other_mat_req=0 ffn_req=0 gate_cache_hits=0 gate_cache_checks=0 miss_invalid=0 miss_layer=0 miss_rank=0 miss_hash=0 miss_output=0 miss_data=0 send_up_gate=0.000 ms send_down=0.000 ms send_other=0.000 ms send_ffn=0.000 ms wait_up_gate=0.000 ms wait_down=0.000 ms wait_other=0.000 ms wait_ffn=0.000 ms
[svd-offload-client-stage-profile] rpc_send_total=0.000 ms rpc_wait_total=0.000 ms
[svd-offload-client-debug] finish_fail_up_gate=0 finish_fail_down=0 finish_fail_other=0 finish_fail_ffn=0 cache_take_fail_up=0 cache_take_fail_gate=0 recv_up_sum_abs=0.000000e+00 recv_up_max_abs=0.000000e+00 recv_up_zero=0 recv_gate_sum_abs=0.000000e+00 recv_gate_max_abs=0.000000e+00 recv_gate_zero=0 recv_down_sum_abs=0.000000e+00 recv_down_max_abs=0.000000e+00 recv_down_zero=0 recv_other_sum_abs=0.000000e+00 recv_other_max_abs=0.000000e+00 recv_other_zero=0 recv_ffn_sum_abs=0.000000e+00 recv_ffn_max_abs=0.000000e+00 recv_ffn_zero=0
SUCCEED (one forward pass done)"
candidate,2c_balanced_mid,0,trunc_even_0.85,,2,"60,61","50,50",ok,13.5473,73.8155,1.2614930487657252,,,,0.9227590560913086,"llama_context: graph splits = 1
attach_threadpool: call
threads: decode=2 batch=2
prompt tokens: 4
running one forward pass (llama_decode) ...
Top-5 next-token candidates:
  id=3 logit=0 piece=""$""
  id=4 logit=0 piece=""%""
  id=1 logit=0 piece=""""""
  id=0 logit=0 piece=""!""
  id=2 logit=0 piece=""#""
Autoregressive generation:
Generated text: !
Decode-only throughput: 13.5473 tokens/s (1 tokens in 0.0738155 s of llama_decode)
End-to-end throughput: 13.4911 tokens/s (1 tokens in 0.0741227 s)
[decode-stage-profile] model_load=520.252 ms context_create=55.3735 ms tokenize=0.43366 ms prefill_decode=106.243 ms generation_decode=73.8155 ms generation_total=74.1227 ms program_total=773.561 ms
[svd-local-op-profile] up_ops=56 gate_ops=56 down_ops=56 up_total=48.388 ms gate_total=47.798 ms down_total=34.898 ms up_v=5.803 ms gate_v=5.579 ms down_v=27.319 ms up_u=42.582 ms gate_u=42.216 ms down_u=7.574 ms
[svd-local-stage-profile] attention_total=1.439 ms ffn_total=132.591 ms ffn_svd_total=131.084 ms ffn_svd_v=38.701 ms ffn_svd_u=92.372 ms
[svd-offload-zero-profile] up_finish=0 up_cache=0 up_no_request=27 gate_finish=0 gate_cache=0 gate_no_request=27 down_finish=0 down_cache=0 down_no_request=27 other_finish=0 other_cache=0 other_no_request=0
[svd-local-timeout-profile] up_keep=0 up_drop=0 up_wait=0.000 ms gate_keep=0 gate_drop=0 gate_wait=0.000 ms down_keep=0 down_drop=0 down_wait=0.000 ms other_keep=0 other_drop=0 other_wait=0.000 ms
[svd-offload-client] up_gate_req=0 down_req=0 other_mat_req=0 ffn_req=0 gate_cache_hits=0 gate_cache_checks=0 miss_invalid=0 miss_layer=0 miss_rank=0 miss_hash=0 miss_output=0 miss_data=0 send_up_gate=0.000 ms send_down=0.000 ms send_other=0.000 ms send_ffn=0.000 ms wait_up_gate=0.000 ms wait_down=0.000 ms wait_other=0.000 ms wait_ffn=0.000 ms
[svd-offload-client-stage-profile] rpc_send_total=0.000 ms rpc_wait_total=0.000 ms
[svd-offload-client-debug] finish_fail_up_gate=0 finish_fail_down=0 finish_fail_other=0 finish_fail_ffn=0 cache_take_fail_up=0 cache_take_fail_gate=0 recv_up_sum_abs=0.000000e+00 recv_up_max_abs=0.000000e+00 recv_up_zero=0 recv_gate_sum_abs=0.000000e+00 recv_gate_max_abs=0.000000e+00 recv_gate_zero=0 recv_down_sum_abs=0.000000e+00 recv_down_max_abs=0.000000e+00 recv_down_zero=0 recv_other_sum_abs=0.000000e+00 recv_other_max_abs=0.000000e+00 recv_other_zero=0 recv_ffn_sum_abs=0.000000e+00 recv_ffn_max_abs=0.000000e+00 recv_ffn_zero=0
SUCCEED (one forward pass done)"
selected,2c_balanced_mid,0,all_0.6,all_0.6,2,"60,61","50,50",ok,,,,10.7391,12.2754,1.1430566807274352,,
candidate,2c_balanced_mid,1,baseline_no_svd,,2,"60,61","50,50",ok,11.7218,85.3115,1.0,,,,0.9376327991485596,"llama_context: graph splits = 1
attach_threadpool: call
threads: decode=2 batch=2
prompt tokens: 4
running one forward pass (llama_decode) ...
Top-5 next-token candidates:
  id=11 logit=20.2053 piece="",""
  id=304 logit=18.9277 piece="" in""
  id=3837 logit=18.7558 piece=""，""
  id=1052 logit=18.5616 piece="" there""
  id=358 logit=17.8374 piece="" I""
Autoregressive generation:
Generated text: ,
Decode-only throughput: 11.7218 tokens/s (1 tokens in 0.0853115 s of llama_decode)
End-to-end throughput: 11.68 tokens/s (1 tokens in 0.0856164 s)
[decode-stage-profile] model_load=480.788 ms context_create=55.359 ms tokenize=0.450023 ms prefill_decode=143.52 ms generation_decode=85.3115 ms generation_total=85.6164 ms program_total=782.894 ms
[svd-local-op-profile] up_ops=56 gate_ops=56 down_ops=56 up_total=66.301 ms gate_total=61.381 ms down_total=53.361 ms up_v=9.488 ms gate_v=9.203 ms down_v=44.204 ms up_u=56.810 ms gate_u=52.171 ms down_u=9.154 ms
[svd-local-stage-profile] attention_total=1.505 ms ffn_total=182.724 ms ffn_svd_total=181.043 ms ffn_svd_v=62.895 ms ffn_svd_u=118.135 ms
[svd-offload-zero-profile] up_finish=0 up_cache=0 up_no_request=27 gate_finish=0 gate_cache=0 gate_no_request=27 down_finish=0 down_cache=0 down_no_request=27 other_finish=0 other_cache=0 other_no_request=0
[svd-local-timeout-profile] up_keep=0 up_drop=0 up_wait=0.000 ms gate_keep=0 gate_drop=0 gate_wait=0.000 ms down_keep=0 down_drop=0 down_wait=0.000 ms other_keep=0 other_drop=0 other_wait=0.000 ms
[svd-offload-client] up_gate_req=0 down_req=0 other_mat_req=0 ffn_req=0 gate_cache_hits=0 gate_cache_checks=0 miss_invalid=0 miss_layer=0 miss_rank=0 miss_hash=0 miss_output=0 miss_data=0 send_up_gate=0.000 ms send_down=0.000 ms send_other=0.000 ms send_ffn=0.000 ms wait_up_gate=0.000 ms wait_down=0.000 ms wait_other=0.000 ms wait_ffn=0.000 ms
[svd-offload-client-stage-profile] rpc_send_total=0.000 ms rpc_wait_total=0.000 ms
[svd-offload-client-debug] finish_fail_up_gate=0 finish_fail_down=0 finish_fail_other=0 finish_fail_ffn=0 cache_take_fail_up=0 cache_take_fail_gate=0 recv_up_sum_abs=0.000000e+00 recv_up_max_abs=0.000000e+00 recv_up_zero=0 recv_gate_sum_abs=0.000000e+00 recv_gate_max_abs=0.000000e+00 recv_gate_zero=0 recv_down_sum_abs=0.000000e+00 recv_down_max_abs=0.000000e+00 recv_down_zero=0 recv_other_sum_abs=0.000000e+00 recv_other_max_abs=0.000000e+00 recv_other_zero=0 recv_ffn_sum_abs=0.000000e+00 recv_ffn_max_abs=0.000000e+00 recv_ffn_zero=0
SUCCEED (one forward pass done)"
candidate,2c_balanced_mid,1,all_0.35,,2,"60,61","50,50",ok,12.9969,76.9411,1.1087802214676927,,,,0.8587844371795654,"llama_context: graph splits = 1
attach_threadpool: call
threads: decode=2 batch=2
prompt tokens: 4
running one forward pass (llama_decode) ...
Top-5 next-token candidates:
  id=3 logit=0 piece=""$""
  id=4 logit=0 piece=""%""
  id=1 logit=0 piece=""""""
  id=0 logit=0 piece=""!""
  id=2 logit=0 piece=""#""
Autoregressive generation:
Generated text: !
Decode-only throughput: 12.9969 tokens/s (1 tokens in 0.0769411 s of llama_decode)
End-to-end throughput: 12.9442 tokens/s (1 tokens in 0.0772547 s)
[decode-stage-profile] model_load=378.839 ms context_create=70.7989 ms tokenize=0.848574 ms prefill_decode=158.169 ms generation_decode=76.9411 ms generation_total=77.2547 ms program_total=702.528 ms
[svd-local-op-profile] up_ops=56 gate_ops=56 down_ops=56 up_total=69.294 ms gate_total=64.808 ms down_total=46.769 ms up_v=8.486 ms gate_v=8.219 ms down_v=36.493 ms up_u=60.803 ms gate_u=56.582 ms down_u=10.269 ms
[svd-local-stage-profile] attention_total=4.654 ms ffn_total=182.729 ms ffn_svd_total=180.871 ms ffn_svd_v=53.198 ms ffn_svd_u=127.654 ms
[svd-offload-zero-profile] up_finish=0 up_cache=0 up_no_request=27 gate_finish=0 gate_cache=0 gate_no_request=27 down_finish=0 down_cache=0 down_no_request=27 other_finish=0 other_cache=0 other_no_request=0
[svd-local-timeout-profile] up_keep=0 up_drop=0 up_wait=0.000 ms gate_keep=0 gate_drop=0 gate_wait=0.000 ms down_keep=0 down_drop=0 down_wait=0.000 ms other_keep=0 other_drop=0 other_wait=0.000 ms
[svd-offload-client] up_gate_req=0 down_req=0 other_mat_req=0 ffn_req=0 gate_cache_hits=0 gate_cache_checks=0 miss_invalid=0 miss_layer=0 miss_rank=0 miss_hash=0 miss_output=0 miss_data=0 send_up_gate=0.000 ms send_down=0.000 ms send_other=0.000 ms send_ffn=0.000 ms wait_up_gate=0.000 ms wait_down=0.000 ms wait_other=0.000 ms wait_ffn=0.000 ms
[svd-offload-client-stage-profile] rpc_send_total=0.000 ms rpc_wait_total=0.000 ms
[svd-offload-client-debug] finish_fail_up_gate=0 finish_fail_down=0 finish_fail_other=0 finish_fail_ffn=0 cache_take_fail_up=0 cache_take_fail_gate=0 recv_up_sum_abs=0.000000e+00 recv_up_max_abs=0.000000e+00 recv_up_zero=0 recv_gate_sum_abs=0.000000e+00 recv_gate_max_abs=0.000000e+00 recv_gate_zero=0 recv_down_sum_abs=0.000000e+00 recv_down_max_abs=0.000000e+00 recv_down_zero=0 recv_other_sum_abs=0.000000e+00 recv_other_max_abs=0.000000e+00 recv_other_zero=0 recv_ffn_sum_abs=0.000000e+00 recv_ffn_max_abs=0.000000e+00 recv_ffn_zero=0
SUCCEED (one forward pass done)"
