scenario,n_cores,cpus,loads,calibration_baseline_tok_s,calibration_best_policy,calibration_best_tok_s,calibration_best_speedup,selected_policy,validation_baseline_tok_s,validation_scheduler_tok_s,validation_speedup
2c_balanced_mid,2,"60,61","50,50",9.76939,trunc_even_0.8,13.1468,1.3457134990004496,trunc_even_0.8,11.5044,11.1746,0.9713327074858314
2c_asym_low_high,2,"60,61","20,80",11.9005,trunc_even_0.8,13.5131,1.135506911474308,trunc_even_0.8,11.6182,12.9253,1.112504518772271
2c_idle_saturated,2,"60,61","0,100",11.7074,trunc_even_0.8,13.1483,1.123076003211644,trunc_even_0.8,11.8492,13.1785,1.1121847888465044
2c_high,2,"60,61","80,100",11.8098,trunc_even_0.85,13.5035,1.143414791105692,trunc_even_0.85,11.7394,13.3147,1.134189140841951
4c_gradient,4,"60,61,62,63","0,20,60,100",15.5921,trunc_even_0.8,19.3898,1.243565651836507,trunc_even_0.8,16.5927,21.6125,1.3025306309401121
4c_balanced_high,4,"60,61,62,63","20,40,60,80",4.65388,trunc_even_0.85,24.5371,5.272396366042957,trunc_even_0.85,20.576,23.6089,1.1473998833592534
4c_front_hot,4,"60,61,62,63","90,70,20,0",20.8768,trunc_even_0.8,23.1575,1.1092456698344573,trunc_even_0.8,19.65,22.8659,1.1636590330788805
4c_high,4,"60,61,62,63","70,80,90,100",21.1255,trunc_even_0.8,23.5634,1.1154008189155287,trunc_even_0.8,19.9995,22.0429,1.1021725543138579
8c_mixed,8,"60,61,62,63,64,65,66,67","0,20,40,60,80,100,30,50",23.7578,trunc_even_0.9,39.1992,1.6499507530158515,trunc_even_0.9,0.275754,4.90434,17.785199852042037
8c_front_hot,8,"60,61,62,63,64,65,66,67","100,90,80,70,30,20,10,0",26.4187,baseline_no_svd,26.4187,1.0,baseline_no_svd,27.1387,27.1387,1.0
8c_high,8,"60,61,62,63,64,65,66,67","30,40,50,60,70,80,90,100",30.8038,trunc_even_0.8,34.0564,1.1055908686590614,trunc_even_0.8,30.0372,33.3246,1.1094442890815388
