scenario,config_id,occupied_count,loads,occupied_loads,baseline_tok_s,selected_policy,selected_cpus,selected_tok_s,speedup,note
2occ_config1,1,2,"10,10,0,0,0,0,0,0",10/10,29.2308,基线,"60,61,62,63,64,65,66,67",29.2308,1.0,
4occ_config1,1,4,"10,10,10,10,0,0,0,0",10/10/10/10,23.2328,No-Offloading 空闲核,"64,65,66,67",23.242,1.000395991873558,
6occ_config1,1,6,"10,10,10,10,10,10,0,0",10/10/10/10/10/10,45.0032,基线,"60,61,62,63,64,65,66,67",45.0032,1.0,retest baseline patched from 0.37296 to 45.0032
8occ_config1,1,8,"10,10,10,10,10,10,10,10",10/10/10/10/10/10/10/10,40.6318,基线,"60,61,62,63,64,65,66,67",40.6318,1.0,retest baseline patched from 37.1955 to 40.6318
2occ_config2,2,2,"20,20,0,0,0,0,0,0",20/20,36.0344,No-Offloading 空闲核,"62,63,64,65,66,67",37.733,1.0471382900783694,
4occ_config2,2,4,"20,20,20,20,0,0,0,0",20/20/20/20,32.869,基线,"60,61,62,63,64,65,66,67",32.869,1.0,
6occ_config2,2,6,"20,20,20,20,20,20,0,0",20/20/20/20/20/20,22.7797,基线,"60,61,62,63,64,65,66,67",22.7797,1.0,
8occ_config2,2,8,"20,20,20,20,20,20,20,20",20/20/20/20/20/20/20/20,16.0579,基线,"60,61,62,63,64,65,66,67",16.0579,1.0,
2occ_config3,3,2,"30,40,0,0,0,0,0,0",30/40,17.6052,No-Offloading 空闲核,"62,63,64,65,66,67",37.1693,2.111268261649967,
4occ_config3,3,4,"30,40,30,40,0,0,0,0",30/40/30/40,11.6836,No-Offloading 空闲核,"64,65,66,67",29.5205,2.5266613030230407,
6occ_config3,3,6,"30,40,30,40,30,40,0,0",30/40/30/40/30/40,5.62888,No-Offloading 空闲核,"66,67",15.5902,2.7696806469493045,
8occ_config3,3,8,"30,40,30,40,30,40,30,40",30/40/30/40/30/40/30/40,1.07809,基线,"60,61,62,63,64,65,66,67",1.07809,1.0,
2occ_config4,4,2,"50,50,0,0,0,0,0,0",50/50,12.0585,No-Offloading 空闲核,"62,63,64,65,66,67",39.7052,3.292714682589045,
4occ_config4,4,4,"50,50,60,60,0,0,0,0",50/50/60/60,2.3707,No-Offloading 空闲核,"64,65,66,67",30.0973,12.695532964947063,
6occ_config4,4,6,"50,50,60,60,50,50,0,0",50/50/60/60/50/50,0.37294,No-Offloading 空闲核,"66,67",15.2707,40.94680109400976,
8occ_config4,4,8,"50,50,60,60,50,50,60,60",50/50/60/60/50/50/60/60,0.0,基线,"60,61,62,63,64,65,66,67",0.0,,
2occ_config6,6,2,"90,90,0,0,0,0,0,0",90/90,0.766282,No-Offloading 空闲核,"62,63,64,65,66,67",39.4812,51.52306853090638,
4occ_config6,6,4,"90,90,100,100,0,0,0,0",90/90/100/100,0.0,No-Offloading 空闲核,"64,65,66,67",30.2573,,
6occ_config6,6,6,"90,90,100,100,90,90,0,0",90/90/100/100/90/90,0.0,No-Offloading 空闲核,"66,67",16.183,,
8occ_config6,6,8,"90,90,100,100,90,90,100,100",90/90/100/100/90/90/100/100,0.0,基线,"60,61,62,63,64,65,66,67",0.0,,
