scenario,config_id,occupied_count,loads,occupied_loads,policy,run_cpus,n_run_cpus,repeat,status,tok_s,avg_decode_ms,decode_ms,elapsed_s,output_tail
2occ_config1,1,2,"10,10,0,0,0,0,0,0",10/10,基线,"60,61,62,63,64,65,66,67",8,0,ok,29.2308,34.2104,1094.73,8.160259246826172,"llama_context: graph nodes  = 1042\nllama_context: graph splits = 1\nattach_threadpool: call\nset_n_threads: n_threads = 8, n_threads_batch = 8\n[tail-local-bench] attached ggml threadpool threads=8 cpu_mask=0x0 strict=0 poll=50 prio=0\n[tail-local-bench] mode=full_token tokens=32 threads=8 prefill_ms=5945.99 decode_ms=1094.73 avg_decode_ms=34.2104 throughput=29.2308 tok/s\nllama_perf_context_print:        load time =    6880.69 ms\nllama_perf_context_print: prompt eval time =    5945.99 ms /     4 tokens ( 1486.50 ms per token,     0.67 tokens per second)\nllama_perf_context_print:        eval time =    1094.75 ms /    32 runs   (   34.21 ms per token,    29.23 tokens per second)\nllama_perf_context_print:       total time =    7987.47 ms /    36 tokens"
2occ_config1,1,2,"10,10,0,0,0,0,0,0",10/10,No-Offloading 空闲核,"62,63,64,65,66,67",6,0,ok,1.84583,541.761,17336.3,18.36533832550049,"llama_context: graph nodes  = 1042\nllama_context: graph splits = 1\nattach_threadpool: call\nset_n_threads: n_threads = 6, n_threads_batch = 6\n[tail-local-bench] attached ggml threadpool threads=6 cpu_mask=0x0 strict=0 poll=50 prio=0\n[tail-local-bench] mode=full_token tokens=32 threads=6 prefill_ms=38.1377 decode_ms=17336.3 avg_decode_ms=541.761 throughput=1.84583 tok/s\nllama_perf_context_print:        load time =     848.41 ms\nllama_perf_context_print: prompt eval time =      38.14 ms /     4 tokens (    9.54 ms per token,   104.87 tokens per second)\nllama_perf_context_print:        eval time =   17336.35 ms /    32 runs   (  541.76 ms per token,     1.85 tokens per second)\nllama_perf_context_print:       total time =   18195.44 ms /    36 tokens"
4occ_config1,1,4,"10,10,10,10,0,0,0,0",10/10/10/10,基线,"60,61,62,63,64,65,66,67",8,0,ok,23.2328,43.0425,1377.36,4.184714317321777,"llama_context: graph nodes  = 1042\nllama_context: graph splits = 1\nattach_threadpool: call\nset_n_threads: n_threads = 8, n_threads_batch = 8\n[tail-local-bench] attached ggml threadpool threads=8 cpu_mask=0x0 strict=0 poll=50 prio=0\n[tail-local-bench] mode=full_token tokens=32 threads=8 prefill_ms=1608.18 decode_ms=1377.36 avg_decode_ms=43.0425 throughput=23.2328 tok/s\nllama_perf_context_print:        load time =    2606.27 ms\nllama_perf_context_print: prompt eval time =    1608.19 ms /     4 tokens (  402.05 ms per token,     2.49 tokens per second)\nllama_perf_context_print:        eval time =    1377.40 ms /    32 runs   (   43.04 ms per token,    23.23 tokens per second)\nllama_perf_context_print:       total time =    3994.57 ms /    36 tokens"
4occ_config1,1,4,"10,10,10,10,0,0,0,0",10/10/10/10,No-Offloading 空闲核,"64,65,66,67",4,0,ok,23.242,43.0256,1376.82,5.792296886444092,"llama_context: graph nodes  = 1042\nllama_context: graph splits = 1\nattach_threadpool: call\nset_n_threads: n_threads = 4, n_threads_batch = 4\n[tail-local-bench] attached ggml threadpool threads=4 cpu_mask=0x0 strict=0 poll=50 prio=0\n[tail-local-bench] mode=full_token tokens=32 threads=4 prefill_ms=1640.78 decode_ms=1376.82 avg_decode_ms=43.0256 throughput=23.242 tok/s\nllama_perf_context_print:        load time =    4233.99 ms\nllama_perf_context_print: prompt eval time =    1640.79 ms /     4 tokens (  410.20 ms per token,     2.44 tokens per second)\nllama_perf_context_print:        eval time =    1376.84 ms /    32 runs   (   43.03 ms per token,    23.24 tokens per second)\nllama_perf_context_print:       total time =    5621.58 ms /    36 tokens"
6occ_config1,1,6,"10,10,10,10,10,10,0,0",10/10/10/10/10/10,基线,"60,61,62,63,64,65,66,67",8,0,ok,0.37296,2681.25,85800.1,99.58756899833679,"llama_context: graph nodes  = 1042\nllama_context: graph splits = 1\nattach_threadpool: call\nset_n_threads: n_threads = 8, n_threads_batch = 8\n[tail-local-bench] attached ggml threadpool threads=8 cpu_mask=0x0 strict=0 poll=50 prio=0\n[tail-local-bench] mode=full_token tokens=32 threads=8 prefill_ms=12352.2 decode_ms=85800.1 avg_decode_ms=2681.25 throughput=0.37296 tok/s\nllama_perf_context_print:        load time =   13602.61 ms\nllama_perf_context_print: prompt eval time =   12352.25 ms /     4 tokens ( 3088.06 ms per token,     0.32 tokens per second)\nllama_perf_context_print:        eval time =   85800.15 ms /    32 runs   ( 2681.25 ms per token,     0.37 tokens per second)\nllama_perf_context_print:       total time =   99413.87 ms /    36 tokens"
6occ_config1,1,6,"10,10,10,10,10,10,0,0",10/10/10/10/10/10,No-Offloading 空闲核,"66,67",2,0,ok,15.5814,64.1791,2053.73,3.164156436920166,"llama_context: graph nodes  = 1042\nllama_context: graph splits = 1\nattach_threadpool: call\nset_n_threads: n_threads = 2, n_threads_batch = 2\n[tail-local-bench] attached ggml threadpool threads=2 cpu_mask=0x0 strict=0 poll=50 prio=0\n[tail-local-bench] mode=full_token tokens=32 threads=2 prefill_ms=87.9922 decode_ms=2053.73 avg_decode_ms=64.1791 throughput=15.5814 tok/s\nllama_perf_context_print:        load time =     926.70 ms\nllama_perf_context_print: prompt eval time =      88.00 ms /     4 tokens (   22.00 ms per token,    45.46 tokens per second)\nllama_perf_context_print:        eval time =    2053.75 ms /    32 runs   (   64.18 ms per token,    15.58 tokens per second)\nllama_perf_context_print:       total time =    2991.10 ms /    36 tokens"
8occ_config1,1,8,"10,10,10,10,10,10,10,10",10/10/10/10/10/10/10/10,基线,"60,61,62,63,64,65,66,67",8,0,ok,37.1955,26.885,860.319,2.1566669940948486,"llama_context: graph nodes  = 1042\nllama_context: graph splits = 1\nattach_threadpool: call\nset_n_threads: n_threads = 8, n_threads_batch = 8\n[tail-local-bench] attached ggml threadpool threads=8 cpu_mask=0x0 strict=0 poll=50 prio=0\n[tail-local-bench] mode=full_token tokens=32 threads=8 prefill_ms=60.8271 decode_ms=860.319 avg_decode_ms=26.885 throughput=37.1955 tok/s\nllama_perf_context_print:        load time =    1060.46 ms\nllama_perf_context_print: prompt eval time =      60.83 ms /     4 tokens (   15.21 ms per token,    65.76 tokens per second)\nllama_perf_context_print:        eval time =     860.34 ms /    32 runs   (   26.89 ms per token,    37.19 tokens per second)\nllama_perf_context_print:       total time =    1931.68 ms /    36 tokens"
2occ_config2,2,2,"20,20,0,0,0,0,0,0",20/20,基线,"60,61,62,63,64,65,66,67",8,0,ok,36.0344,27.7512,888.039,2.1268491744995117,"llama_context: graph nodes  = 1042\nllama_context: graph splits = 1\nattach_threadpool: call\nset_n_threads: n_threads = 8, n_threads_batch = 8\n[tail-local-bench] attached ggml threadpool threads=8 cpu_mask=0x0 strict=0 poll=50 prio=0\n[tail-local-bench] mode=full_token tokens=32 threads=8 prefill_ms=30.2302 decode_ms=888.039 avg_decode_ms=27.7512 throughput=36.0344 tok/s\nllama_perf_context_print:        load time =    1047.68 ms\nllama_perf_context_print: prompt eval time =      30.23 ms /     4 tokens (    7.56 ms per token,   132.30 tokens per second)\nllama_perf_context_print:        eval time =     888.06 ms /    32 runs   (   27.75 ms per token,    36.03 tokens per second)\nllama_perf_context_print:       total time =    1946.82 ms /    36 tokens"
2occ_config2,2,2,"20,20,0,0,0,0,0,0",20/20,No-Offloading 空闲核,"62,63,64,65,66,67",6,0,ok,37.733,26.502,848.065,2.1091175079345703,"llama_context: graph nodes  = 1042\nllama_context: graph splits = 1\nattach_threadpool: call\nset_n_threads: n_threads = 6, n_threads_batch = 6\n[tail-local-bench] attached ggml threadpool threads=6 cpu_mask=0x0 strict=0 poll=50 prio=0\n[tail-local-bench] mode=full_token tokens=32 threads=6 prefill_ms=36.7369 decode_ms=848.065 avg_decode_ms=26.502 throughput=37.733 tok/s\nllama_perf_context_print:        load time =    1058.90 ms\nllama_perf_context_print: prompt eval time =      36.74 ms /     4 tokens (    9.19 ms per token,   108.87 tokens per second)\nllama_perf_context_print:        eval time =     848.08 ms /    32 runs   (   26.50 ms per token,    37.73 tokens per second)\nllama_perf_context_print:       total time =    1917.70 ms /    36 tokens"
4occ_config2,2,4,"20,20,20,20,0,0,0,0",20/20/20/20,基线,"60,61,62,63,64,65,66,67",8,0,ok,32.869,30.4238,973.562,2.0762124061584473,"llama_context: graph nodes  = 1042\nllama_context: graph splits = 1\nattach_threadpool: call\nset_n_threads: n_threads = 8, n_threads_batch = 8\n[tail-local-bench] attached ggml threadpool threads=8 cpu_mask=0x0 strict=0 poll=50 prio=0\n[tail-local-bench] mode=full_token tokens=32 threads=8 prefill_ms=83.9932 decode_ms=973.562 avg_decode_ms=30.4238 throughput=32.869 tok/s\nllama_perf_context_print:        load time =     928.82 ms\nllama_perf_context_print: prompt eval time =      84.00 ms /     4 tokens (   21.00 ms per token,    47.62 tokens per second)\nllama_perf_context_print:        eval time =     973.58 ms /    32 runs   (   30.42 ms per token,    32.87 tokens per second)\nllama_perf_context_print:       total time =    1913.37 ms /    36 tokens"
