figure,plot_id,x_label_loads,occupied_count,occupied_cpus,selected_strategy,selected_detail,baseline_tok_s,schedule_tok_s,speedup
occupied_2c_baseline_vs_schedule,2c_low_01,10/20,2,"60,61",baseline,,29.556,29.556,1.0
occupied_2c_baseline_vs_schedule,2c_low_02,20/30,2,"60,61",baseline,,30.4393,30.4393,1.0
occupied_2c_baseline_vs_schedule,2c_03,75/100,2,"60,61",major,p=1;major=62,2.99748,28.5988,9.540947729426051
occupied_2c_baseline_vs_schedule,2c_04,40/100,2,"60,61",major,p=1;major=62,4.57141,26.42,5.77939847880632
occupied_2c_baseline_vs_schedule,2c_05,55/95,2,"60,61",major,p=1;major=62,19.1913,24.6528,1.2845820762533025
occupied_2c_baseline_vs_schedule,2c_06,50/100,2,"60,61",major,"p=7;major=62,63,64,65,66,67,60",9.66978,39.5073,4.085646209117478
occupied_2c_baseline_vs_schedule,2c_07,50/100,2,"60,61",major,"p=7;major=62,63,64,65,66,67,60",3.46437,38.2326,11.03594592956295
occupied_2c_baseline_vs_schedule,2c_08,70/100,2,"60,61",major,"p=7;major=62,63,64,65,66,67,60",6.90546,38.7024,5.60460852716546
occupied_4c_baseline_vs_schedule,4c_low_01,10/10/20/20,4,"60,61,62,63",baseline,,29.6965,29.6965,1.0
occupied_4c_baseline_vs_schedule,4c_low_02,10/20/30/40,4,"60,61,62,63",baseline,,30.3009,30.3009,1.0
occupied_4c_baseline_vs_schedule,4c_03,30/70/80/100,4,"60,61,62,63",major,p=1;major=64,0.81084,22.0322,27.172068472201666
occupied_4c_baseline_vs_schedule,4c_04,60/70/80/90,4,"60,61,62,63",major,p=1;major=64,3.59866,28.9737,8.05124685299528
occupied_4c_baseline_vs_schedule,4c_05,20/60/90/100,4,"60,61,62,63",major,p=1;major=64,6.61435,26.422,3.994648000181424
occupied_4c_baseline_vs_schedule,4c_06,70/80/90/100,4,"60,61,62,63",major,p=1;major=64,12.7079,26.1769,2.05989187828044
occupied_4c_baseline_vs_schedule,4c_07,50/50/80/90,4,"60,61,62,63",major,p=1;major=64,21.0872,27.2058,1.2901570621040253
occupied_4c_baseline_vs_schedule,4c_08,40/60/80/100,4,"60,61,62,63",major,p=1;major=64,22.1425,26.5455,1.198848368522073
occupied_6c_baseline_vs_schedule,6c_low_01,10/10/20/20/30/30,6,"60,61,62,63,64,65",major,p=1;major=66,11.7154,19.1346,1.6332861020537068
occupied_6c_baseline_vs_schedule,6c_low_02,10/20/20/30/30/40,6,"60,61,62,63,64,65",baseline,,18.1481,18.1481,1.0
occupied_6c_baseline_vs_schedule,6c_03,30/40/60/70/90/100,6,"60,61,62,63,64,65",major,p=1;major=66,0.607428,30.2334,49.77281258025643
occupied_6c_baseline_vs_schedule,6c_04,20/50/80/90/100/100,6,"60,61,62,63,64,65",major,p=1;major=66,4.41556,20.3341,4.605101051735227
occupied_6c_baseline_vs_schedule,6c_05,70/80/80/90/90/100,6,"60,61,62,63,64,65",major,p=1;major=66,5.2315,22.2706,4.2570199751505315
occupied_6c_baseline_vs_schedule,6c_06,45/65/75/85/95/100,6,"60,61,62,63,64,65",major,p=1;major=66,6.49538,21.2515,3.2717870240078333
occupied_6c_baseline_vs_schedule,6c_07,55/65/85/95/100/100,6,"60,61,62,63,64,65",major,p=1;major=66,3.68809,16.7317,4.536684300003525
occupied_6c_baseline_vs_schedule,6c_08,30/50/80/90/100/100,6,"60,61,62,63,64,65",major,p=1;major=66,9.53568,21.1675,2.2198207154602505
occupied_8c_baseline_vs_schedule,8c_low_01,10/10/20/20/30/30/40/40,8,"60,61,62,63,64,65,66,67",baseline,,23.3079,23.3079,1.0
occupied_8c_baseline_vs_schedule,8c_low_02,10/20/20/30/30/40/40/50,8,"60,61,62,63,64,65,66,67",baseline,,17.1809,17.1809,1.0
occupied_8c_baseline_vs_schedule,8c_03,20/30/40/50/90/90/100/100,8,"60,61,62,63,64,65,66,67",major,"p=7;major=60,61,62,63,64,65,66",0.793781,32.7985,41.31933115053144
occupied_8c_baseline_vs_schedule,8c_04,20/30/40/60/80/90/100/100,8,"60,61,62,63,64,65,66,67",major,"p=7;major=60,61,62,63,64,65,66",6.70428,33.1738,4.948152523462624
occupied_8c_baseline_vs_schedule,8c_05,20/30/40/50/90/90/100/100,8,"60,61,62,63,64,65,66,67",major,"p=7;major=60,61,62,63,64,65,66",26.2608,34.3179,1.3068109120818865
occupied_8c_baseline_vs_schedule,8c_06,20/20/40/40/90/90/100/100,8,"60,61,62,63,64,65,66,67",major,"p=7;major=60,61,62,63,64,65,66",33.4586,35.9256,1.0737329117177647
occupied_8c_baseline_vs_schedule,8c_07,20/30/40/50/90/90/100/100,8,"60,61,62,63,64,65,66,67",major,"p=7;major=60,61,62,63,64,65,66",32.672,34.641,1.0602656709108718
occupied_8c_baseline_vs_schedule,8c_08,20/20/30/30/90/90/100/100,8,"60,61,62,63,64,65,66,67",major,"p=7;major=60,61,62,63,64,65,66",26.9846,28.4829,1.0555242619864664
