plot_id,scenario_class,scenario,occupied_count,available_cpus,occupied_cpus,loads,workers,method,load_type,tokens,repeats,baseline_tok_s,selected_policy,selected_detail,major_p,major_cpus,selected_tok_s,speedup,ppl,ppl_delta,source
2c_01,8avail_2occupied,2c_plot_search_08,2,"60,61,62,63,64,65,66,67","60,61","75,100,0,0,0,0,0,0","1,1,0,0,0,0,0,0",matrixprod,standard_matrixprod,32,1,2.99748,major_only_no_svd,p=1;major=62,1,62,28.5988,9.540947729426051,15.1424,0.0,stage1
2c_02,8avail_2occupied,2c_plot_search_05,2,"60,61,62,63,64,65,66,67","60,61","40,100,0,0,0,0,0,0","1,1,0,0,0,0,0,0",matrixprod,standard_matrixprod,32,1,4.57141,major_only_no_svd,p=1;major=62,1,62,26.42,5.77939847880632,15.1424,0.0,stage1
2c_03,8avail_2occupied,2c_plot_search_06,2,"60,61,62,63,64,65,66,67","60,61","55,95,0,0,0,0,0,0","1,1,0,0,0,0,0,0",matrixprod,standard_matrixprod,32,1,19.1913,major_only_no_svd,p=1;major=62,1,62,24.6528,1.2845820762533025,15.1424,0.0,stage1
2c_04,8avail_2occupied,2c_extra_03,2,"60,61,62,63,64,65,66,67","60,61","50,100,0,0,0,0,0,0","1,2,0,0,0,0,0,0",matrixprod,heterogeneous_multiworker,32,1,9.66978,major_only_no_svd,"p=7;major=62,63,64,65,66,67,60",7,"62,63,64,65,66,67,60",39.5073,4.085646209117478,15.1424,0.0,2c_extra
2c_05,8avail_2occupied,2c_extra_05,2,"60,61,62,63,64,65,66,67","60,61","50,100,0,0,0,0,0,0","1,3,0,0,0,0,0,0",matrixprod,heterogeneous_multiworker,32,1,3.46437,major_only_no_svd,"p=7;major=62,63,64,65,66,67,60",7,"62,63,64,65,66,67,60",38.2326,11.03594592956295,15.1424,0.0,2c_extra
2c_06,8avail_2occupied,2c_extra_08,2,"60,61,62,63,64,65,66,67","60,61","70,100,0,0,0,0,0,0","1,2,0,0,0,0,0,0",int64,heterogeneous_multiworker,32,1,6.90546,major_only_no_svd,"p=7;major=62,63,64,65,66,67,60",7,"62,63,64,65,66,67,60",38.7024,5.60460852716546,15.1424,0.0,2c_extra
4c_01,8avail_4occupied,4c_plot_search_08,4,"60,61,62,63,64,65,66,67","60,61,62,63","30,70,80,100,0,0,0,0","1,1,1,1,0,0,0,0",matrixprod,standard_matrixprod,32,1,0.81084,major_only_no_svd,p=1;major=64,1,64,22.0322,27.172068472201666,15.1424,0.0,stage1
4c_02,8avail_4occupied,4c_plot_search_04,4,"60,61,62,63,64,65,66,67","60,61,62,63","60,70,80,90,0,0,0,0","1,1,1,1,0,0,0,0",matrixprod,standard_matrixprod,32,1,3.59866,major_only_no_svd,p=1;major=64,1,64,28.9737,8.05124685299528,15.1424,0.0,stage1
4c_03,8avail_4occupied,4c_plot_search_05,4,"60,61,62,63,64,65,66,67","60,61,62,63","20,60,90,100,0,0,0,0","1,1,1,1,0,0,0,0",matrixprod,standard_matrixprod,32,1,6.61435,major_only_no_svd,p=1;major=64,1,64,26.422,3.994648000181424,15.1424,0.0,stage1
4c_04,8avail_4occupied,4c_plot_search_06,4,"60,61,62,63,64,65,66,67","60,61,62,63","70,80,90,100,0,0,0,0","1,1,1,1,0,0,0,0",matrixprod,standard_matrixprod,32,1,12.7079,major_only_no_svd,p=1;major=64,1,64,26.1769,2.05989187828044,15.1424,0.0,stage1
