occupied_count,timeout_ms,configs,baseline_tok_s_mean,raw_svd_tok_s_mean,schedule_tok_s_mean,speedup_mean,ppl_mean,min_speedup,max_ppl,all_constraints_ok
2,10,6,23.129020,25.458467,27.580650,3.253309,27.424662,1.000000,37.517400,True
2,20,6,23.129020,22.421375,23.496308,1.160732,26.295090,1.000000,35.467400,True
2,30,6,23.129020,23.149627,27.487667,3.103144,25.165519,1.000000,33.417400,True
2,40,6,23.129020,22.819052,27.230783,3.022362,24.035948,1.000000,31.367400,True
2,50,6,23.129020,23.504527,27.874950,3.205722,22.906376,1.000000,29.317400,True
2,60,6,23.129020,18.357628,27.162167,3.086664,21.776805,1.000000,27.267400,True
2,70,6,23.129020,24.250500,27.533417,3.220591,20.647233,1.000000,25.217400,True
2,80,6,23.129020,22.727635,27.649250,3.217460,19.517662,1.000000,23.167400,True
2,90,6,23.129020,27.158817,27.812100,3.259005,18.388090,1.000000,21.117400,True
2,100,6,23.129020,27.247017,27.786500,3.221569,17.258519,1.000000,19.067400,True
4,10,6,18.811564,14.440810,23.797640,8.700823,21.852341,1.000000,26.329900,True
4,20,6,18.811564,18.671207,27.696767,10.109146,21.228602,1.000000,25.304900,True
4,30,6,18.811564,23.585852,27.741317,9.343656,20.604864,1.000000,24.279900,True
4,40,6,18.811564,18.075754,22.794043,2.435200,19.981126,1.000000,23.254900,True
4,50,6,18.811564,21.370767,27.360267,9.483283,19.357388,1.000000,22.229900,True
4,60,6,18.811564,6.793222,19.503002,1.072333,18.733650,1.000000,21.204900,True
4,70,6,18.811564,20.622868,25.177217,5.548874,18.109912,1.000000,20.179900,True
4,80,6,18.811564,19.098519,27.986200,10.161569,17.486174,1.000000,19.154900,True
4,90,6,18.811564,19.118638,23.302362,2.727380,16.862436,1.000000,18.129900,True
4,100,6,18.811564,10.612904,23.622823,7.955540,16.238698,1.000000,17.104900,True
6,10,6,15.082315,23.217052,28.061350,8.627985,20.089067,1.000000,23.560614,True
6,20,6,15.082315,18.914792,23.927223,4.741950,19.626591,1.000000,22.777614,True
6,30,6,15.082315,27.227067,27.719483,8.464279,19.164114,1.000000,21.994614,True
6,40,6,15.082315,19.855086,25.188217,8.027349,18.701638,1.000000,21.211614,True
6,50,6,15.082315,20.708817,23.909725,7.628764,18.239162,1.000000,20.428614,True
6,60,6,15.082315,25.227917,25.784833,7.113832,17.776686,1.000000,19.645614,True
6,70,6,15.082315,22.616117,27.645117,8.573995,17.314210,1.000000,18.862614,True
6,80,6,15.082315,18.586013,23.950222,4.671388,16.851733,1.000000,18.079614,True
6,90,6,15.082315,23.718410,28.649700,9.349391,16.389257,1.000000,17.296614,True
6,100,6,15.082315,16.644330,21.360028,3.296302,15.926781,1.000000,16.513614,True
8,10,6,22.589933,24.906933,25.250683,1.197460,19.395198,1.000000,21.689900,True
8,20,6,22.589933,25.271567,25.532933,1.223442,18.996222,1.000000,21.080900,True
8,30,6,22.589933,25.182450,25.536817,1.206894,18.597245,1.000000,20.471900,True
8,40,6,22.589933,25.377817,25.515083,1.209282,18.198269,1.000000,19.862900,True
8,50,6,22.589933,25.481417,25.752350,1.215408,17.799293,1.000000,19.253900,True
8,60,6,22.589933,26.016583,26.192867,1.241303,17.400317,1.000000,18.644900,True
8,70,6,22.589933,26.144433,26.144433,1.231965,17.001341,1.007992,18.035900,True
8,80,6,22.589933,25.715117,25.800333,1.221116,16.602364,1.000000,17.426900,True
8,90,6,22.589933,25.279133,25.484450,1.215265,16.203388,1.000000,16.817900,True
8,100,6,22.589933,25.589067,25.648100,1.211052,15.804412,1.000000,16.208900,True
