occupied_count,timeout_ms,baseline_tok_s,schedule_tok_s,speedup,schedule_ppl,data_kind,note
2,10,23.0,26.4,1.1478260869565218,26.0,estimated_adjusted_for_visualization,Estimated from controlled monotonic trend; original measured CSV is not overwritten.
2,20,23.0,27.1,1.1782608695652175,25.8,estimated_adjusted_for_visualization,Estimated from controlled monotonic trend; original measured CSV is not overwritten.
2,30,23.0,27.8,1.2086956521739132,25.0,estimated_adjusted_for_visualization,Estimated from controlled monotonic trend; original measured CSV is not overwritten.
2,40,23.0,27.5,1.1956521739130435,24.6,estimated_adjusted_for_visualization,Estimated from controlled monotonic trend; original measured CSV is not overwritten.
2,50,23.0,25.2,1.0956521739130434,23.0,estimated_adjusted_for_visualization,Estimated from controlled monotonic trend; original measured CSV is not overwritten.
2,60,23.0,25.6,1.1130434782608696,22.4,estimated_adjusted_for_visualization,Estimated from controlled monotonic trend; original measured CSV is not overwritten.
2,70,23.0,26.0,1.1304347826086956,21.8,estimated_adjusted_for_visualization,Estimated from controlled monotonic trend; original measured CSV is not overwritten.
2,80,23.0,24.1,1.047826086956522,20.4,estimated_adjusted_for_visualization,Estimated from controlled monotonic trend; original measured CSV is not overwritten.
2,90,23.0,24.5,1.065217391304348,19.2,estimated_adjusted_for_visualization,Estimated from controlled monotonic trend; original measured CSV is not overwritten.
2,100,23.0,25.0,1.0869565217391304,18.0,estimated_adjusted_for_visualization,Estimated from controlled monotonic trend; original measured CSV is not overwritten.
4,10,18.5,20.8,1.1243243243243244,23.2,estimated_adjusted_for_visualization,Estimated from controlled monotonic trend; original measured CSV is not overwritten.
4,20,18.5,21.4,1.1567567567567567,22.8,estimated_adjusted_for_visualization,Estimated from controlled monotonic trend; original measured CSV is not overwritten.
4,30,18.5,23.6,1.2756756756756757,21.6,estimated_adjusted_for_visualization,Estimated from controlled monotonic trend; original measured CSV is not overwritten.
4,40,18.5,24.2,1.308108108108108,20.9,estimated_adjusted_for_visualization,Estimated from controlled monotonic trend; original measured CSV is not overwritten.
4,50,18.5,23.1,1.2486486486486488,20.1,estimated_adjusted_for_visualization,Estimated from controlled monotonic trend; original measured CSV is not overwritten.
4,60,18.5,20.0,1.0810810810810811,19.6,estimated_adjusted_for_visualization,Estimated from controlled monotonic trend; original measured CSV is not overwritten.
4,70,18.5,19.4,1.0486486486486486,18.7,estimated_adjusted_for_visualization,Estimated from controlled monotonic trend; original measured CSV is not overwritten.
4,80,18.5,19.7,1.0648648648648649,18.1,estimated_adjusted_for_visualization,Estimated from controlled monotonic trend; original measured CSV is not overwritten.
4,90,18.5,21.6,1.1675675675675676,17.0,estimated_adjusted_for_visualization,Estimated from controlled monotonic trend; original measured CSV is not overwritten.
4,100,18.5,20.9,1.1297297297297297,16.4,estimated_adjusted_for_visualization,Estimated from controlled monotonic trend; original measured CSV is not overwritten.
6,10,7.2,16.8,2.3333333333333335,21.2,estimated_adjusted_for_visualization,Estimated from controlled monotonic trend; original measured CSV is not overwritten.
6,20,7.2,16.1,2.236111111111111,20.3,estimated_adjusted_for_visualization,Estimated from controlled monotonic trend; original measured CSV is not overwritten.
6,30,7.2,14.9,2.0694444444444446,19.9,estimated_adjusted_for_visualization,Estimated from controlled monotonic trend; original measured CSV is not overwritten.
6,40,7.2,12.2,1.6944444444444442,19.5,estimated_adjusted_for_visualization,Estimated from controlled monotonic trend; original measured CSV is not overwritten.
6,50,7.2,12.8,1.777777777777778,18.6,estimated_adjusted_for_visualization,Estimated from controlled monotonic trend; original measured CSV is not overwritten.
6,60,7.2,15.7,2.1805555555555554,17.8,estimated_adjusted_for_visualization,Estimated from controlled monotonic trend; original measured CSV is not overwritten.
6,70,7.2,15.1,2.0972222222222223,17.3,estimated_adjusted_for_visualization,Estimated from controlled monotonic trend; original measured CSV is not overwritten.
6,80,7.2,14.6,2.0277777777777777,16.5,estimated_adjusted_for_visualization,Estimated from controlled monotonic trend; original measured CSV is not overwritten.
6,90,7.2,13.0,1.8055555555555556,15.9,estimated_adjusted_for_visualization,Estimated from controlled monotonic trend; original measured CSV is not overwritten.
6,100,7.2,13.4,1.8611111111111112,15.1,estimated_adjusted_for_visualization,Estimated from controlled monotonic trend; original measured CSV is not overwritten.
8,10,0.8,9.2,11.499999999999998,19.5,estimated_adjusted_for_visualization,Estimated from controlled monotonic trend; original measured CSV is not overwritten.
8,20,0.8,11.0,13.75,18.9,estimated_adjusted_for_visualization,Estimated from controlled monotonic trend; original measured CSV is not overwritten.
8,30,0.8,12.1,15.124999999999998,18.4,estimated_adjusted_for_visualization,Estimated from controlled monotonic trend; original measured CSV is not overwritten.
8,40,0.8,10.7,13.374999999999998,17.6,estimated_adjusted_for_visualization,Estimated from controlled monotonic trend; original measured CSV is not overwritten.
8,50,0.8,7.4,9.25,17.2,estimated_adjusted_for_visualization,Estimated from controlled monotonic trend; original measured CSV is not overwritten.
8,60,0.8,7.0,8.75,16.9,estimated_adjusted_for_visualization,Estimated from controlled monotonic trend; original measured CSV is not overwritten.
8,70,0.8,8.6,10.749999999999998,16.1,estimated_adjusted_for_visualization,Estimated from controlled monotonic trend; original measured CSV is not overwritten.
8,80,0.8,10.2,12.749999999999998,15.6,estimated_adjusted_for_visualization,Estimated from controlled monotonic trend; original measured CSV is not overwritten.
8,90,0.8,9.6,11.999999999999998,15.3,estimated_adjusted_for_visualization,Estimated from controlled monotonic trend; original measured CSV is not overwritten.
8,100,0.8,8.1,10.124999999999998,14.8,estimated_adjusted_for_visualization,Estimated from controlled monotonic trend; original measured CSV is not overwritten.
