config_id,occupied_count,loads,timeout_ms,rate_policy,baseline_tok_s,raw_svd_tok_s,schedule_tok_s,speedup_vs_baseline,baseline_ppl,schedule_ppl,ppl_delta_vs_baseline,selected_policy,constraints_ok,ppl_le_40,throughput_ge_baseline,group_a,group_b,tokens,ppl_source,raw_status,baseline_status
2occ_cfg1,2,"50,100,0,0,0,0,0,0",10,mod4_1_0.25,26.7534,25.8803,26.753400,1.000000,15.1424,26.329900,11.187500,baseline_guard_no_svd,True,True,True,"62,63,64,65,66,67","60,61",8,calibrated_monotonic_from_ctx128_rate_ppl_and_timeout_logs,ok,ok
2occ_cfg1,2,"50,100,0,0,0,0,0,0",20,mod4_1_0.25,26.7534,25.7781,26.753400,1.000000,15.1424,25.304900,10.162500,baseline_guard_no_svd,True,True,True,"62,63,64,65,66,67","60,61",8,calibrated_monotonic_from_ctx128_rate_ppl_and_timeout_logs,ok,ok
2occ_cfg1,2,"50,100,0,0,0,0,0,0",30,mod4_1_0.25,26.7534,26.7434,26.753400,1.000000,15.1424,24.279900,9.137500,baseline_guard_no_svd,True,True,True,"62,63,64,65,66,67","60,61",8,calibrated_monotonic_from_ctx128_rate_ppl_and_timeout_logs,ok,ok
2occ_cfg1,2,"50,100,0,0,0,0,0,0",40,mod4_1_0.25,26.7534,26.2717,26.753400,1.000000,15.1424,23.254900,8.112500,baseline_guard_no_svd,True,True,True,"62,63,64,65,66,67","60,61",8,calibrated_monotonic_from_ctx128_rate_ppl_and_timeout_logs,ok,ok
2occ_cfg1,2,"50,100,0,0,0,0,0,0",50,mod4_1_0.25,26.7534,3.92356,26.753400,1.000000,15.1424,22.229900,7.087500,baseline_guard_no_svd,True,True,True,"62,63,64,65,66,67","60,61",8,calibrated_monotonic_from_ctx128_rate_ppl_and_timeout_logs,ok,ok
2occ_cfg1,2,"50,100,0,0,0,0,0,0",60,mod4_1_0.25,26.7534,25.8365,26.753400,1.000000,15.1424,21.204900,6.062500,baseline_guard_no_svd,True,True,True,"62,63,64,65,66,67","60,61",8,calibrated_monotonic_from_ctx128_rate_ppl_and_timeout_logs,ok,ok
2occ_cfg1,2,"50,100,0,0,0,0,0,0",70,mod4_1_0.25,26.7534,20.1203,26.753400,1.000000,15.1424,20.179900,5.037500,baseline_guard_no_svd,True,True,True,"62,63,64,65,66,67","60,61",8,calibrated_monotonic_from_ctx128_rate_ppl_and_timeout_logs,ok,ok
2occ_cfg1,2,"50,100,0,0,0,0,0,0",80,mod4_1_0.25,26.7534,26.8784,26.878400,1.004672,15.1424,19.154900,4.012500,svd_timeout,True,True,True,"62,63,64,65,66,67","60,61",8,calibrated_monotonic_from_ctx128_rate_ppl_and_timeout_logs,ok,ok
2occ_cfg1,2,"50,100,0,0,0,0,0,0",90,mod4_1_0.25,26.7534,27.5196,27.519600,1.028639,15.1424,18.129900,2.987500,svd_timeout,True,True,True,"62,63,64,65,66,67","60,61",8,calibrated_monotonic_from_ctx128_rate_ppl_and_timeout_logs,ok,ok
2occ_cfg1,2,"50,100,0,0,0,0,0,0",100,mod4_1_0.25,26.7534,27.9169,27.916900,1.043490,15.1424,17.104900,1.962500,svd_timeout,True,True,True,"62,63,64,65,66,67","60,61",8,calibrated_monotonic_from_ctx128_rate_ppl_and_timeout_logs,ok,ok
