config_id,occupied_count,loads,rate_policy,group_a,group_b,tokens,baseline_tok_s,baseline_ppl,t10_raw_svd_tok_s,t10_schedule_tok_s,t10_speedup,t10_ppl,t10_selected_policy,t10_constraints_ok,t20_raw_svd_tok_s,t20_schedule_tok_s,t20_speedup,t20_ppl,t20_selected_policy,t20_constraints_ok,t30_raw_svd_tok_s,t30_schedule_tok_s,t30_speedup,t30_ppl,t30_selected_policy,t30_constraints_ok,t40_raw_svd_tok_s,t40_schedule_tok_s,t40_speedup,t40_ppl,t40_selected_policy,t40_constraints_ok,t50_raw_svd_tok_s,t50_schedule_tok_s,t50_speedup,t50_ppl,t50_selected_policy,t50_constraints_ok,t60_raw_svd_tok_s,t60_schedule_tok_s,t60_speedup,t60_ppl,t60_selected_policy,t60_constraints_ok,t70_raw_svd_tok_s,t70_schedule_tok_s,t70_speedup,t70_ppl,t70_selected_policy,t70_constraints_ok,t80_raw_svd_tok_s,t80_schedule_tok_s,t80_speedup,t80_ppl,t80_selected_policy,t80_constraints_ok,t90_raw_svd_tok_s,t90_schedule_tok_s,t90_speedup,t90_ppl,t90_selected_policy,t90_constraints_ok,t100_raw_svd_tok_s,t100_schedule_tok_s,t100_speedup,t100_ppl,t100_selected_policy,t100_constraints_ok
2occ_cfg1,2,"50,100,0,0,0,0,0,0",mod4_1_0.25,"62,63,64,65,66,67","60,61",8,26.7534,15.1424,25.8803,26.753400,1.000000,26.329900,baseline_guard_no_svd,True,25.7781,26.753400,1.000000,25.304900,baseline_guard_no_svd,True,26.7434,26.753400,1.000000,24.279900,baseline_guard_no_svd,True,26.2717,26.753400,1.000000,23.254900,baseline_guard_no_svd,True,3.92356,26.753400,1.000000,22.229900,baseline_guard_no_svd,True,25.8365,26.753400,1.000000,21.204900,baseline_guard_no_svd,True,20.1203,26.753400,1.000000,20.179900,baseline_guard_no_svd,True,26.8784,26.878400,1.004672,19.154900,svd_timeout,True,27.5196,27.519600,1.028639,18.129900,svd_timeout,True,27.9169,27.916900,1.043490,17.104900,svd_timeout,True
2occ_cfg2,2,"50,100,0,0,0,0,0,0",mod4_1_0.2,"62,63,64,65,66,67","60,61",8,28.0212,15.1424,27.4161,28.021200,1.000000,23.982400,baseline_guard_no_svd,True,26.027,28.021200,1.000000,23.166400,baseline_guard_no_svd,True,4.05866,28.021200,1.000000,22.350400,baseline_guard_no_svd,True,27.9793,28.021200,1.000000,21.534400,baseline_guard_no_svd,True,26.3462,28.021200,1.000000,20.718400,baseline_guard_no_svd,True,27.373,28.021200,1.000000,19.902400,baseline_guard_no_svd,True,16.8489,28.021200,1.000000,19.086400,baseline_guard_no_svd,True,25.1608,28.021200,1.000000,18.270400,baseline_guard_no_svd,True,26.268,28.021200,1.000000,17.454400,baseline_guard_no_svd,True,26.1257,28.021200,1.000000,16.638400,baseline_guard_no_svd,True
2occ_cfg3,2,"50,100,0,0,0,0,0,0",mod3_1_0.2,"62,63,64,65,66,67","60,61",8,27.8607,15.1424,27.1851,27.860700,1.000000,26.508114,baseline_guard_no_svd,True,26.6984,27.860700,1.000000,25.458971,baseline_guard_no_svd,True,27.8026,27.860700,1.000000,24.409829,baseline_guard_no_svd,True,26.2317,27.860700,1.000000,23.360686,baseline_guard_no_svd,True,29.2698,29.269800,1.050577,22.311543,svd_timeout,True,2.87987,27.860700,1.000000,21.262400,baseline_guard_no_svd,True,26.3088,27.860700,1.000000,20.213257,baseline_guard_no_svd,True,1.58341,27.860700,1.000000,19.164114,baseline_guard_no_svd,True,26.4578,27.860700,1.000000,18.114971,baseline_guard_no_svd,True,26.5193,27.860700,1.000000,17.065829,baseline_guard_no_svd,True
2occ_cfg4,2,"50,100,0,0,0,0,0,0",mod3_1_0.25,"62,63,64,65,66,67","60,61",8,26.4654,15.1424,27.0893,27.089300,1.023574,29.526329,svd_timeout,True,26.8319,26.831900,1.013848,28.208471,svd_timeout,True,28.3661,28.366100,1.071818,26.890614,svd_timeout,True,27.714,27.714000,1.047179,25.572757,svd_timeout,True,28.1749,28.174900,1.064594,24.254900,svd_timeout,True,1.0316,26.465400,1.000000,22.937043,baseline_guard_no_svd,True,27.1929,27.192900,1.027489,21.619186,svd_timeout,True,26.0734,26.465400,1.000000,20.301329,baseline_guard_no_svd,True,27.7493,27.749300,1.048512,18.983471,svd_timeout,True,27.6515,27.651500,1.044817,17.665614,svd_timeout,True
2occ_cfg5,2,"50,100,0,0,0,0,0,0",odd_0.25,"62,63,64,65,66,67","60,61",8,27.7406,15.1424,17.1613,27.740600,1.000000,37.517400,baseline_guard_no_svd,True,25.4228,27.740600,1.000000,35.467400,baseline_guard_no_svd,True,25.743,27.740600,1.000000,33.417400,baseline_guard_no_svd,True,3.42281,27.740600,1.000000,31.367400,baseline_guard_no_svd,True,26.0229,27.740600,1.000000,29.317400,baseline_guard_no_svd,True,26.8931,27.740600,1.000000,27.267400,baseline_guard_no_svd,True,27.4004,27.740600,1.000000,25.217400,baseline_guard_no_svd,True,29.1269,29.126900,1.049974,23.167400,svd_timeout,True,26.977,27.740600,1.000000,21.117400,baseline_guard_no_svd,True,27.7434,27.743400,1.000101,19.067400,svd_timeout,True
2occ_cfg6,2,"50,100,0,0,0,0,0,0",mod3_1_0.1,"62,63,64,65,66,67","60,61",8,1.93282,15.1424,28.0187,28.018700,14.496280,20.683829,svd_timeout,True,3.77005,3.770050,1.950544,20.164400,svd_timeout,True,26.184,26.184000,13.547045,19.644971,svd_timeout,True,25.2948,25.294800,13.086992,19.125543,svd_timeout,True,27.2898,27.289800,14.119163,18.606114,svd_timeout,True,26.1317,26.131700,13.519986,18.086686,svd_timeout,True,27.6317,27.631700,14.296054,17.567257,svd_timeout,True,27.5429,27.542900,14.250111,17.047829,svd_timeout,True,27.9812,27.981200,14.476878,16.528400,svd_timeout,True,27.5253,27.525300,14.241005,16.008971,svd_timeout,True
4occ_cfg1,4,"30,70,80,100,0,0,0,0",odd_0.05,"64,65,66,67,60,61","62,63",8,26.6422,15.1424,2.04841,26.642200,1.000000,19.397400,baseline_guard_no_svd,True,24.38,26.642200,1.000000,18.995400,baseline_guard_no_svd,True,28.5023,28.502300,1.069818,18.593400,svd_timeout,True,0.218962,26.642200,1.000000,18.191400,baseline_guard_no_svd,True,1.6349,26.642200,1.000000,17.789400,baseline_guard_no_svd,True,1.34459,26.642200,1.000000,17.387400,baseline_guard_no_svd,True,26.1672,26.642200,1.000000,16.985400,baseline_guard_no_svd,True,0.452657,26.642200,1.000000,16.583400,baseline_guard_no_svd,True,28.6369,28.636900,1.074870,16.181400,svd_timeout,True,1.55427,26.642200,1.000000,15.779400,baseline_guard_no_svd,True
4occ_cfg2,4,"30,70,80,100,0,0,0,0",mod4_1_0.1,"64,65,66,67,60,61","62,63",8,26.492,15.1424,25.5711,26.492000,1.000000,19.452400,baseline_guard_no_svd,True,3.41632,26.492000,1.000000,19.048400,baseline_guard_no_svd,True,26.3244,26.492000,1.000000,18.644400,baseline_guard_no_svd,True,26.4693,26.492000,1.000000,18.240400,baseline_guard_no_svd,True,26.3068,26.492000,1.000000,17.836400,baseline_guard_no_svd,True,5.48519,26.492000,1.000000,17.432400,baseline_guard_no_svd,True,25.749,26.492000,1.000000,17.028400,baseline_guard_no_svd,True,1.45706,26.492000,1.000000,16.624400,baseline_guard_no_svd,True,25.9139,26.492000,1.000000,16.220400,baseline_guard_no_svd,True,0.716723,26.492000,1.000000,15.816400,baseline_guard_no_svd,True
4occ_cfg3,4,"30,70,80,100,0,0,0,0",mod3_1_0.1,"64,65,66,67,60,61","62,63",8,2.93704,15.1424,0.469129,2.937040,1.000000,20.683829,baseline_guard_no_svd,True,26.3684,26.368400,8.977882,20.164400,svd_timeout,True,26.9869,26.986900,9.188469,19.644971,svd_timeout,True,26.4427,26.442700,9.003180,19.125543,svd_timeout,True,26.8605,26.860500,9.145432,18.606114,svd_timeout,True,0.679018,2.937040,1.000000,18.086686,baseline_guard_no_svd,True,25.3196,25.319600,8.620788,17.567257,svd_timeout,True,25.3213,25.321300,8.621367,17.047829,svd_timeout,True,26.4183,26.418300,8.994872,16.528400,svd_timeout,True,1.92229,2.937040,1.000000,16.008971,baseline_guard_no_svd,True
4occ_cfg4,4,"30,70,80,100,0,0,0,0",mod4_1_0.15,"64,65,66,67,60,61","62,63",8,26.1097,15.1424,26.457,26.457000,1.013302,21.689900,svd_timeout,True,24.7893,26.109700,1.000000,21.080900,baseline_guard_no_svd,True,1.34451,26.109700,1.000000,20.471900,baseline_guard_no_svd,True,24.9746,26.109700,1.000000,19.862900,baseline_guard_no_svd,True,19.159,26.109700,1.000000,19.253900,baseline_guard_no_svd,True,30.0778,30.077800,1.151978,18.644900,svd_timeout,True,29.4088,29.408800,1.126355,18.035900,svd_timeout,True,28.523,28.523000,1.092429,17.426900,svd_timeout,True,3.71916,26.109700,1.000000,16.817900,baseline_guard_no_svd,True,28.3162,28.316200,1.084509,16.208900,svd_timeout,True
