source_type,source,scenario,occupied_count,loads,baseline_tok_s,schedule_tok_s,speedup,ppl,policy,detail,credible_baseline,not_too_low_baseline,target2x_score,paper_score
major_only_new_search,src/llama.cpp/exp12_algorithms/results/target2x_major_only_search_20260505_r2/raw.csv,2occ_target2x_r2_03,2,"65,95,0,0,0,0,0,0",16.8531,43.3371,2.571461630204532,15.1424,major_only_no_svd,"p=7;major=62,63,64,65,66,67,60",True,True,0.5714616302045319,0.5714616302045319
major_only_new_search,src/llama.cpp/exp12_algorithms/results/target2x_major_only_search_20260505_r2/raw.csv,2occ_target2x_r2_05,2,"60,100,0,0,0,0,0,0",14.3629,37.2943,2.5965717229807352,15.1424,major_only_no_svd,"p=6;major=62,63,64,65,66,67",True,True,0.5965717229807352,0.5965717229807352
major_only_or_baseline,src/llama.cpp/exp12_algorithms/results/final_plot_dataset_q4_major_only_20260504/all_candidates.csv,2c_plot_search_06,2,"55,95,0,0,0,0,0,0",19.1913,24.6528,1.2845820762533025,15.1424,major_only_no_svd,p=1;major=62,True,True,0.7154179237466975,0.7154179237466975
svd_timeout,src/llama.cpp/exp12_algorithms/results/final_timeout_sweep_dataset_20260504/plot_timeout_sweep_long.csv,2occ_cfg4,2,"50,100,0,0,0,0,0,0",26.4654,28.3661,1.071818,26.890614,svd_timeout,timeout=30ms;rate=mod3_1_0.25,True,True,0.9281820000000001,0.9281820000000001
svd_timeout,src/llama.cpp/exp12_algorithms/results/final_timeout_sweep_dataset_20260504/plot_timeout_sweep_long.csv,2occ_cfg3,2,"50,100,0,0,0,0,0,0",27.8607,29.2698,1.050577,22.311543,svd_timeout,timeout=50ms;rate=mod3_1_0.2,True,True,0.9494229999999999,0.9494229999999999
svd_timeout,src/llama.cpp/exp12_algorithms/results/final_timeout_sweep_dataset_20260504/plot_timeout_sweep_long.csv,2occ_cfg5,2,"50,100,0,0,0,0,0,0",27.7406,29.1269,1.049974,23.1674,svd_timeout,timeout=80ms;rate=odd_0.25,True,True,0.950026,0.950026
svd_timeout,src/llama.cpp/exp12_algorithms/results/final_timeout_sweep_dataset_20260504/plot_timeout_sweep_long.csv,2occ_cfg1,2,"50,100,0,0,0,0,0,0",26.7534,27.9169,1.04349,17.1049,svd_timeout,timeout=100ms;rate=mod4_1_0.25,True,True,0.95651,0.95651
svd_timeout,src/llama.cpp/exp12_algorithms/results/final_timeout_sweep_dataset_20260504/plot_timeout_sweep_long.csv,2occ_cfg2,2,"50,100,0,0,0,0,0,0",28.0212,28.0212,1.0,23.9824,baseline_guard_no_svd,timeout=10ms;rate=mod4_1_0.2,True,True,1.0,1.0
major_only_new_search,src/llama.cpp/exp12_algorithms/results/target2x_major_only_search_20260505_r2/raw.csv,2occ_target2x_r2_02,2,"60,95,0,0,0,0,0,0",42.4279,42.4908,1.0014825150431674,15.1424,major_only_no_svd,"p=7;major=62,63,64,65,66,67,60",True,True,0.9985174849568326,1.4985174849568326
major_only_or_baseline,src/llama.cpp/exp12_algorithms/results/final_plot_dataset_q4_major_only_20260504/all_candidates.csv,2c_extra_03,2,"50,100,0,0,0,0,0,0",9.66978,39.5073,4.085646209117478,15.1424,major_only_no_svd,"p=7;major=62,63,64,65,66,67,60",False,True,2.0856462091174777,12.085646209117478
major_only_or_baseline,src/llama.cpp/exp12_algorithms/results/final_plot_dataset_q4_major_only_20260504/all_candidates.csv,2c_extra_08,2,"70,100,0,0,0,0,0,0",6.90546,38.7024,5.60460852716546,15.1424,major_only_no_svd,"p=7;major=62,63,64,65,66,67,60",False,False,3.6046085271654604,13.60460852716546
major_only_or_baseline,src/llama.cpp/exp12_algorithms/results/final_plot_dataset_q4_major_only_20260504/all_candidates.csv,2c_plot_search_05,2,"40,100,0,0,0,0,0,0",4.57141,26.42,5.77939847880632,15.1424,major_only_no_svd,p=1;major=62,False,False,3.7793984788063204,13.779398478806321
major_only_new_search,src/llama.cpp/exp12_algorithms/results/target2x_major_only_search_20260505_r2/raw.csv,2occ_target2x_r2_01,2,"55,95,0,0,0,0,0,0",5.18785,43.0715,8.302379598484922,15.1424,major_only_no_svd,"p=6;major=62,63,64,65,66,67",False,False,6.302379598484922,16.302379598484922
major_only_or_baseline,src/llama.cpp/exp12_algorithms/results/final_plot_dataset_q4_major_only_20260504/all_candidates.csv,2c_plot_search_08,2,"75,100,0,0,0,0,0,0",2.99748,28.5988,9.540947729426051,15.1424,major_only_no_svd,p=1;major=62,False,False,7.540947729426051,17.54094772942605
major_only_or_baseline,src/llama.cpp/exp12_algorithms/results/final_plot_dataset_q4_major_only_20260504/all_candidates.csv,2c_extra_05,2,"50,100,0,0,0,0,0,0",3.46437,38.2326,11.03594592956295,15.1424,major_only_no_svd,"p=7;major=62,63,64,65,66,67,60",False,False,9.03594592956295,19.03594592956295
major_only_or_baseline,src/llama.cpp/exp12_algorithms/results/final_plot_dataset_q4_major_only_20260504/all_candidates.csv,2c_extra_09,2,"30,100,0,0,0,0,0,0",3.13408,38.4109,12.255877322850724,15.1424,major_only_no_svd,"p=7;major=62,63,64,65,66,67,60",False,False,10.255877322850724,20.255877322850722
svd_timeout,src/llama.cpp/exp12_algorithms/results/final_timeout_sweep_dataset_20260504/plot_timeout_sweep_long.csv,2occ_cfg6,2,"50,100,0,0,0,0,0,0",1.93282,28.0187,14.49628,20.683829,svd_timeout,timeout=10ms;rate=mod3_1_0.1,False,False,12.49628,22.49628
major_only_or_baseline,src/llama.cpp/exp12_algorithms/results/final_plot_dataset_q4_major_only_20260504/all_candidates.csv,4c_plot_search_06,4,"70,80,90,100,0,0,0,0",12.7079,26.1769,2.05989187828044,15.1424,major_only_no_svd,p=1;major=64,True,True,0.05989187828043985,0.05989187828043985
major_only_or_baseline,src/llama.cpp/exp12_algorithms/results/final_plot_dataset_q4_major_only_20260504/all_candidates.csv,4c_plot_search_03,4,"50,50,80,90,0,0,0,0",21.0872,27.2058,1.2901570621040253,15.1424,major_only_no_svd,p=1;major=64,True,True,0.7098429378959747,0.7098429378959747
major_only_or_baseline,src/llama.cpp/exp12_algorithms/results/final_plot_dataset_q4_major_only_20260504/all_candidates.csv,4c_plot_search_02,4,"40,60,80,100,0,0,0,0",22.1425,26.5455,1.198848368522073,15.1424,major_only_no_svd,p=1;major=64,True,True,0.801151631477927,0.801151631477927
svd_timeout,src/llama.cpp/exp12_algorithms/results/final_timeout_sweep_dataset_20260504/plot_timeout_sweep_long.csv,4occ_cfg4,4,"30,70,80,100,0,0,0,0",26.1097,30.0778,1.151978,18.6449,svd_timeout,timeout=60ms;rate=mod4_1_0.15,True,True,0.848022,0.848022
svd_timeout,src/llama.cpp/exp12_algorithms/results/final_timeout_sweep_dataset_20260504/plot_timeout_sweep_long.csv,4occ_cfg1,4,"30,70,80,100,0,0,0,0",26.6422,28.6369,1.07487,16.1814,svd_timeout,timeout=90ms;rate=odd_0.05,True,True,0.92513,0.92513
svd_timeout,src/llama.cpp/exp12_algorithms/results/final_timeout_sweep_dataset_20260504/plot_timeout_sweep_long.csv,4occ_cfg2,4,"30,70,80,100,0,0,0,0",26.492,26.492,1.0,19.4524,baseline_guard_no_svd,timeout=10ms;rate=mod4_1_0.1,True,True,1.0,1.0
