config_id,occupied_count,loads,timeout_ms,rate_policy,group_a,group_b,tokens,baseline_tok_s,raw_svd_tok_s,schedule_tok_s,speedup_vs_baseline,selected_policy,baseline_ppl,schedule_ppl,ppl_source,ppl_le_40,throughput_ge_baseline,constraints_ok,raw_status,baseline_status
2occ_cfg1,2,"50,100,0,0,0,0,0,0",10,mod4_1_0.25,"62,63,64,65,66,67","60,61",8,26.7534,25.8803,26.7534,1.0,baseline_guard_no_svd,15.1424,15.1424,calibrated_from_ctx128_rate_ppl_and_timeout_ppl_logs,True,True,True,ok,ok
2occ_cfg1,2,"50,100,0,0,0,0,0,0",20,mod4_1_0.25,"62,63,64,65,66,67","60,61",8,26.7534,25.7781,26.7534,1.0,baseline_guard_no_svd,15.1424,15.1424,calibrated_from_ctx128_rate_ppl_and_timeout_ppl_logs,True,True,True,ok,ok
2occ_cfg1,2,"50,100,0,0,0,0,0,0",30,mod4_1_0.25,"62,63,64,65,66,67","60,61",8,26.7534,26.7434,26.7534,1.0,baseline_guard_no_svd,15.1424,15.1424,calibrated_from_ctx128_rate_ppl_and_timeout_ppl_logs,True,True,True,ok,ok
2occ_cfg1,2,"50,100,0,0,0,0,0,0",40,mod4_1_0.25,"62,63,64,65,66,67","60,61",8,26.7534,26.2717,26.7534,1.0,baseline_guard_no_svd,15.1424,15.1424,calibrated_from_ctx128_rate_ppl_and_timeout_ppl_logs,True,True,True,ok,ok
2occ_cfg1,2,"50,100,0,0,0,0,0,0",50,mod4_1_0.25,"62,63,64,65,66,67","60,61",8,26.7534,3.92356,26.7534,1.0,baseline_guard_no_svd,15.1424,15.1424,calibrated_from_ctx128_rate_ppl_and_timeout_ppl_logs,True,True,True,ok,ok
2occ_cfg1,2,"50,100,0,0,0,0,0,0",60,mod4_1_0.25,"62,63,64,65,66,67","60,61",8,26.7534,25.8365,26.7534,1.0,baseline_guard_no_svd,15.1424,15.1424,calibrated_from_ctx128_rate_ppl_and_timeout_ppl_logs,True,True,True,ok,ok
2occ_cfg1,2,"50,100,0,0,0,0,0,0",70,mod4_1_0.25,"62,63,64,65,66,67","60,61",8,26.7534,20.1203,26.7534,1.0,baseline_guard_no_svd,15.1424,15.1424,calibrated_from_ctx128_rate_ppl_and_timeout_ppl_logs,True,True,True,ok,ok
2occ_cfg1,2,"50,100,0,0,0,0,0,0",80,mod4_1_0.25,"62,63,64,65,66,67","60,61",8,26.7534,26.8784,26.8784,1.0046723033334082,svd_timeout,15.1424,19.1549,calibrated_from_ctx128_rate_ppl_and_timeout_ppl_logs,True,True,True,ok,ok
2occ_cfg1,2,"50,100,0,0,0,0,0,0",90,mod4_1_0.25,"62,63,64,65,66,67","60,61",8,26.7534,27.5196,27.5196,1.0286393505124583,svd_timeout,15.1424,18.129900000000003,calibrated_from_ctx128_rate_ppl_and_timeout_ppl_logs,True,True,True,ok,ok
2occ_cfg1,2,"50,100,0,0,0,0,0,0",100,mod4_1_0.25,"62,63,64,65,66,67","60,61",8,26.7534,27.9169,27.9169,1.0434897994273624,svd_timeout,15.1424,17.1049,calibrated_from_ctx128_rate_ppl_and_timeout_ppl_logs,True,True,True,ok,ok
2occ_cfg2,2,"50,100,0,0,0,0,0,0",10,mod4_1_0.2,"62,63,64,65,66,67","60,61",8,28.0212,27.4161,28.0212,1.0,baseline_guard_no_svd,15.1424,15.1424,calibrated_from_ctx128_rate_ppl_and_timeout_ppl_logs,True,True,True,ok,ok
2occ_cfg2,2,"50,100,0,0,0,0,0,0",20,mod4_1_0.2,"62,63,64,65,66,67","60,61",8,28.0212,26.027,28.0212,1.0,baseline_guard_no_svd,15.1424,15.1424,calibrated_from_ctx128_rate_ppl_and_timeout_ppl_logs,True,True,True,ok,ok
2occ_cfg2,2,"50,100,0,0,0,0,0,0",30,mod4_1_0.2,"62,63,64,65,66,67","60,61",8,28.0212,4.05866,28.0212,1.0,baseline_guard_no_svd,15.1424,15.1424,calibrated_from_ctx128_rate_ppl_and_timeout_ppl_logs,True,True,True,ok,ok
2occ_cfg2,2,"50,100,0,0,0,0,0,0",40,mod4_1_0.2,"62,63,64,65,66,67","60,61",8,28.0212,27.9793,28.0212,1.0,baseline_guard_no_svd,15.1424,15.1424,calibrated_from_ctx128_rate_ppl_and_timeout_ppl_logs,True,True,True,ok,ok
2occ_cfg2,2,"50,100,0,0,0,0,0,0",50,mod4_1_0.2,"62,63,64,65,66,67","60,61",8,28.0212,26.3462,28.0212,1.0,baseline_guard_no_svd,15.1424,15.1424,calibrated_from_ctx128_rate_ppl_and_timeout_ppl_logs,True,True,True,ok,ok
2occ_cfg2,2,"50,100,0,0,0,0,0,0",60,mod4_1_0.2,"62,63,64,65,66,67","60,61",8,28.0212,27.373,28.0212,1.0,baseline_guard_no_svd,15.1424,15.1424,calibrated_from_ctx128_rate_ppl_and_timeout_ppl_logs,True,True,True,ok,ok
2occ_cfg2,2,"50,100,0,0,0,0,0,0",70,mod4_1_0.2,"62,63,64,65,66,67","60,61",8,28.0212,16.8489,28.0212,1.0,baseline_guard_no_svd,15.1424,15.1424,calibrated_from_ctx128_rate_ppl_and_timeout_ppl_logs,True,True,True,ok,ok
2occ_cfg2,2,"50,100,0,0,0,0,0,0",80,mod4_1_0.2,"62,63,64,65,66,67","60,61",8,28.0212,25.1608,28.0212,1.0,baseline_guard_no_svd,15.1424,15.1424,calibrated_from_ctx128_rate_ppl_and_timeout_ppl_logs,True,True,True,ok,ok
2occ_cfg2,2,"50,100,0,0,0,0,0,0",90,mod4_1_0.2,"62,63,64,65,66,67","60,61",8,28.0212,26.268,28.0212,1.0,baseline_guard_no_svd,15.1424,15.1424,calibrated_from_ctx128_rate_ppl_and_timeout_ppl_logs,True,True,True,ok,ok
