config_id,occupied_count,loads,rate_policy,group_a,group_b,tokens,baseline_tok_s,baseline_ppl,t10_schedule_tok_s,t10_raw_svd_tok_s,t10_speedup,t10_ppl,t10_policy,t20_schedule_tok_s,t20_raw_svd_tok_s,t20_speedup,t20_ppl,t20_policy,t30_schedule_tok_s,t30_raw_svd_tok_s,t30_speedup,t30_ppl,t30_policy,t40_schedule_tok_s,t40_raw_svd_tok_s,t40_speedup,t40_ppl,t40_policy,t50_schedule_tok_s,t50_raw_svd_tok_s,t50_speedup,t50_ppl,t50_policy,t60_schedule_tok_s,t60_raw_svd_tok_s,t60_speedup,t60_ppl,t60_policy,t70_schedule_tok_s,t70_raw_svd_tok_s,t70_speedup,t70_ppl,t70_policy,t80_schedule_tok_s,t80_raw_svd_tok_s,t80_speedup,t80_ppl,t80_policy,t90_schedule_tok_s,t90_raw_svd_tok_s,t90_speedup,t90_ppl,t90_policy,t100_schedule_tok_s,t100_raw_svd_tok_s,t100_speedup,t100_ppl,t100_policy
2occ_cfg1,2,"50,100,0,0,0,0,0,0",mod4_1_0.25,"62,63,64,65,66,67","60,61",8,26.7534,15.1424,26.7534,25.8803,1.0,15.1424,baseline_guard_no_svd,26.7534,25.7781,1.0,15.1424,baseline_guard_no_svd,26.7534,26.7434,1.0,15.1424,baseline_guard_no_svd,26.7534,26.2717,1.0,15.1424,baseline_guard_no_svd,26.7534,3.92356,1.0,15.1424,baseline_guard_no_svd,26.7534,25.8365,1.0,15.1424,baseline_guard_no_svd,26.7534,20.1203,1.0,15.1424,baseline_guard_no_svd,26.8784,26.8784,1.0046723033334082,19.1549,svd_timeout,27.5196,27.5196,1.0286393505124583,18.129900000000003,svd_timeout,27.9169,27.9169,1.0434897994273624,17.1049,svd_timeout
2occ_cfg2,2,"50,100,0,0,0,0,0,0",mod4_1_0.2,"62,63,64,65,66,67","60,61",8,28.0212,15.1424,28.0212,27.4161,1.0,15.1424,baseline_guard_no_svd,28.0212,26.027,1.0,15.1424,baseline_guard_no_svd,28.0212,4.05866,1.0,15.1424,baseline_guard_no_svd,28.0212,27.9793,1.0,15.1424,baseline_guard_no_svd,28.0212,26.3462,1.0,15.1424,baseline_guard_no_svd,28.0212,27.373,1.0,15.1424,baseline_guard_no_svd,28.0212,16.8489,1.0,15.1424,baseline_guard_no_svd,28.0212,25.1608,1.0,15.1424,baseline_guard_no_svd,28.0212,26.268,1.0,15.1424,baseline_guard_no_svd,28.0212,26.1257,1.0,15.1424,baseline_guard_no_svd
2occ_cfg3,2,"50,100,0,0,0,0,0,0",mod3_1_0.2,"62,63,64,65,66,67","60,61",8,27.8607,15.1424,27.8607,27.1851,1.0,15.1424,baseline_guard_no_svd,27.8607,26.6984,1.0,15.1424,baseline_guard_no_svd,27.8607,27.8026,1.0,15.1424,baseline_guard_no_svd,27.8607,26.2317,1.0,15.1424,baseline_guard_no_svd,29.2698,29.2698,1.0505766186779226,22.311542857142857,svd_timeout,27.8607,2.87987,1.0,15.1424,baseline_guard_no_svd,27.8607,26.3088,1.0,15.1424,baseline_guard_no_svd,27.8607,1.58341,1.0,15.1424,baseline_guard_no_svd,27.8607,26.4578,1.0,15.1424,baseline_guard_no_svd,27.8607,26.5193,1.0,15.1424,baseline_guard_no_svd
2occ_cfg4,2,"50,100,0,0,0,0,0,0",mod3_1_0.25,"62,63,64,65,66,67","60,61",8,26.4654,15.1424,27.0893,27.0893,1.0235741760940702,29.52632857142857,svd_timeout,26.8319,26.8319,1.0138482698164397,28.20847142857143,svd_timeout,28.3661,28.3661,1.0718182986087497,26.89061428571429,svd_timeout,27.714,27.714,1.047178580335079,25.572757142857142,svd_timeout,28.1749,28.1749,1.0645937714903233,24.2549,svd_timeout,26.4654,1.0316,1.0,15.1424,baseline_guard_no_svd,27.1929,27.1929,1.0274887211226735,21.619185714285717,svd_timeout,26.4654,26.0734,1.0,15.1424,baseline_guard_no_svd,27.7493,27.7493,1.0485123973187636,18.98347142857143,svd_timeout,27.6515,27.6515,1.0448170063554678,17.665614285714287,svd_timeout
2occ_cfg5,2,"50,100,0,0,0,0,0,0",odd_0.25,"62,63,64,65,66,67","60,61",8,27.7406,15.1424,27.7406,17.1613,1.0,15.1424,baseline_guard_no_svd,27.7406,25.4228,1.0,15.1424,baseline_guard_no_svd,27.7406,25.743,1.0,15.1424,baseline_guard_no_svd,27.7406,3.42281,1.0,15.1424,baseline_guard_no_svd,27.7406,26.0229,1.0,15.1424,baseline_guard_no_svd,27.7406,26.8931,1.0,15.1424,baseline_guard_no_svd,27.7406,27.4004,1.0,15.1424,baseline_guard_no_svd,29.1269,29.1269,1.0499736847797092,23.1674,svd_timeout,27.7406,26.977,1.0,15.1424,baseline_guard_no_svd,27.7434,27.7434,1.0001009350915264,19.067400000000003,svd_timeout
2occ_cfg6,2,"50,100,0,0,0,0,0,0",mod3_1_0.1,"62,63,64,65,66,67","60,61",8,1.93282,15.1424,28.0187,28.0187,14.496280046771039,20.683828571428574,svd_timeout,3.77005,3.77005,1.9505437650686561,20.1644,svd_timeout,26.184,26.184,13.547045249945675,19.64497142857143,svd_timeout,25.2948,25.2948,13.086992063409939,19.125542857142857,svd_timeout,27.2898,27.2898,14.119162674227296,18.606114285714288,svd_timeout,26.1317,26.1317,13.519986341200939,18.086685714285714,svd_timeout,27.6317,27.6317,14.29605446963504,17.567257142857144,svd_timeout,27.5429,27.5429,14.250111236431742,17.04782857142857,svd_timeout,27.9812,27.9812,14.476878343560188,16.5284,svd_timeout,27.5253,27.5253,14.24100537039145,16.008971428571428,svd_timeout
4occ_cfg1,4,"30,70,80,100,0,0,0,0",odd_0.05,"64,65,66,67,60,61","62,63",8,26.6422,15.1424,26.6422,2.04841,1.0,15.1424,baseline_guard_no_svd,26.6422,24.38,1.0,15.1424,baseline_guard_no_svd,28.5023,28.5023,1.0698178078386922,18.5934,svd_timeout,26.6422,0.218962,1.0,15.1424,baseline_guard_no_svd,26.6422,1.6349,1.0,15.1424,baseline_guard_no_svd,26.6422,1.34459,1.0,15.1424,baseline_guard_no_svd,26.6422,26.1672,1.0,15.1424,baseline_guard_no_svd,26.6422,0.452657,1.0,15.1424,baseline_guard_no_svd,28.6369,28.6369,1.0748699431728612,16.1814,svd_timeout,26.6422,1.55427,1.0,15.1424,baseline_guard_no_svd
4occ_cfg2,4,"30,70,80,100,0,0,0,0",mod4_1_0.1,"64,65,66,67,60,61","62,63",8,26.492,15.1424,26.492,25.5711,1.0,15.1424,baseline_guard_no_svd,26.492,3.41632,1.0,15.1424,baseline_guard_no_svd,26.492,26.3244,1.0,15.1424,baseline_guard_no_svd,26.492,26.4693,1.0,15.1424,baseline_guard_no_svd,26.492,26.3068,1.0,15.1424,baseline_guard_no_svd,26.492,5.48519,1.0,15.1424,baseline_guard_no_svd,26.492,25.749,1.0,15.1424,baseline_guard_no_svd,26.492,1.45706,1.0,15.1424,baseline_guard_no_svd,26.492,25.9139,1.0,15.1424,baseline_guard_no_svd,26.492,0.716723,1.0,15.1424,baseline_guard_no_svd
4occ_cfg3,4,"30,70,80,100,0,0,0,0",mod3_1_0.1,"64,65,66,67,60,61","62,63",8,2.93704,15.1424,2.93704,0.469129,1.0,15.1424,baseline_guard_no_svd,26.3684,26.3684,8.977882493939477,20.1644,svd_timeout,26.9869,26.9869,9.188468662326695,19.64497142857143,svd_timeout,26.4427,26.4427,9.003180072453898,19.125542857142857,svd_timeout,26.8605,26.8605,9.145432135755726,18.606114285714288,svd_timeout,2.93704,0.679018,1.0,15.1424,baseline_guard_no_svd,25.3196,25.3196,8.620788276632256,17.567257142857144,svd_timeout,25.3213,25.3213,8.621367090676328,17.04782857142857,svd_timeout,26.4183,26.4183,8.994872388527224,16.5284,svd_timeout,2.93704,1.92229,1.0,15.1424,baseline_guard_no_svd
4occ_cfg4,4,"30,70,80,100,0,0,0,0",mod4_1_0.15,"64,65,66,67,60,61","62,63",8,26.1097,15.1424,26.457,26.457,1.0133015699146295,21.6899,svd_timeout,26.1097,24.7893,1.0,15.1424,baseline_guard_no_svd,26.1097,1.34451,1.0,15.1424,baseline_guard_no_svd,26.1097,24.9746,1.0,15.1424,baseline_guard_no_svd,26.1097,19.159,1.0,15.1424,baseline_guard_no_svd,30.0778,30.0778,1.1519780005132192,18.6449,svd_timeout,29.4088,29.4088,1.1263553392034378,18.035899999999998,svd_timeout,28.523,28.523,1.0924292504318318,17.4269,svd_timeout,26.1097,3.71916,1.0,15.1424,baseline_guard_no_svd,28.3162,28.3162,1.0845088223916781,16.2089,svd_timeout
4occ_cfg5,4,"30,70,80,100,0,0,0,0",mod3_1_0.15,"64,65,66,67,60,61","62,63",8,0.640141,15.1424,30.2093,30.2093,47.191634343058794,23.560614285714287,svd_timeout,30.52,30.52,47.67699616178311,22.777614285714286,svd_timeout,27.3806,27.3806,42.772764125403626,21.994614285714285,svd_timeout,1.02936,1.02936,1.608020732932276,21.211614285714283,svd_timeout,28.0089,28.0089,43.75426663813129,20.428614285714286,svd_timeout,0.820672,0.820672,1.2820175555073023,19.645614285714284,svd_timeout,13.1524,13.1524,20.54609843768795,18.862614285714287,svd_timeout,30.8904,30.8904,48.25561868400868,18.079614285714285,svd_timeout,2.10897,2.10897,3.2945397967010392,17.296614285714284,svd_timeout,27.3012,27.3012,42.64872895190279,16.513614285714286,svd_timeout
4occ_cfg6,4,"30,70,80,100,0,0,0,0",mod4_1_0.25,"64,65,66,67,60,61","62,63",8,30.0483,15.1424,30.0483,1.88992,1.0,15.1424,baseline_guard_no_svd,30.0483,2.55322,1.0,15.1424,baseline_guard_no_svd,30.9764,30.9764,1.0308869386953672,24.279900000000005,svd_timeout,30.0483,29.3196,1.0,15.1424,baseline_guard_no_svd,30.0483,26.2545,1.0,15.1424,baseline_guard_no_svd,30.0483,2.35206,1.0,15.1424,baseline_guard_no_svd,30.0483,3.94021,1.0,15.1424,baseline_guard_no_svd,30.0483,27.9467,1.0,15.1424,baseline_guard_no_svd,30.0483,27.9146,1.0,15.1424,baseline_guard_no_svd,30.0483,3.86674,1.0,15.1424,baseline_guard_no_svd
6occ_cfg1,6,"30,40,60,70,90,100,0,0",mod4_1_0.05,"66,67,60,61,62,63","64,65",8,30.0089,15.1424,30.0089,27.9353,1.0,15.1424,baseline_guard_no_svd,30.0089,0.274526,1.0,15.1424,baseline_guard_no_svd,30.4812,30.4812,1.0157386641962884,16.8679,svd_timeout,30.0089,0.972714,1.0,15.1424,baseline_guard_no_svd,30.0089,26.2848,1.0,15.1424,baseline_guard_no_svd,30.0089,28.4676,1.0,15.1424,baseline_guard_no_svd,30.0089,24.592,1.0,15.1424,baseline_guard_no_svd,30.0089,24.404,1.0,15.1424,baseline_guard_no_svd,30.0089,2.15186,1.0,15.1424,baseline_guard_no_svd,30.0089,28.2278,1.0,15.1424,baseline_guard_no_svd
6occ_cfg2,6,"30,40,60,70,90,100,0,0",mod3_1_0.05,"66,67,60,61,62,63","64,65",8,27.8934,15.1424,27.8934,0.901213,1.0,15.1424,baseline_guard_no_svd,28.915,28.915,1.0366251514695233,17.61932857142857,svd_timeout,27.8934,24.9389,1.0,15.1424,baseline_guard_no_svd,27.8934,24.9308,1.0,15.1424,baseline_guard_no_svd,27.8934,12.9107,1.0,15.1424,baseline_guard_no_svd,27.8934,26.0932,1.0,15.1424,baseline_guard_no_svd,27.8934,25.4257,1.0,15.1424,baseline_guard_no_svd,27.8934,1.31305,1.0,15.1424,baseline_guard_no_svd,27.8934,26.1627,1.0,15.1424,baseline_guard_no_svd,27.8934,1.38031,1.0,15.1424,baseline_guard_no_svd
6occ_cfg3,6,"55,65,85,95,100,100,0,0",mod4_1_0.1,"66,67,60,61,62,63","64,65",8,1.6469,15.1424,25.9191,25.9191,15.738114032424555,19.4524,svd_timeout,27.3097,27.3097,16.58248831137288,19.0484,svd_timeout,26.7604,26.7604,16.24895257756998,18.6444,svd_timeout,27.0924,27.0924,16.450543445260795,18.2404,svd_timeout,26.9256,26.9256,16.34926225028842,17.8364,svd_timeout,13.1013,13.1013,7.955127815896533,17.4324,svd_timeout,27.5285,27.5285,16.715343979598032,17.0284,svd_timeout,26.0287,26.0287,15.804663306818872,16.6244,svd_timeout,27.114,27.114,16.46365899568887,16.2204,svd_timeout,12.9431,12.9431,7.859068553039043,15.8164,svd_timeout
6occ_cfg4,6,"30,40,60,70,90,100,0,0",mod3_1_0.1,"66,67,60,61,62,63","64,65",8,1.03114,15.1424,25.8549,25.8549,25.0740927517117,20.683828571428574,svd_timeout,1.03114,0.943728,1.0,15.1424,baseline_guard_no_svd,24.6705,24.6705,23.92546114009737,19.64497142857143,svd_timeout,26.4692,26.4692,25.66984114669201,19.125542857142857,svd_timeout,26.1119,26.1119,25.323331458385866,18.606114285714288,svd_timeout,24.639,24.639,23.89491242702252,18.086685714285714,svd_timeout,24.8219,24.8219,24.07228892293966,17.567257142857144,svd_timeout,1.40713,1.40713,1.3646352580638905,17.04782857142857,svd_timeout,29.6997,29.6997,28.802781387590436,16.5284,svd_timeout,1.43257,1.43257,1.3893069806233878,16.008971428571428,svd_timeout
6occ_cfg5,6,"30,40,60,70,90,100,0,0",mod4_1_0.15,"66,67,60,61,62,63","64,65",8,3.86165,15.1424,30.3884,30.3884,7.869278676213535,21.6899,svd_timeout,30.2467,30.2467,7.8325845169810835,21.0809,svd_timeout,29.1349,29.1349,7.544676498387994,20.471899999999998,svd_timeout,11.4301,11.4301,2.9599005606411763,19.8629,svd_timeout,3.86165,3.363,1.0,15.1424,baseline_guard_no_svd,29.7667,29.7667,7.708285318451957,18.6449,svd_timeout,29.5661,29.5661,7.656338611733326,18.035899999999998,svd_timeout,30.0073,30.0073,7.770590291714682,17.4269,svd_timeout,30.0808,30.0808,7.789623606489454,16.8179,svd_timeout,28.9448,28.9448,7.4954488366371885,16.2089,svd_timeout
6occ_cfg6,6,"55,65,85,95,100,100,0,0",mod3_1_0.15,"66,67,60,61,62,63","64,65",8,26.0519,15.1424,28.3034,28.3034,1.0864236389668316,23.560614285714287,svd_timeout,26.0519,25.7991,1.0,15.1424,baseline_guard_no_svd,27.3765,27.3765,1.050844660082374,21.994614285714285,svd_timeout,28.2353,28.2353,1.0838096261693004,21.211614285714283,svd_timeout,28.6569,28.6569,1.0999927068659099,20.428614285714286,svd_timeout,29.2997,29.2997,1.1246665310399626,19.645614285714284,svd_timeout,26.0519,3.7625,1.0,15.1424,baseline_guard_no_svd,28.3559,28.3559,1.088438847070655,18.079614285714285,svd_timeout,27.1014,27.1014,1.040284969618339,17.296614285714284,svd_timeout,26.9374,26.9374,1.0339898433511567,16.513614285714286,svd_timeout
8occ_cfg1,8,"20,30,40,50,90,90,100,100",mod4_1_0.05,"60,61,62,63,64,65","66,67",8,23.4099,15.1424,23.4099,22.8724,1.0,15.1424,baseline_guard_no_svd,23.6953,23.6953,1.012191423286729,17.0689,svd_timeout,24.8681,24.8681,1.0622898859029726,16.8679,svd_timeout,23.4099,22.9456,1.0,15.1424,baseline_guard_no_svd,25.5565,25.5565,1.09169624816851,16.4659,svd_timeout,24.6489,24.6489,1.0529263260415465,16.2649,svd_timeout,25.0763,25.0763,1.0711835590925207,16.0639,svd_timeout,26.2475,26.2475,1.121213674556491,15.8629,svd_timeout,25.9794,25.9794,1.1097612548537157,15.6619,svd_timeout,25.0455,25.0455,1.069867876411262,15.4609,svd_timeout
8occ_cfg2,8,"20,30,40,50,90,90,100,100",mod3_1_0.05,"60,61,62,63,64,65","66,67",8,23.5745,15.1424,24.867,24.867,1.0548261893147257,17.877757142857142,svd_timeout,23.6568,23.6568,1.003491060255785,17.61932857142857,svd_timeout,23.9119,23.9119,1.0143120744872638,17.3609,svd_timeout,25.8357,25.8357,1.0959171986680523,17.10247142857143,svd_timeout,27.2082,27.2082,1.1541368851937475,16.844042857142856,svd_timeout,27.3015,27.3015,1.1580945513160406,16.585614285714286,svd_timeout,24.9738,24.9738,1.0593565080913698,16.327185714285715,svd_timeout,24.6411,24.6411,1.0452438015652505,16.068757142857145,svd_timeout,24.1592,24.1592,1.024802222740673,15.810328571428572,svd_timeout,24.3279,24.3279,1.0319582599843051,15.5519,svd_timeout
8occ_cfg3,8,"20,30,40,50,90,90,100,100",odd_0.05,"60,61,62,63,64,65","66,67",8,12.284,15.1424,25.4005,25.4005,2.0677710843373496,19.397399999999998,svd_timeout,27.6323,27.6323,2.2494545750569848,18.9954,svd_timeout,25.1143,25.1143,2.0444724845327253,18.5934,svd_timeout,25.586,25.586,2.082872028655161,18.191399999999998,svd_timeout,24.8244,24.8244,2.0208726799088246,17.7894,svd_timeout,26.0706,26.0706,2.122321719309671,17.3874,svd_timeout,25.1827,25.1827,2.0500407033539565,16.9854,svd_timeout,25.5235,25.5235,2.077784109410615,16.5834,svd_timeout,26.4969,26.4969,2.1570253988928685,16.1814,svd_timeout,25.0262,25.0262,2.0373005535656135,15.779399999999999,svd_timeout
8occ_cfg4,8,"20,30,40,50,90,90,100,100",mod4_1_0.1,"60,61,62,63,64,65","66,67",8,25.8475,15.1424,25.8475,24.3752,1.0,15.1424,baseline_guard_no_svd,27.2265,27.2265,1.0533513879485443,19.0484,svd_timeout,25.8475,24.1273,1.0,15.1424,baseline_guard_no_svd,27.8352,27.8352,1.0769010542605668,18.2404,svd_timeout,25.8475,24.4238,1.0,15.1424,baseline_guard_no_svd,25.8475,24.7898,1.0,15.1424,baseline_guard_no_svd,28.1825,28.1825,1.0903375568236773,17.0284,svd_timeout,27.5869,27.5869,1.0672947093529355,16.6244,svd_timeout,25.8475,25.8435,1.0,15.1424,baseline_guard_no_svd,25.8475,25.4933,1.0,15.1424,baseline_guard_no_svd
8occ_cfg5,8,"20,30,40,50,90,90,100,100",mod3_1_0.1,"60,61,62,63,64,65","66,67",8,25.3999,15.1424,25.3999,25.3472,1.0,15.1424,baseline_guard_no_svd,25.9629,25.9629,1.022165441596227,20.1644,svd_timeout,28.4553,28.4553,1.120291812172489,19.64497142857143,svd_timeout,25.3999,25.1799,1.0,15.1424,baseline_guard_no_svd,26.0537,26.0537,1.0257402588199167,18.606114285714288,svd_timeout,25.4288,25.4288,1.0011377997551172,18.086685714285714,svd_timeout,25.6029,25.6029,1.0079921574494388,17.567257142857144,svd_timeout,25.3999,24.8886,1.0,15.1424,baseline_guard_no_svd,25.3999,25.1728,1.0,15.1424,baseline_guard_no_svd,27.7695,27.7695,1.093291705872858,16.008971428571428,svd_timeout
8occ_cfg6,8,"20,30,40,50,90,90,100,100",mod4_1_0.15,"60,61,62,63,64,65","66,67",8,25.0238,15.1424,26.5793,26.5793,1.0621608228966024,21.6899,svd_timeout,25.0238,23.4556,1.0,15.1424,baseline_guard_no_svd,25.0238,24.6178,1.0,15.1424,baseline_guard_no_svd,25.0238,24.8845,1.0,15.1424,baseline_guard_no_svd,25.0238,24.8219,1.0,15.1424,baseline_guard_no_svd,27.8599,27.8599,1.1133361040289644,18.6449,svd_timeout,27.8484,27.8484,1.112876541532461,18.035899999999998,svd_timeout,25.4031,25.4031,1.0151575699933661,17.4269,svd_timeout,25.0238,24.023,1.0,15.1424,baseline_guard_no_svd,25.872,25.872,1.0338957312638368,16.2089,svd_timeout
