scenario,n_cores,cpus,loads,selected_policy,baseline_runs,scheduler_runs,baseline_tok_s_median,scheduler_tok_s_median,speedup_median
2c_asym_low_high,2,"60,61","20,80",trunc_even_0.8,5,5,9.48365,11.3701,1.1989160291659857
2c_balanced_mid,2,"60,61","50,50",all_0.4,5,5,9.44022,11.5512,1.22361555133249
2c_high,2,"60,61","80,100",trunc_even_0.85,5,5,11.4044,13.0696,1.1460138192276663
2c_idle_saturated,2,"60,61","0,100",trunc_even_0.8,5,5,9.32138,11.1784,1.1992215744878978
4c_balanced_high,4,"60,61,62,63","20,40,60,80",all_0.5,5,5,19.2083,24.4642,1.273626505208686
4c_front_hot,4,"60,61,62,63","90,70,20,0",trunc_even_0.8,5,5,4.55924,21.8885,4.8009098007562665
4c_gradient,4,"60,61,62,63","0,20,60,100",odd_0.3,5,5,16.3841,20.7129,1.2642073717811781
4c_high,4,"60,61,62,63","70,80,90,100",all_0.6,5,5,20.6863,23.2143,1.1222064844849007
6c_front_hot,6,"60,61,62,63,64,65","100,80,60,30,10,0",edge_end_no_svd,5,0,23.511,,
6c_high,6,"60,61,62,63,64,65","50,60,70,80,90,100",baseline_no_svd,5,5,26.6305,26.6305,1.0
6c_mixed,6,"60,61,62,63,64,65","0,20,40,60,80,100",edge_end_no_svd,5,0,25.5504,,
6c_ramp_light,6,"60,61,62,63,64,65","0,10,20,30,40,50",baseline_no_svd,5,5,20.2085,20.2085,1.0
8c_front_hot,8,"60,61,62,63,64,65,66,67","100,90,80,70,30,20,10,0",edge_end_no_svd,5,0,24.2858,,
8c_high,8,"60,61,62,63,64,65,66,67","30,40,50,60,70,80,90,100",trunc_even_0.8,5,5,26.4539,32.1444,1.2151100593863284
8c_mixed,8,"60,61,62,63,64,65,66,67","0,20,40,60,80,100,30,50",baseline_no_svd,5,5,22.4951,22.4951,1.0
8c_ramp_light,8,"60,61,62,63,64,65,66,67","0,10,20,30,40,50,60,70",edge_end_no_svd,5,0,26.3112,,
