timeout_budget_ms,scenario,n_cores,loads,mode,offload_m,baseline_tok_s_median,scheduler_tok_s_median,speedup_median,schedule_runs,clipped_layers,max_rate,estimated_total_ms
8,2c_asym_low_high,2,"20,80",edge_end_no_svd,20,9.47574,,,0,0,0.0,62.0316
8,2c_balanced_mid,2,"50,50",edge_end_no_svd,20,11.2818,,,0,0,0.0,62.0316
8,2c_high,2,"80,100",edge_end_no_svd,2,11.3364,,,0,0,0.0,75.8583
8,2c_idle_saturated,2,"0,100",edge_end_no_svd,20,11.8377,,,0,0,0.0,62.0316
8,4c_balanced_high,4,"20,40,60,80",local,28,19.1139,19.1139,1.0,3,0,0.0,51.899568
8,4c_front_hot,4,"90,70,20,0",local,28,20.5645,20.3104,0.9876437550147099,3,14,0.4,57.269466
8,4c_gradient,4,"0,20,60,100",local,28,16.4476,18.0706,1.0986770106276902,3,14,0.5,57.232575000000004
8,4c_high,4,"70,80,90,100",local,28,20.541,17.6188,0.8577381821722408,3,14,0.7,57.23219
8,6c_front_hot,6,"100,80,60,30,10,0",edge_end,22,4.96327,,,0,11,0.9,38.515019
8,6c_high,6,"50,60,70,80,90,100",local,28,27.3176,20.6636,0.7564207690280259,3,14,0.3,37.452892
8,6c_mixed,6,"0,20,40,60,80,100",local,28,22.7898,20.4897,0.8990732696206197,3,14,0.9,37.38389
8,6c_ramp_light,6,"0,10,20,30,40,50",local,28,24.5063,24.2307,0.9887539122592965,3,14,0.3,37.492242
8,8c_front_hot,8,"100,90,80,70,30,20,10,0",edge_end,1,26.2005,,,0,1,0.9,33.263211
8,8c_high,8,"30,40,50,60,70,80,90,100",local,28,29.4303,24.308,0.8259514853739174,3,14,0.9,32.24377
8,8c_mixed,8,"0,20,40,60,80,100,30,50",local,28,21.3624,24.7582,1.1589615399018836,3,14,0.9,32.15121
8,8c_ramp_light,8,"0,10,20,30,40,50,60,70",local,28,28.2094,0.258164,0.009151701205980986,3,14,0.6,32.257149999999996
20,2c_asym_low_high,2,"20,80",edge_end_no_svd,20,10.569,,,0,0,0.0,62.0316
20,2c_balanced_mid,2,"50,50",edge_end_no_svd,20,9.51928,,,0,0,0.0,62.0316
20,2c_high,2,"80,100",edge_end_no_svd,2,10.4069,,,0,0,0.0,75.8583
20,2c_idle_saturated,2,"0,100",edge_end_no_svd,20,11.7703,,,0,0,0.0,62.0316
20,4c_balanced_high,4,"20,40,60,80",local,28,19.8716,19.8716,1.0,3,0,0.0,51.899568
20,4c_front_hot,4,"90,70,20,0",local,28,19.8042,20.071,1.0134718898011532,3,14,0.4,57.269466
20,4c_gradient,4,"0,20,60,100",local,28,20.1218,16.1594,0.803079247383435,3,14,0.5,57.232575000000004
20,4c_high,4,"70,80,90,100",local,28,21.3379,17.1631,0.804348131728052,3,14,0.7,57.23219
