scenario,mode_8ms,M_8ms,baseline_8ms,scheduler_8ms,speedup_8ms,mode_20ms,M_20ms,baseline_20ms,scheduler_20ms,speedup_20ms,mode_40ms,M_40ms,baseline_40ms,scheduler_40ms,speedup_40ms,mode_80ms,M_80ms,baseline_80ms,scheduler_80ms,speedup_80ms
2c_asym_low_high,edge_end_no_svd,20,9.47574,,,edge_end_no_svd,20,10.569,,,edge_end_no_svd,20,11.3859,,,edge_end_no_svd,20,11.5245,,
2c_balanced_mid,edge_end_no_svd,20,11.2818,,,edge_end_no_svd,20,9.51928,,,edge_end_no_svd,20,11.7473,,,edge_end_no_svd,20,11.3919,,
2c_high,edge_end_no_svd,2,11.3364,,,edge_end_no_svd,2,10.4069,,,edge_end_no_svd,2,11.2776,,,edge_end_no_svd,2,11.3026,,
2c_idle_saturated,edge_end_no_svd,20,11.8377,,,edge_end_no_svd,20,11.7703,,,edge_end_no_svd,20,11.7691,,,edge_end_no_svd,20,11.7068,,
4c_balanced_high,local,28,19.1139,19.1139,1.0,local,28,19.8716,19.8716,1.0,local,28,19.3818,19.3818,1.0,local,28,20.7567,20.7567,1.0
4c_front_hot,local,28,20.5645,20.3104,0.9876437550147099,local,28,19.8042,20.071,1.0134718898011532,local,28,21.1915,20.4099,0.9631172875917231,local,28,17.882,17.2229,0.963141706744212
4c_gradient,local,28,16.4476,18.0706,1.0986770106276902,local,28,20.1218,16.1594,0.803079247383435,local,28,15.7415,19.1488,1.2164533240161357,local,28,1.91029,18.059,9.453538467981302
4c_high,local,28,20.541,17.6188,0.8577381821722408,local,28,21.3379,17.1631,0.804348131728052,local,28,20.6824,16.7563,0.8101719336247243,local,28,17.8901,17.2369,0.9634881862035426
6c_front_hot,edge_end,22,4.96327,,,edge_end,22,23.1136,,,edge_end,22,1.7803,,,edge_end,22,4.86263,,
6c_high,local,28,27.3176,20.6636,0.7564207690280259,local,28,26.6986,24.667,0.9239061224184041,local,28,24.9193,21.2965,0.854618709193276,local,28,26.9546,23.1412,0.8585250754973178
6c_mixed,local,28,22.7898,20.4897,0.8990732696206197,local,28,23.4937,21.278,0.9056896104061939,local,28,25.0751,21.4105,0.8538550195213578,local,28,22.2918,17.2391,0.773338178164168
6c_ramp_light,local,28,24.5063,24.2307,0.9887539122592965,local,28,27.2588,4.55138,0.1669691989375908,local,28,24.3045,22.8669,0.9408504597913967,local,28,24.2573,22.7995,0.9399026272503535
8c_front_hot,edge_end,1,26.2005,,,edge_end,1,21.4633,,,edge_end,1,0.393366,,,edge_end,1,22.9324,,
8c_high,local,28,29.4303,24.308,0.8259514853739174,local,28,30.2904,23.9706,0.7913596386974091,local,28,29.0605,23.8411,0.8203953820477968,local,28,26.7557,21.6832,0.8104142294912859
8c_mixed,local,28,21.3624,24.7582,1.1589615399018836,local,28,2.61829,19.3651,7.39608675891517,local,28,0.202711,2.32555,11.472243736156399,local,28,23.6442,19.0043,0.8037615990390878
8c_ramp_light,local,28,28.2094,0.258164,0.009151701205980986,local,28,2.42606,21.8657,9.012843870308236,local,28,4.52056,3.92944,0.869237439609252,local,28,22.9807,0.551838,0.024013106650363134
