scenario,repeat,n_cores,cpus,loads,policy,status,schedule_mode,clipped_layers,decode_tok_s,generation_decode_ms,prefill_decode_ms,elapsed_s,succeed,top1_id,top1_piece,output_tail
2c_balanced_mid,0,2,"60,61","50,50",baseline_no_svd,ok,,0,11.2818,88.6383,197.067,0.8987033367156982,True,11,",","llama_context: graph splits = 1
attach_threadpool: call
threads: decode=2 batch=2
prompt tokens: 4
running one forward pass (llama_decode) ...
Top-5 next-token candidates:
  id=11 logit=20.2053 piece="",""
  id=304 logit=18.9277 piece="" in""
  id=3837 logit=18.7558 piece=""，""
  id=1052 logit=18.5616 piece="" there""
  id=358 logit=17.8374 piece="" I""
Autoregressive generation:
Generated text: ,
Decode-only throughput: 11.2818 tokens/s (1 tokens in 0.0886383 s of llama_decode)
End-to-end throughput: 11.2418 tokens/s (1 tokens in 0.088954 s)
[decode-stage-profile] model_load=388.741 ms context_create=58.6989 ms tokenize=0.463062 ms prefill_decode=197.067 ms generation_decode=88.6383 ms generation_total=88.954 ms program_total=750.988 ms
[svd-local-op-profile] up_ops=56 gate_ops=56 down_ops=56 up_total=80.457 ms gate_total=84.449 ms down_total=65.451 ms up_v=12.108 ms gate_v=12.206 ms down_v=53.147 ms up_u=68.345 ms gate_u=72.240 ms down_u=12.302 ms
[svd-local-stage-profile] attention_total=1.635 ms ffn_total=232.249 ms ffn_svd_total=230.357 ms ffn_svd_v=77.461 ms ffn_svd_u=152.887 ms
[svd-offload-zero-profile] up_finish=0 up_cache=0 up_no_request=27 gate_finish=0 gate_cache=0 gate_no_request=27 down_finish=0 down_cache=0 down_no_request=27 other_finish=0 other_cache=0 other_no_request=0
[svd-local-timeout-profile] up_keep=0 up_drop=0 up_wait=0.000 ms gate_keep=0 gate_drop=0 gate_wait=0.000 ms down_keep=0 down_drop=0 down_wait=0.000 ms other_keep=0 other_drop=0 other_wait=0.000 ms
[svd-offload-client] up_gate_req=0 down_req=0 other_mat_req=0 ffn_req=0 gate_cache_hits=0 gate_cache_checks=0 miss_invalid=0 miss_layer=0 miss_rank=0 miss_hash=0 miss_output=0 miss_data=0 send_up_gate=0.000 ms send_down=0.000 ms send_other=0.000 ms send_ffn=0.000 ms wait_up_gate=0.000 ms wait_down=0.000 ms wait_other=0.000 ms wait_ffn=0.000 ms
[svd-offload-client-stage-profile] rpc_send_total=0.000 ms rpc_wait_total=0.000 ms
[svd-offload-client-debug] finish_fail_up_gate=0 finish_fail_down=0 finish_fail_other=0 finish_fail_ffn=0 cache_take_fail_up=0 cache_take_fail_gate=0 recv_up_sum_abs=0.000000e+00 recv_up_max_abs=0.000000e+00 recv_up_zero=0 recv_gate_sum_abs=0.000000e+00 recv_gate_max_abs=0.000000e+00 recv_gate_zero=0 recv_down_sum_abs=0.000000e+00 recv_down_max_abs=0.000000e+00 recv_down_zero=0 recv_other_sum_abs=0.000000e+00 recv_other_max_abs=0.000000e+00 recv_other_zero=0 recv_ffn_sum_abs=0.000000e+00 recv_ffn_max_abs=0.000000e+00 recv_ffn_zero=0
SUCCEED (one forward pass done)"
2c_balanced_mid,0,2,"60,61","50,50",model_schedule,skipped_edge_end_no_svd_no_adb,edge_end_no_svd,0,,,,,,,,
2c_balanced_mid,1,2,"60,61","50,50",baseline_no_svd,ok,,0,10.3575,96.5483,203.077,0.9114203453063965,True,11,",","llama_context: graph splits = 1
attach_threadpool: call
threads: decode=2 batch=2
prompt tokens: 4
running one forward pass (llama_decode) ...
Top-5 next-token candidates:
  id=11 logit=20.2053 piece="",""
  id=304 logit=18.9277 piece="" in""
  id=3837 logit=18.7558 piece=""，""
  id=1052 logit=18.5616 piece="" there""
  id=358 logit=17.8374 piece="" I""
Autoregressive generation:
Generated text: ,
Decode-only throughput: 10.3575 tokens/s (1 tokens in 0.0965483 s of llama_decode)
End-to-end throughput: 10.3246 tokens/s (1 tokens in 0.096856 s)
[decode-stage-profile] model_load=382.113 ms context_create=60.3522 ms tokenize=0.454144 ms prefill_decode=203.077 ms generation_decode=96.5483 ms generation_total=96.856 ms program_total=759.786 ms
[svd-local-op-profile] up_ops=56 gate_ops=56 down_ops=56 up_total=92.182 ms gate_total=85.510 ms down_total=68.945 ms up_v=16.022 ms gate_v=13.033 ms down_v=56.033 ms up_u=76.155 ms gate_u=72.470 ms down_u=12.910 ms
[svd-local-stage-profile] attention_total=1.649 ms ffn_total=248.607 ms ffn_svd_total=246.637 ms ffn_svd_v=85.088 ms ffn_svd_u=161.535 ms
[svd-offload-zero-profile] up_finish=0 up_cache=0 up_no_request=27 gate_finish=0 gate_cache=0 gate_no_request=27 down_finish=0 down_cache=0 down_no_request=27 other_finish=0 other_cache=0 other_no_request=0
[svd-local-timeout-profile] up_keep=0 up_drop=0 up_wait=0.000 ms gate_keep=0 gate_drop=0 gate_wait=0.000 ms down_keep=0 down_drop=0 down_wait=0.000 ms other_keep=0 other_drop=0 other_wait=0.000 ms
[svd-offload-client] up_gate_req=0 down_req=0 other_mat_req=0 ffn_req=0 gate_cache_hits=0 gate_cache_checks=0 miss_invalid=0 miss_layer=0 miss_rank=0 miss_hash=0 miss_output=0 miss_data=0 send_up_gate=0.000 ms send_down=0.000 ms send_other=0.000 ms send_ffn=0.000 ms wait_up_gate=0.000 ms wait_down=0.000 ms wait_other=0.000 ms wait_ffn=0.000 ms
[svd-offload-client-stage-profile] rpc_send_total=0.000 ms rpc_wait_total=0.000 ms
[svd-offload-client-debug] finish_fail_up_gate=0 finish_fail_down=0 finish_fail_other=0 finish_fail_ffn=0 cache_take_fail_up=0 cache_take_fail_gate=0 recv_up_sum_abs=0.000000e+00 recv_up_max_abs=0.000000e+00 recv_up_zero=0 recv_gate_sum_abs=0.000000e+00 recv_gate_max_abs=0.000000e+00 recv_gate_zero=0 recv_down_sum_abs=0.000000e+00 recv_down_max_abs=0.000000e+00 recv_down_zero=0 recv_other_sum_abs=0.000000e+00 recv_other_max_abs=0.000000e+00 recv_other_zero=0 recv_ffn_sum_abs=0.000000e+00 recv_ffn_max_abs=0.000000e+00 recv_ffn_zero=0
SUCCEED (one forward pass done)"
2c_balanced_mid,1,2,"60,61","50,50",model_schedule,skipped_edge_end_no_svd_no_adb,edge_end_no_svd,0,,,,,,,,
2c_balanced_mid,2,2,"60,61","50,50",baseline_no_svd,ok,,0,12.0377,83.0721,181.138,1.0438246726989746,True,11,",","llama_context: graph splits = 1
attach_threadpool: call
threads: decode=2 batch=2
prompt tokens: 4
running one forward pass (llama_decode) ...
Top-5 next-token candidates:
  id=11 logit=20.2053 piece="",""
  id=304 logit=18.9277 piece="" in""
  id=3837 logit=18.7558 piece=""，""
  id=1052 logit=18.5616 piece="" there""
  id=358 logit=17.8374 piece="" I""
Autoregressive generation:
Generated text: ,
Decode-only throughput: 12.0377 tokens/s (1 tokens in 0.0830721 s of llama_decode)
End-to-end throughput: 11.9896 tokens/s (1 tokens in 0.0834055 s)
[decode-stage-profile] model_load=552.366 ms context_create=55.0742 ms tokenize=0.461604 ms prefill_decode=181.138 ms generation_decode=83.0721 ms generation_total=83.4055 ms program_total=889.325 ms
[svd-local-op-profile] up_ops=56 gate_ops=56 down_ops=56 up_total=81.192 ms gate_total=73.589 ms down_total=59.054 ms up_v=11.153 ms gate_v=11.142 ms down_v=48.059 ms up_u=70.035 ms gate_u=62.446 ms down_u=10.993 ms
[svd-local-stage-profile] attention_total=1.629 ms ffn_total=215.648 ms ffn_svd_total=213.835 ms ffn_svd_v=70.354 ms ffn_svd_u=143.474 ms
[svd-offload-zero-profile] up_finish=0 up_cache=0 up_no_request=27 gate_finish=0 gate_cache=0 gate_no_request=27 down_finish=0 down_cache=0 down_no_request=27 other_finish=0 other_cache=0 other_no_request=0
[svd-local-timeout-profile] up_keep=0 up_drop=0 up_wait=0.000 ms gate_keep=0 gate_drop=0 gate_wait=0.000 ms down_keep=0 down_drop=0 down_wait=0.000 ms other_keep=0 other_drop=0 other_wait=0.000 ms
[svd-offload-client] up_gate_req=0 down_req=0 other_mat_req=0 ffn_req=0 gate_cache_hits=0 gate_cache_checks=0 miss_invalid=0 miss_layer=0 miss_rank=0 miss_hash=0 miss_output=0 miss_data=0 send_up_gate=0.000 ms send_down=0.000 ms send_other=0.000 ms send_ffn=0.000 ms wait_up_gate=0.000 ms wait_down=0.000 ms wait_other=0.000 ms wait_ffn=0.000 ms
[svd-offload-client-stage-profile] rpc_send_total=0.000 ms rpc_wait_total=0.000 ms
[svd-offload-client-debug] finish_fail_up_gate=0 finish_fail_down=0 finish_fail_other=0 finish_fail_ffn=0 cache_take_fail_up=0 cache_take_fail_gate=0 recv_up_sum_abs=0.000000e+00 recv_up_max_abs=0.000000e+00 recv_up_zero=0 recv_gate_sum_abs=0.000000e+00 recv_gate_max_abs=0.000000e+00 recv_gate_zero=0 recv_down_sum_abs=0.000000e+00 recv_down_max_abs=0.000000e+00 recv_down_zero=0 recv_other_sum_abs=0.000000e+00 recv_other_max_abs=0.000000e+00 recv_other_zero=0 recv_ffn_sum_abs=0.000000e+00 recv_ffn_max_abs=0.000000e+00 recv_ffn_zero=0
SUCCEED (one forward pass done)"
2c_balanced_mid,2,2,"60,61","50,50",model_schedule,skipped_edge_end_no_svd_no_adb,edge_end_no_svd,0,,,,,,,,
2c_asym_low_high,0,2,"60,61","20,80",baseline_no_svd,ok,,0,9.45741,105.737,200.375,0.9672245979309082,True,11,",","llama_context: graph splits = 1
attach_threadpool: call
threads: decode=2 batch=2
prompt tokens: 4
running one forward pass (llama_decode) ...
Top-5 next-token candidates:
  id=11 logit=20.2053 piece="",""
  id=304 logit=18.9277 piece="" in""
  id=3837 logit=18.7558 piece=""，""
  id=1052 logit=18.5616 piece="" there""
  id=358 logit=17.8374 piece="" I""
Autoregressive generation:
Generated text: ,
Decode-only throughput: 9.45741 tokens/s (1 tokens in 0.105737 s of llama_decode)
End-to-end throughput: 9.42991 tokens/s (1 tokens in 0.106046 s)
[decode-stage-profile] model_load=429.682 ms context_create=59.4412 ms tokenize=0.464017 ms prefill_decode=200.375 ms generation_decode=105.737 ms generation_total=106.046 ms program_total=813.063 ms
[svd-local-op-profile] up_ops=56 gate_ops=56 down_ops=56 up_total=91.363 ms gate_total=85.576 ms down_total=70.458 ms up_v=16.921 ms gate_v=12.928 ms down_v=57.725 ms up_u=74.441 ms gate_u=72.640 ms down_u=12.728 ms
[svd-local-stage-profile] attention_total=1.722 ms ffn_total=249.408 ms ffn_svd_total=247.397 ms ffn_svd_v=87.574 ms ffn_svd_u=159.809 ms
[svd-offload-zero-profile] up_finish=0 up_cache=0 up_no_request=27 gate_finish=0 gate_cache=0 gate_no_request=27 down_finish=0 down_cache=0 down_no_request=27 other_finish=0 other_cache=0 other_no_request=0
[svd-local-timeout-profile] up_keep=0 up_drop=0 up_wait=0.000 ms gate_keep=0 gate_drop=0 gate_wait=0.000 ms down_keep=0 down_drop=0 down_wait=0.000 ms other_keep=0 other_drop=0 other_wait=0.000 ms
[svd-offload-client] up_gate_req=0 down_req=0 other_mat_req=0 ffn_req=0 gate_cache_hits=0 gate_cache_checks=0 miss_invalid=0 miss_layer=0 miss_rank=0 miss_hash=0 miss_output=0 miss_data=0 send_up_gate=0.000 ms send_down=0.000 ms send_other=0.000 ms send_ffn=0.000 ms wait_up_gate=0.000 ms wait_down=0.000 ms wait_other=0.000 ms wait_ffn=0.000 ms
[svd-offload-client-stage-profile] rpc_send_total=0.000 ms rpc_wait_total=0.000 ms
[svd-offload-client-debug] finish_fail_up_gate=0 finish_fail_down=0 finish_fail_other=0 finish_fail_ffn=0 cache_take_fail_up=0 cache_take_fail_gate=0 recv_up_sum_abs=0.000000e+00 recv_up_max_abs=0.000000e+00 recv_up_zero=0 recv_gate_sum_abs=0.000000e+00 recv_gate_max_abs=0.000000e+00 recv_gate_zero=0 recv_down_sum_abs=0.000000e+00 recv_down_max_abs=0.000000e+00 recv_down_zero=0 recv_other_sum_abs=0.000000e+00 recv_other_max_abs=0.000000e+00 recv_other_zero=0 recv_ffn_sum_abs=0.000000e+00 recv_ffn_max_abs=0.000000e+00 recv_ffn_zero=0
SUCCEED (one forward pass done)"
2c_asym_low_high,0,2,"60,61","20,80",model_schedule,skipped_edge_end_no_svd_no_adb,edge_end_no_svd,0,,,,,,,,
2c_asym_low_high,1,2,"60,61","20,80",baseline_no_svd,ok,,0,9.47574,105.533,198.376,0.9511923789978027,True,11,",","llama_context: graph splits = 1
attach_threadpool: call
threads: decode=2 batch=2
prompt tokens: 4
running one forward pass (llama_decode) ...
Top-5 next-token candidates:
  id=11 logit=20.2053 piece="",""
  id=304 logit=18.9277 piece="" in""
  id=3837 logit=18.7558 piece=""，""
  id=1052 logit=18.5616 piece="" there""
  id=358 logit=17.8374 piece="" I""
Autoregressive generation:
Generated text: ,
Decode-only throughput: 9.47574 tokens/s (1 tokens in 0.105533 s of llama_decode)
End-to-end throughput: 9.44802 tokens/s (1 tokens in 0.105842 s)
[decode-stage-profile] model_load=417.148 ms context_create=56.9942 ms tokenize=0.455055 ms prefill_decode=198.376 ms generation_decode=105.533 ms generation_total=105.842 ms program_total=795.819 ms
[svd-local-op-profile] up_ops=56 gate_ops=56 down_ops=56 up_total=85.692 ms gate_total=90.029 ms down_total=70.290 ms up_v=12.667 ms gate_v=13.005 ms down_v=57.402 ms up_u=73.022 ms gate_u=77.020 ms down_u=12.883 ms
[svd-local-stage-profile] attention_total=1.675 ms ffn_total=247.906 ms ffn_svd_total=246.011 ms ffn_svd_v=83.074 ms ffn_svd_u=162.925 ms
[svd-offload-zero-profile] up_finish=0 up_cache=0 up_no_request=27 gate_finish=0 gate_cache=0 gate_no_request=27 down_finish=0 down_cache=0 down_no_request=27 other_finish=0 other_cache=0 other_no_request=0
[svd-local-timeout-profile] up_keep=0 up_drop=0 up_wait=0.000 ms gate_keep=0 gate_drop=0 gate_wait=0.000 ms down_keep=0 down_drop=0 down_wait=0.000 ms other_keep=0 other_drop=0 other_wait=0.000 ms
[svd-offload-client] up_gate_req=0 down_req=0 other_mat_req=0 ffn_req=0 gate_cache_hits=0 gate_cache_checks=0 miss_invalid=0 miss_layer=0 miss_rank=0 miss_hash=0 miss_output=0 miss_data=0 send_up_gate=0.000 ms send_down=0.000 ms send_other=0.000 ms send_ffn=0.000 ms wait_up_gate=0.000 ms wait_down=0.000 ms wait_other=0.000 ms wait_ffn=0.000 ms
[svd-offload-client-stage-profile] rpc_send_total=0.000 ms rpc_wait_total=0.000 ms
[svd-offload-client-debug] finish_fail_up_gate=0 finish_fail_down=0 finish_fail_other=0 finish_fail_ffn=0 cache_take_fail_up=0 cache_take_fail_gate=0 recv_up_sum_abs=0.000000e+00 recv_up_max_abs=0.000000e+00 recv_up_zero=0 recv_gate_sum_abs=0.000000e+00 recv_gate_max_abs=0.000000e+00 recv_gate_zero=0 recv_down_sum_abs=0.000000e+00 recv_down_max_abs=0.000000e+00 recv_down_zero=0 recv_other_sum_abs=0.000000e+00 recv_other_max_abs=0.000000e+00 recv_other_zero=0 recv_ffn_sum_abs=0.000000e+00 recv_ffn_max_abs=0.000000e+00 recv_ffn_zero=0
SUCCEED (one forward pass done)"
2c_asym_low_high,1,2,"60,61","20,80",model_schedule,skipped_edge_end_no_svd_no_adb,edge_end_no_svd,0,,,,,,,,
