scenario,n_cores,cpus,loads,baseline_runs,schedule_runs,baseline_tok_s,schedule_tok_s,speedup_vs_baseline,baseline_tok_s_median,schedule_tok_s_median,speedup_vs_baseline_median,baseline_decode_ms,schedule_decode_ms,baseline_decode_ms_median,schedule_decode_ms_median,mode,offload_m,p,major_cpus,minor_cpus,clipped_layers,max_rate,estimated_total_ms,estimated_speedup
2c_asym_low_high,2,"60,61","20,80",3,0,10.287883333333333,,,9.47574,,,98.36303333333335,,105.533,,edge_end_no_svd,20,0,,,0,0.0,62.0316,1.382728319114774
2c_balanced_mid,2,"60,61","50,50",3,0,11.225666666666667,,,11.2818,,,89.41956666666665,,88.6383,,edge_end_no_svd,20,0,,,0,0.0,62.0316,1.402822110021344
2c_high,2,"60,61","80,100",3,0,11.446933333333334,,,11.3364,,,87.41253333333333,,88.2116,,edge_end_no_svd,2,0,,,0,0.0,75.8583,1.176547773941678
2c_idle_saturated,2,"60,61","0,100",3,0,11.7644,,,11.8377,,,85.01946666666667,,84.4756,,edge_end_no_svd,20,0,,,0,0.0,62.0316,4.27487356444135
4c_balanced_high,4,"60,61,62,63","20,40,60,80",3,3,14.478770000000003,14.478770000000003,1.0,19.1139,19.1139,1.0,140.60123333333334,140.60123333333334,52.318,52.318,local,28,4,"60,61,62,63",,0,0.0,51.899568,1.0000000963399154
4c_front_hot,4,"60,61,62,63","90,70,20,0",3,3,15.47864,20.193433333333335,1.3045999734688147,20.5645,20.3104,0.9876437550147099,103.71996666666666,49.54006666666667,48.6276,49.2359,local,28,3,"61,62,63",60,14,0.4,57.269466,1.0321396396467186
4c_gradient,4,"60,61,62,63","0,20,60,100",3,3,12.83793,18.243566666666666,1.4210676227917325,16.4476,18.0706,1.0986770106276902,156.91639999999998,54.97876666666667,60.7991,55.3384,local,28,3,"60,61,62",63,14,0.5,57.232575000000004,7.180697426247202
4c_high,4,"60,61,62,63","70,80,90,100",3,3,20.398233333333334,17.3959,0.852814050890028,20.541,17.6188,0.8577381821722408,49.0479,57.5266,48.6831,56.7575,local,28,3,"61,62,63",60,14,0.7,57.23219,1.197121934351979
6c_front_hot,6,"60,61,62,63,64,65","100,80,60,30,10,0",3,0,8.148769333333332,,,4.96327,,,2059.8650666666667,,201.48,,edge_end,22,3,"62,63,65","60,61,64",11,0.9,38.515019,4.182825224622114
6c_high,6,"60,61,62,63,64,65","50,60,70,80,90,100",3,3,26.983900000000002,21.990633333333335,0.8149538552000761,27.3176,20.6636,0.7564207690280259,37.07233333333333,45.853100000000005,36.6065,48.3943,local,28,5,"60,61,62,63,64",65,14,0.3,37.452892,2.176192054808478
6c_mixed,6,"60,61,62,63,64,65","0,20,40,60,80,100",3,3,23.326666666666668,20.80196666666667,0.8917676478993999,22.7898,20.4897,0.8990732696206197,43.050466666666665,48.26403333333334,43.8792,48.8049,local,28,4,"60,61,62,63","64,65",14,0.9,37.38389,10.579452298837815
6c_ramp_light,6,"60,61,62,63,64,65","0,10,20,30,40,50",3,3,24.8856,24.283299999999997,0.9757972482077988,24.5063,24.2307,0.9887539122592965,40.27296666666667,41.1843,40.8058,41.27,local,28,5,"60,61,62,63,65",64,14,0.3,37.492242,1.0389425364319371
8c_front_hot,8,"60,61,62,63,64,65,66,67","100,90,80,70,30,20,10,0",3,0,26.05,,,26.2005,,,38.5222,,38.1672,,edge_end,1,4,"61,62,63,66","60,64,65,67",1,0.9,33.263211,2.4227970053763
8c_high,8,"60,61,62,63,64,65,66,67","30,40,50,60,70,80,90,100",3,3,28.825366666666667,23.352966666666664,0.8101533256009462,29.4303,24.308,0.8259514853739174,34.73883333333333,43.11666666666667,33.9786,41.1387,local,28,6,"61,62,63,64,65,66","60,67",14,0.9,32.24377,1.397283444212634
8c_mixed,8,"60,61,62,63,64,65,66,67","0,20,40,60,80,100,30,50",3,3,16.606006,23.636366666666664,1.423362527188456,21.3624,24.7582,1.1589615399018836,2080.9684666666667,42.55733333333333,46.8113,40.3907,local,28,6,"60,61,62,63,66,67","64,65",14,0.9,32.15121,3.8918693262244255
8c_ramp_light,8,"60,61,62,63,64,65,66,67","0,10,20,30,40,50,60,70",3,3,29.15046666666667,0.8114533333333335,0.027836718451619988,28.2094,0.258164,0.009151701205980986,34.377633333333335,3503.1513333333332,35.4492,3873.51,local,28,7,"60,61,62,63,64,65,66",67,14,0.6,32.257149999999996,1.311716968176048
