scenario,n_cores,cpus,loads,baseline_runs,schedule_runs,baseline_tok_s,schedule_tok_s,speedup_vs_baseline,baseline_tok_s_median,schedule_tok_s_median,speedup_vs_baseline_median,baseline_decode_ms,schedule_decode_ms,baseline_decode_ms_median,schedule_decode_ms_median,mode,offload_m,p,major_cpus,minor_cpus,clipped_layers,max_rate,estimated_total_ms,estimated_speedup
2c_asym_low_high,2,"60,61","20,80",1,0,8.90053,,,8.90053,,,112.353,,112.353,,edge_end_no_svd,20,0,,,0,0.0,62.0316,1.382728319114774
2c_balanced_mid,2,"60,61","50,50",1,0,9.16132,,,9.16132,,,109.155,,109.155,,edge_end_no_svd,20,0,,,0,0.0,62.0316,1.402822110021344
2c_high,2,"60,61","80,100",1,0,8.98355,,,8.98355,,,111.315,,111.315,,edge_end_no_svd,2,0,,,0,0.0,75.8583,1.176547773941678
2c_idle_saturated,2,"60,61","0,100",1,0,9.57744,,,9.57744,,,104.412,,104.412,,edge_end_no_svd,20,0,,,0,0.0,62.0316,4.27487356444135
4c_balanced_high,4,"60,61,62,63","20,40,60,80",1,1,17.826,17.826,1.0,17.826,17.826,1.0,56.0979,56.0979,56.0979,56.0979,local,28,4,"60,61,62,63",,0,0.0,51.899568,1.0000000963399154
4c_front_hot,4,"60,61,62,63","90,70,20,0",1,1,17.8912,2.57013,0.14365330441781432,17.8912,2.57013,0.14365330441781432,55.8935,389.086,55.8935,389.086,local,28,3,"61,62,63",60,14,0.4,57.269466,1.0321396396467186
4c_gradient,4,"60,61,62,63","0,20,60,100",1,1,16.5411,13.884,0.8393637666176977,16.5411,13.884,0.8393637666176977,60.4553,72.0255,60.4553,72.0255,local,28,3,"60,61,62",63,14,0.5,57.232575000000004,7.180697426247202
4c_high,4,"60,61,62,63","70,80,90,100",1,1,20.7659,17.1658,0.826634049090095,20.7659,17.1658,0.826634049090095,48.1558,58.2555,48.1558,58.2555,local,28,3,"61,62,63",60,14,0.7,57.23219,1.197121934351979
6c_front_hot,6,"60,61,62,63,64,65","100,80,60,30,10,0",1,0,25.3065,,,25.3065,,,39.5155,,39.5155,,edge_end,22,3,"62,63,65","60,61,64",11,0.9,38.515019,4.182825224622114
6c_high,6,"60,61,62,63,64,65","50,60,70,80,90,100",1,1,22.4297,23.7676,1.059648590930775,22.4297,23.7676,1.059648590930775,44.5838,42.0741,44.5838,42.0741,local,28,5,"60,61,62,63,64",65,14,0.3,37.452892,2.176192054808478
6c_mixed,6,"60,61,62,63,64,65","0,20,40,60,80,100",1,1,22.8918,0.273279,0.011937855476633554,22.8918,0.273279,0.011937855476633554,43.6837,3659.26,43.6837,3659.26,local,28,4,"60,61,62,63","64,65",14,0.9,37.38389,10.579452298837815
6c_ramp_light,6,"60,61,62,63,64,65","0,10,20,30,40,50",1,1,21.7509,4.32041,0.19863132100280906,21.7509,4.32041,0.19863132100280906,45.9751,231.46,45.9751,231.46,local,28,5,"60,61,62,63,65",64,14,0.3,37.492242,1.0389425364319371
8c_front_hot,8,"60,61,62,63,64,65,66,67","100,90,80,70,30,20,10,0",1,0,28.2755,,,28.2755,,,35.3663,,35.3663,,edge_end,1,4,"61,62,63,66","60,64,65,67",1,0.9,33.263211,2.4227970053763
8c_high,8,"60,61,62,63,64,65,66,67","30,40,50,60,70,80,90,100",1,1,27.4511,21.6335,0.7880740662487113,27.4511,21.6335,0.7880740662487113,36.4284,46.2246,36.4284,46.2246,local,28,6,"61,62,63,64,65,66","60,67",14,0.9,32.24377,1.397283444212634
8c_mixed,8,"60,61,62,63,64,65,66,67","0,20,40,60,80,100,30,50",1,1,0.275917,20.2388,73.3510439733688,0.275917,20.2388,73.3510439733688,3624.27,49.4101,3624.27,49.4101,local,28,6,"60,61,62,63,66,67","64,65",14,0.9,32.15121,3.8918693262244255
8c_ramp_light,8,"60,61,62,63,64,65,66,67","0,10,20,30,40,50,60,70",1,1,19.9179,19.6149,0.9847875529046737,19.9179,19.6149,0.9847875529046737,50.206,50.9817,50.206,50.9817,local,28,7,"60,61,62,63,64,65,66",67,14,0.6,32.257149999999996,1.311716968176048
