scenario,n_cores,cpus,loads,baseline_runs,schedule_runs,baseline_tok_s,schedule_tok_s,speedup_vs_baseline,baseline_tok_s_median,schedule_tok_s_median,speedup_vs_baseline_median,baseline_decode_ms,schedule_decode_ms,baseline_decode_ms_median,schedule_decode_ms_median,mode,offload_m,p,major_cpus,minor_cpus,clipped_layers,max_rate,estimated_total_ms,estimated_speedup
2c_asym_low_high,2,"60,61","20,80",3,0,10.511213333333332,,,10.569,,,96.08303333333333,,94.6167,,edge_end_no_svd,20,0,,,0,0.0,62.0316,1.382728319114774
2c_balanced_mid,2,"60,61","50,50",3,0,9.459846666666666,,,9.51928,,,105.74133333333333,,105.05,,edge_end_no_svd,20,0,,,0,0.0,62.0316,1.402822110021344
2c_high,2,"60,61","80,100",3,0,10.726840000000001,,,10.4069,,,93.87773333333332,,96.0904,,edge_end_no_svd,2,0,,,0,0.0,75.8583,1.176547773941678
2c_idle_saturated,2,"60,61","0,100",3,0,11.381366666666667,,,11.7703,,,88.10273333333333,,84.9593,,edge_end_no_svd,20,0,,,0,0.0,62.0316,4.27487356444135
4c_balanced_high,4,"60,61,62,63","20,40,60,80",3,3,14.611386666666668,14.611386666666668,1.0,19.8716,19.8716,1.0,161.23946666666666,161.23946666666666,50.3231,50.3231,local,28,4,"60,61,62,63",,0,0.0,51.899568,1.0000000963399154
4c_front_hot,4,"60,61,62,63","90,70,20,0",3,3,14.586183333333333,19.935866666666666,1.3667637524552345,19.8042,20.071,1.0134718898011532,156.2578,50.16616666666667,50.4943,49.8232,local,28,3,"61,62,63",60,14,0.4,57.269466,1.0321396396467186
4c_gradient,4,"60,61,62,63","0,20,60,100",3,3,18.7077,11.579482333333333,0.6189687846893703,20.1218,16.1594,0.803079247383435,54.35163333333333,760.7665666666666,49.6972,61.8835,local,28,3,"60,61,62",63,14,0.5,57.232575000000004,7.180697426247202
4c_high,4,"60,61,62,63","70,80,90,100",3,3,21.237233333333332,16.962233333333334,0.798702593087298,21.3379,17.1631,0.804348131728052,47.096466666666664,58.978199999999994,46.8649,58.2645,local,28,3,"61,62,63",60,14,0.7,57.23219,1.197121934351979
6c_front_hot,6,"60,61,62,63,64,65","100,80,60,30,10,0",3,0,17.22001666666667,,,23.1136,,,150.8042,,43.2645,,edge_end,22,3,"62,63,65","60,61,64",11,0.9,38.515019,4.182825224622114
6c_high,6,"60,61,62,63,64,65","50,60,70,80,90,100",3,3,25.985866666666666,16.645194333333333,0.6405479773620532,26.6986,24.667,0.9239061224184041,38.565466666666666,782.9958333333334,37.4552,40.54,local,28,5,"60,61,62,63,64",65,14,0.3,37.452892,2.176192054808478
6c_mixed,6,"60,61,62,63,64,65","0,20,40,60,80,100",3,3,23.712266666666665,15.151893333333334,0.6389896649835247,23.4937,21.278,0.9056896104061939,42.225633333333334,155.63246666666666,42.5647,46.9968,local,28,4,"60,61,62,63","64,65",14,0.9,37.38389,10.579452298837815
6c_ramp_light,6,"60,61,62,63,64,65","0,10,20,30,40,50",3,3,27.34166666666667,11.217196666666666,0.41026016458396825,27.2588,4.55138,0.1669691989375908,36.5754,166.92676666666668,36.6854,219.714,local,28,5,"60,61,62,63,65",64,14,0.3,37.492242,1.0389425364319371
8c_front_hot,8,"60,61,62,63,64,65,66,67","100,90,80,70,30,20,10,0",3,0,14.796159000000001,,,21.4633,,,1669.9971666666668,,46.5911,,edge_end,1,4,"61,62,63,66","60,64,65,67",1,0.9,33.263211,2.4227970053763
8c_high,8,"60,61,62,63,64,65,66,67","30,40,50,60,70,80,90,100",3,3,29.7433,16.885056666666667,0.5676927801107028,30.2904,23.9706,0.7913596386974091,33.68713333333333,180.1172,33.0137,41.7178,local,28,6,"61,62,63,64,65,66","60,67",14,0.9,32.24377,1.397283444212634
8c_mixed,8,"60,61,62,63,64,65,66,67","0,20,40,60,80,100,30,50",3,3,8.256720666666666,19.818133333333332,2.4002426790749287,2.61829,19.3651,7.39608675891517,1559.3185,50.51576666666667,381.928,51.6392,local,28,6,"60,61,62,63,66,67","64,65",14,0.9,32.15121,3.8918693262244255
8c_ramp_light,8,"60,61,62,63,64,65,66,67","0,10,20,30,40,50,60,70",3,3,10.030223,15.295248666666668,1.5249161126992559,2.42606,21.8657,9.012843870308236,2164.7219,492.42079999999993,412.191,45.7338,local,28,7,"60,61,62,63,64,65,66",67,14,0.6,32.257149999999996,1.311716968176048
