scenario,n_cores,cpus,loads,mode,offload_m,feasible,p,major_cpus,minor_cpus,clipped_layers,max_rate,estimated_total_ms,estimated_full_local_ms,estimated_speedup,rates_file,timeouts_file
2c_balanced_mid,2,"60,61","50,50",edge_end_no_svd,20,True,0,,,0,0.0,62.0316,87.0193,1.402822110021344,src/llama.cpp/exp12_algorithms/results/heterogeneous_schedule_with_offload_timeout80_20260502/2c_balanced_mid.rates.txt,src/llama.cpp/exp12_algorithms/results/heterogeneous_schedule_with_offload_timeout80_20260502/2c_balanced_mid.timeouts.txt
2c_asym_low_high,2,"60,61","20,80",edge_end_no_svd,20,True,0,,,0,0.0,62.0316,85.77285,1.382728319114774,src/llama.cpp/exp12_algorithms/results/heterogeneous_schedule_with_offload_timeout80_20260502/2c_asym_low_high.rates.txt,src/llama.cpp/exp12_algorithms/results/heterogeneous_schedule_with_offload_timeout80_20260502/2c_asym_low_high.timeouts.txt
2c_idle_saturated,2,"60,61","0,100",edge_end_no_svd,20,True,0,,,0,0.0,62.0316,265.177247,4.27487356444135,src/llama.cpp/exp12_algorithms/results/heterogeneous_schedule_with_offload_timeout80_20260502/2c_idle_saturated.rates.txt,src/llama.cpp/exp12_algorithms/results/heterogeneous_schedule_with_offload_timeout80_20260502/2c_idle_saturated.timeouts.txt
2c_high,2,"60,61","80,100",edge_end_no_svd,2,True,0,,,0,0.0,75.8583,89.250914,1.176547773941678,src/llama.cpp/exp12_algorithms/results/heterogeneous_schedule_with_offload_timeout80_20260502/2c_high.rates.txt,src/llama.cpp/exp12_algorithms/results/heterogeneous_schedule_with_offload_timeout80_20260502/2c_high.timeouts.txt
4c_gradient,4,"60,61,62,63","0,20,60,100",local,28,True,3,"60,61,62",63,14,0.5,57.232575000000004,410.969804,7.180697426247202,src/llama.cpp/exp12_algorithms/results/heterogeneous_schedule_with_offload_timeout80_20260502/4c_gradient.rates.txt,src/llama.cpp/exp12_algorithms/results/heterogeneous_schedule_with_offload_timeout80_20260502/4c_gradient.timeouts.txt
4c_balanced_high,4,"60,61,62,63","20,40,60,80",local,28,True,4,"60,61,62,63",,0,0.0,51.899568,51.899573,1.0000000963399154,src/llama.cpp/exp12_algorithms/results/heterogeneous_schedule_with_offload_timeout80_20260502/4c_balanced_high.rates.txt,src/llama.cpp/exp12_algorithms/results/heterogeneous_schedule_with_offload_timeout80_20260502/4c_balanced_high.timeouts.txt
4c_front_hot,4,"60,61,62,63","90,70,20,0",local,28,True,3,"61,62,63",60,14,0.4,57.269466,59.110086,1.0321396396467186,src/llama.cpp/exp12_algorithms/results/heterogeneous_schedule_with_offload_timeout80_20260502/4c_front_hot.rates.txt,src/llama.cpp/exp12_algorithms/results/heterogeneous_schedule_with_offload_timeout80_20260502/4c_front_hot.timeouts.txt
4c_high,4,"60,61,62,63","70,80,90,100",local,28,True,3,"61,62,63",60,14,0.7,57.23219,68.51391,1.197121934351979,src/llama.cpp/exp12_algorithms/results/heterogeneous_schedule_with_offload_timeout80_20260502/4c_high.rates.txt,src/llama.cpp/exp12_algorithms/results/heterogeneous_schedule_with_offload_timeout80_20260502/4c_high.timeouts.txt
6c_ramp_light,6,"60,61,62,63,64,65","0,10,20,30,40,50",local,28,True,5,"60,61,62,63,65",64,14,0.3,37.492242,38.952285,1.0389425364319371,src/llama.cpp/exp12_algorithms/results/heterogeneous_schedule_with_offload_timeout80_20260502/6c_ramp_light.rates.txt,src/llama.cpp/exp12_algorithms/results/heterogeneous_schedule_with_offload_timeout80_20260502/6c_ramp_light.timeouts.txt
6c_mixed,6,"60,61,62,63,64,65","0,20,40,60,80,100",local,28,True,4,"60,61,62,63","64,65",14,0.9,37.38389,395.501081,10.579452298837815,src/llama.cpp/exp12_algorithms/results/heterogeneous_schedule_with_offload_timeout80_20260502/6c_mixed.rates.txt,src/llama.cpp/exp12_algorithms/results/heterogeneous_schedule_with_offload_timeout80_20260502/6c_mixed.timeouts.txt
6c_front_hot,6,"60,61,62,63,64,65","100,80,60,30,10,0",edge_end,22,True,3,"62,63,65","60,61,64",11,0.9,38.515019,161.101593,4.182825224622114,src/llama.cpp/exp12_algorithms/results/heterogeneous_schedule_with_offload_timeout80_20260502/6c_front_hot.rates.txt,src/llama.cpp/exp12_algorithms/results/heterogeneous_schedule_with_offload_timeout80_20260502/6c_front_hot.timeouts.txt
6c_high,6,"60,61,62,63,64,65","50,60,70,80,90,100",local,28,True,5,"60,61,62,63,64",65,14,0.3,37.452892,81.504686,2.176192054808478,src/llama.cpp/exp12_algorithms/results/heterogeneous_schedule_with_offload_timeout80_20260502/6c_high.rates.txt,src/llama.cpp/exp12_algorithms/results/heterogeneous_schedule_with_offload_timeout80_20260502/6c_high.timeouts.txt
8c_ramp_light,8,"60,61,62,63,64,65,66,67","0,10,20,30,40,50,60,70",local,28,True,7,"60,61,62,63,64,65,66",67,14,0.6,32.257149999999996,42.312251,1.311716968176048,src/llama.cpp/exp12_algorithms/results/heterogeneous_schedule_with_offload_timeout80_20260502/8c_ramp_light.rates.txt,src/llama.cpp/exp12_algorithms/results/heterogeneous_schedule_with_offload_timeout80_20260502/8c_ramp_light.timeouts.txt
8c_mixed,8,"60,61,62,63,64,65,66,67","0,20,40,60,80,100,30,50",local,28,True,6,"60,61,62,63,66,67","64,65",14,0.9,32.15121,125.128308,3.8918693262244255,src/llama.cpp/exp12_algorithms/results/heterogeneous_schedule_with_offload_timeout80_20260502/8c_mixed.rates.txt,src/llama.cpp/exp12_algorithms/results/heterogeneous_schedule_with_offload_timeout80_20260502/8c_mixed.timeouts.txt
8c_front_hot,8,"60,61,62,63,64,65,66,67","100,90,80,70,30,20,10,0",edge_end,1,True,4,"61,62,63,66","60,64,65,67",1,0.9,33.263211,80.590008,2.4227970053763,src/llama.cpp/exp12_algorithms/results/heterogeneous_schedule_with_offload_timeout80_20260502/8c_front_hot.rates.txt,src/llama.cpp/exp12_algorithms/results/heterogeneous_schedule_with_offload_timeout80_20260502/8c_front_hot.timeouts.txt
8c_high,8,"60,61,62,63,64,65,66,67","30,40,50,60,70,80,90,100",local,28,True,6,"61,62,63,64,65,66","60,67",14,0.9,32.24377,45.053686,1.397283444212634,src/llama.cpp/exp12_algorithms/results/heterogeneous_schedule_with_offload_timeout80_20260502/8c_high.rates.txt,src/llama.cpp/exp12_algorithms/results/heterogeneous_schedule_with_offload_timeout80_20260502/8c_high.timeouts.txt
