scenario,loads,candidate_policy,candidate_cpus,baseline_tok_s_median,candidate_tok_s_median,speedup_vs_baseline,runs,selected,selected_policy,selected_speedup
4c_front_hot,"90,70,20,0",major_only_p1,63,17.4465,6.20011,0.3553784426675837,9,0,baseline_all_cores,1.0
4c_front_hot,"90,70,20,0",major_only_p2,"63,62",17.4465,9.7278,0.5575788840168515,9,0,baseline_all_cores,1.0
4c_front_hot,"90,70,20,0",major_only_p3,"63,62,61",17.4465,11.3331,0.6495916086321039,9,0,baseline_all_cores,1.0
8c_high,"30,40,50,60,70,80,90,100",major_only_p1,60,24.4486,5.78583,0.23665281447608452,9,0,major_only_p7,1.0683352011976146
8c_high,"30,40,50,60,70,80,90,100",major_only_p2,"60,61",24.4486,10.0086,0.4093731338399745,9,0,major_only_p7,1.0683352011976146
8c_high,"30,40,50,60,70,80,90,100",major_only_p3,"60,61,62",24.4486,12.5009,0.5113135312451429,9,0,major_only_p7,1.0683352011976146
8c_high,"30,40,50,60,70,80,90,100",major_only_p4,"60,61,62,63",24.4486,17.2878,0.7071079734626933,9,0,major_only_p7,1.0683352011976146
8c_high,"30,40,50,60,70,80,90,100",major_only_p5,"60,61,62,63,64",24.4486,19.9911,0.817678721890006,9,0,major_only_p7,1.0683352011976146
8c_high,"30,40,50,60,70,80,90,100",major_only_p6,"60,61,62,63,64,65",24.4486,23.1647,0.9474857456050654,9,0,major_only_p7,1.0683352011976146
8c_high,"30,40,50,60,70,80,90,100",major_only_p7,"60,61,62,63,64,65,66",24.4486,26.1193,1.0683352011976146,9,1,major_only_p7,1.0683352011976146
