scenario,n_cores,cpus,loads,runs,tok_s_median,tok_s_mean,tok_s_min,tok_s_max
4c_front_hot,4,"60,61,62,63","90,70,20,0",3,12.8982,12.8484,12.1611,13.4859
4c_high,4,"60,61,62,63","70,80,90,100",3,13.0021,13.1235,12.8776,13.4908
4c_mixed,4,"60,61,62,63","0,30,60,90",3,13.397,13.3093,12.9874,13.5435
4c_ramp_light,4,"60,61,62,63","0,10,20,30",3,13.4796,13.481233333333334,13.4,13.5641
6c_front_hot,6,"60,61,62,63,64,65","100,80,60,30,10,0",3,15.1649,15.160166666666667,15.0192,15.2964
6c_high,6,"60,61,62,63,64,65","50,60,70,80,90,100",3,15.6141,15.544633333333332,15.1011,15.9187
6c_mixed,6,"60,61,62,63,64,65","0,20,40,60,80,100",3,15.4372,15.452633333333333,14.8171,16.1036
6c_ramp_light,6,"60,61,62,63,64,65","0,10,20,30,40,50",3,16.6595,16.651933333333336,16.6185,16.6778
8c_front_hot,8,"60,61,62,63,64,65,66,67","100,90,80,70,30,20,10,0",3,15.6752,15.6635,14.4791,16.8362
8c_high,8,"60,61,62,63,64,65,66,67","30,40,50,60,70,80,90,100",3,15.8871,15.314766666666666,13.4684,16.5888
8c_mixed,8,"60,61,62,63,64,65,66,67","0,20,40,60,80,100,30,50",3,14.7553,10.298521333333333,0.310364,15.8299
8c_ramp_light,8,"60,61,62,63,64,65,66,67","0,10,20,30,40,50,60,70",3,14.2282,9.995744666666667,0.551034,15.208
