scenario,n_cores,cpus,loads,runs,tok_s_median,tok_s_mean,tok_s_min,tok_s_max
4c_front_hot,4,"60,61,62,63","90,70,20,0",3,18.9869,15.146783333333332,2.17455,24.2789
4c_high,4,"60,61,62,63","70,80,90,100",3,23.5672,22.983366666666665,21.6295,23.7534
4c_mixed,4,"60,61,62,63","0,30,60,90",3,21.6379,16.519416666666668,4.48025,23.4401
4c_ramp_light,4,"60,61,62,63","0,10,20,30",3,23.7238,23.58866666666667,23.3181,23.7241
6c_front_hot,6,"60,61,62,63,64,65","100,80,60,30,10,0",3,24.495,23.97383333333333,22.8849,24.5416
6c_high,6,"60,61,62,63,64,65","50,60,70,80,90,100",3,29.1867,26.39476666666667,20.6264,29.3712
6c_mixed,6,"60,61,62,63,64,65","0,20,40,60,80,100",3,4.73233,7.675392666666666,0.649948,17.6439
6c_ramp_light,6,"60,61,62,63,64,65","0,10,20,30,40,50",3,1.70776,9.96492,1.6833,26.5037
8c_front_hot,8,"60,61,62,63,64,65,66,67","100,90,80,70,30,20,10,0",3,0.844694,8.792083666666667,0.612057,24.9195
8c_high,8,"60,61,62,63,64,65,66,67","30,40,50,60,70,80,90,100",3,26.8523,26.538166666666665,25.811,26.9512
8c_mixed,8,"60,61,62,63,64,65,66,67","0,20,40,60,80,100,30,50",3,0.197693,6.966167666666667,0.19501,20.5058
8c_ramp_light,8,"60,61,62,63,64,65,66,67","0,10,20,30,40,50,60,70",3,1.03527,11.290226333333331,0.238309,32.5971
