scenario,policy,runs,tok_s_median,tok_s_min,speedup_median
2c_balanced_mid,all_0.4,3,12.5418,12.0995,1.1130161603791167
2c_balanced_mid,all_0.5,3,12.6954,12.5126,1.126647320358883
2c_balanced_mid,all_0.6,3,13.8998,12.899,1.233531233637727
2c_balanced_mid,all_0.7,3,13.119,12.8418,1.164239503740582
2c_balanced_mid,all_0.8,3,14.7171,13.3729,1.306062138920689
2c_balanced_mid,all_0.85,3,15.527,14.3551,1.3779363346733757
2c_balanced_mid,all_0.9,3,19.4154,16.5637,1.7230105694736564
2c_balanced_mid,baseline_no_svd,3,11.2683,9.25238,1.0
2c_balanced_mid,even_0.4,3,12.3481,12.0963,1.0958263447015077
2c_balanced_mid,even_0.5,3,12.5057,12.2303,1.109812482805747
2c_balanced_mid,even_0.6,3,12.3345,11.7281,1.0946194190782994
2c_balanced_mid,even_0.7,3,11.7329,11.6048,1.0412307091575483
2c_balanced_mid,even_0.8,3,12.468,2.43844,1.1064668139825884
2c_balanced_mid,even_0.85,3,13.3804,13.366,1.1874373241748977
2c_balanced_mid,even_0.9,3,14.221,13.9259,1.2620359770329153
2c_balanced_mid,mod3_0_0.4,3,12.3573,12.2992,1.0966427943877959
2c_balanced_mid,mod3_0_0.5,3,11.8176,11.3015,1.0487473709432658
2c_balanced_mid,mod3_0_0.6,3,12.4276,11.9048,1.1028815349254102
2c_balanced_mid,mod3_0_0.7,3,12.3338,11.7329,1.0945572979065166
2c_balanced_mid,mod3_0_0.8,3,11.8841,11.5915,1.0546488822626305
2c_balanced_mid,mod3_0_0.85,3,12.3967,12.2485,1.1001393289138557
2c_balanced_mid,mod3_0_0.9,3,13.2871,13.2533,1.1791574594215632
2c_balanced_mid,mod3_1_0.4,3,12.4281,12.2869,1.1029259071909694
2c_balanced_mid,mod3_1_0.5,3,12.4759,12.3437,1.1071678957784226
2c_balanced_mid,mod3_1_0.6,3,12.296,11.8617,1.0912027546302459
2c_balanced_mid,mod3_1_0.7,3,12.4454,11.6551,1.1044611875793153
2c_balanced_mid,mod3_1_0.8,3,11.5315,11.4949,1.0233575605903287
2c_balanced_mid,mod3_1_0.85,3,12.7419,12.2587,1.1307739410558824
2c_balanced_mid,mod3_1_0.9,3,13.647,13.1991,1.2110966161710284
2c_balanced_mid,mod3_2_0.4,3,11.9391,11.7053,1.0595298314741355
2c_balanced_mid,mod3_2_0.5,3,11.9732,11.4413,1.0625560199852684
2c_balanced_mid,mod3_2_0.6,3,11.8531,11.7793,1.051897801797964
2c_balanced_mid,mod3_2_0.7,3,11.7932,11.6374,1.04658200438398
2c_balanced_mid,mod3_2_0.8,3,12.1362,12.0903,1.0770213785575464
2c_balanced_mid,mod3_2_0.85,3,12.7345,11.8678,1.1301172315256074
2c_balanced_mid,mod3_2_0.9,3,13.2114,13.0653,1.17243949841591
2c_balanced_mid,odd_0.4,3,12.6465,12.4645,1.1223077127871994
2c_balanced_mid,odd_0.5,3,12.2033,12.1964,1.0829761365955823
2c_balanced_mid,odd_0.6,3,12.1173,11.732,1.0753441069194112
2c_balanced_mid,odd_0.7,3,12.2613,11.6859,1.088123319400442
2c_balanced_mid,odd_0.8,3,12.6773,11.8687,1.1250410443456422
2c_balanced_mid,odd_0.85,3,13.3972,13.2448,1.1889282322976846
2c_balanced_mid,odd_0.9,3,15.2218,15.1013,1.3508515037760798
