scenario,policy,runs,tok_s_median,tok_s_min,speedup_median
4c_balanced_high,all_0.3,3,21.7725,2.83518,1.0712915034737942
4c_balanced_high,all_0.4,3,21.8187,1.76317,1.0735647227853333
4c_balanced_high,all_0.5,3,22.9675,22.5191,1.1300901415103624
4c_balanced_high,all_0.6,3,24.3853,24.2449,1.1998514042787696
4c_balanced_high,baseline_no_svd,3,20.3236,19.8255,1.0
4c_balanced_high,even_0.3,3,20.3117,20.2562,0.9994144738136944
4c_balanced_high,even_0.4,3,22.6384,6.51081,1.1138971442067351
4c_balanced_high,even_0.5,3,21.501,20.8227,1.0579326497274106
4c_balanced_high,even_0.6,3,21.4083,20.8578,1.0533714499399713
4c_balanced_high,odd_0.3,3,22.2567,19.1723,1.0951160227518746
4c_balanced_high,odd_0.4,3,4.58267,4.52982,0.2254851502686532
4c_balanced_high,odd_0.5,3,22.7869,22.6358,1.1212039205652542
4c_balanced_high,odd_0.6,3,19.8488,2.60258,0.9766379972052196
4c_front_hot,all_0.3,3,21.6229,4.64243,1.0226010877275953
4c_front_hot,all_0.4,3,4.70748,2.55207,0.22262851737999528
4c_front_hot,all_0.5,3,22.1057,0.810159,1.045433908725467
4c_front_hot,all_0.6,3,4.66289,2.72054,0.22051974462047766
4c_front_hot,baseline_no_svd,3,21.145,4.48254,1.0
4c_front_hot,even_0.3,3,21.7194,0.982197,1.0271648143769212
4c_front_hot,even_0.4,3,22.5811,1.87051,1.0679167651927168
4c_front_hot,even_0.5,3,22.5286,1.31448,1.0654339087254672
4c_front_hot,even_0.6,3,3.43741,1.25683,0.16256372664932608
4c_front_hot,odd_0.3,3,18.1245,2.59163,0.8571529912508868
4c_front_hot,odd_0.4,3,4.60546,2.79697,0.2178037361078269
4c_front_hot,odd_0.5,3,22.6641,20.9873,1.0718420430361788
4c_front_hot,odd_0.6,3,20.9577,4.67178,0.9911421139749349
4c_gradient,all_0.3,3,20.5218,2.65271,1.2092203805292525
4c_gradient,all_0.4,3,22.0326,18.5863,1.2982423060379114
4c_gradient,all_0.5,3,22.2288,21.8169,1.309803135919298
4c_gradient,all_0.6,3,22.729,22.3161,1.3392767705098667
4c_gradient,baseline_no_svd,3,16.9711,14.464,1.0
4c_gradient,even_0.3,3,20.9747,2.86571,1.2359069241239518
4c_gradient,even_0.4,3,20.9914,20.0697,1.2368909499089629
4c_gradient,even_0.5,3,21.2471,3.90131,1.2519577399225743
4c_gradient,even_0.6,3,20.9396,19.26,1.2338387022644377
4c_gradient,odd_0.3,3,20.7043,19.3569,1.219973955724732
4c_gradient,odd_0.4,3,20.3212,0.658321,1.1974002863691806
4c_gradient,odd_0.5,3,4.66014,3.00409,0.2745926899258151
4c_gradient,odd_0.6,3,21.5615,21.1713,1.2704833511086493
4c_high,all_0.3,3,23.2937,19.4046,1.101909231104005
4c_high,all_0.4,3,22.1413,19.8516,1.0473949118707249
4c_high,all_0.5,3,22.9465,22.9098,1.0854849238862032
4c_high,all_0.6,3,24.297,21.766,1.149370370019963
4c_high,baseline_no_svd,3,21.1394,20.8238,1.0
4c_high,even_0.3,3,20.8854,20.8652,0.9879845217934284
4c_high,even_0.4,3,22.5378,20.7578,1.066151357181377
4c_high,even_0.5,3,20.8677,20.452,0.9871472227215532
4c_high,even_0.6,3,21.5249,21.3875,1.0182360899552494
4c_high,odd_0.3,3,20.8558,20.7615,0.986584292837072
4c_high,odd_0.4,3,22.5948,20.787,1.0688477440230093
4c_high,odd_0.5,3,22.3947,22.3029,1.059382007057911
4c_high,odd_0.6,3,21.2947,19.6564,1.0073464715176401
