scenario,loads,policy,detail,runs,mean_tok_s,median_tok_s,max_tok_s,min_tok_s,speedup_vs_baseline_mean
2c_asym_low_high,"20,80,0,0,0,0,0,0",baseline_no_svd,"60,61,62,63,64,65,66,67",3,31.8784,32.1983,32.8447,30.5922,1.0
2c_asym_low_high,"20,80,0,0,0,0,0,0",major_only_no_svd,"p=4;major=62,63,64,65",3,22.224466666666668,21.9384,22.8443,21.8907,0.6971638057953558
2c_asym_low_high,"20,80,0,0,0,0,0,0",major_only_no_svd,"p=6;major=62,63,64,65,66,67",3,27.406733333333335,27.597,29.3342,25.289,0.8597273807133776
2c_asym_low_high,"20,80,0,0,0,0,0,0",major_only_no_svd,"p=7;major=62,63,64,65,66,67,60",3,29.7644,30.3118,30.3691,28.6123,0.933685504918691
2c_balanced_mid,"50,50,0,0,0,0,0,0",baseline_no_svd,"60,61,62,63,64,65,66,67",3,32.25116666666667,32.0594,33.02,31.6741,1.0
2c_balanced_mid,"50,50,0,0,0,0,0,0",major_only_no_svd,"p=4;major=62,63,64,65",3,22.7227,22.4479,23.8171,21.9031,0.704554357206716
2c_balanced_mid,"50,50,0,0,0,0,0,0",major_only_no_svd,"p=6;major=62,63,64,65,66,67",3,29.147666666666666,28.4516,31.2067,27.7847,0.9037709230157047
2c_balanced_mid,"50,50,0,0,0,0,0,0",major_only_no_svd,"p=7;major=62,63,64,65,66,67,60",3,29.753733333333333,29.8245,30.4719,28.9648,0.922563008056556
2c_high,"80,100,0,0,0,0,0,0",baseline_no_svd,"60,61,62,63,64,65,66,67",3,16.1587,13.1621,28.6291,6.6849,1.0
2c_high,"80,100,0,0,0,0,0,0",major_only_no_svd,"p=4;major=62,63,64,65",3,22.312133333333335,22.4498,22.8987,21.5879,1.380812400337486
2c_high,"80,100,0,0,0,0,0,0",major_only_no_svd,"p=6;major=62,63,64,65,66,67",3,29.4954,28.9963,31.075,28.4149,1.825357237896613
2c_high,"80,100,0,0,0,0,0,0",major_only_no_svd,"p=7;major=62,63,64,65,66,67,60",3,31.716933333333333,31.5331,32.6299,30.9878,1.962839419837817
2c_idle_saturated,"0,100,0,0,0,0,0,0",baseline_no_svd,"60,61,62,63,64,65,66,67",3,25.776733333333336,30.2208,34.4643,12.6451,1.0
2c_idle_saturated,"0,100,0,0,0,0,0,0",major_only_no_svd,"p=4;major=60,62,63,64",3,24.833066666666667,24.5792,26.3405,23.5795,0.9633907580738185
2c_idle_saturated,"0,100,0,0,0,0,0,0",major_only_no_svd,"p=6;major=60,62,63,64,65,66",3,33.01213333333333,32.3851,34.4248,32.2265,1.2806949936764678
2c_idle_saturated,"0,100,0,0,0,0,0,0",major_only_no_svd,"p=7;major=60,62,63,64,65,66,67",3,35.378,35.8301,37.4369,32.867,1.3724780228164415
4c_balanced_high,"20,40,60,80,0,0,0,0",baseline_no_svd,"60,61,62,63,64,65,66,67",3,14.66742,8.49591,29.8555,5.65085,1.0
4c_balanced_high,"20,40,60,80,0,0,0,0",major_only_no_svd,"p=4;major=64,65,66,67",3,22.4044,22.6371,23.2017,21.3744,1.5274942696125153
4c_balanced_high,"20,40,60,80,0,0,0,0",major_only_no_svd,"p=6;major=64,65,66,67,60,61",3,28.302966666666666,28.1285,29.4464,27.334,1.9296486135030337
4c_balanced_high,"20,40,60,80,0,0,0,0",major_only_no_svd,"p=7;major=64,65,66,67,60,61,62",3,22.841466666666665,23.5896,29.3315,15.6033,1.5572927390547666
4c_front_hot,"90,70,20,0,0,0,0,0",baseline_no_svd,"60,61,62,63,64,65,66,67",3,33.13216666666667,32.1275,35.4072,31.8618,1.0
4c_front_hot,"90,70,20,0,0,0,0,0",major_only_no_svd,"p=4;major=63,64,65,66",3,24.1546,24.3393,26.1851,21.9394,0.7290377427776631
4c_front_hot,"90,70,20,0,0,0,0,0",major_only_no_svd,"p=6;major=63,64,65,66,67,62",3,28.2641,29.1477,31.3734,24.2712,0.8530712852062194
4c_front_hot,"90,70,20,0,0,0,0,0",major_only_no_svd,"p=7;major=63,64,65,66,67,62,61",3,32.08983333333334,32.3141,33.2269,30.7285,0.9685401397433512
4c_gradient,"0,20,60,100,0,0,0,0",baseline_no_svd,"60,61,62,63,64,65,66,67",3,22.689400000000003,30.41,32.7348,4.9234,1.0
4c_gradient,"0,20,60,100,0,0,0,0",major_only_no_svd,"p=4;major=60,64,65,66",3,22.8116,22.0997,25.0797,21.2554,1.0053857748552186
4c_gradient,"0,20,60,100,0,0,0,0",major_only_no_svd,"p=6;major=60,64,65,66,67,61",3,28.228700000000003,28.6416,28.9718,27.0727,1.2441360282775216
4c_gradient,"0,20,60,100,0,0,0,0",major_only_no_svd,"p=7;major=60,64,65,66,67,61,62",3,30.69883333333333,30.4528,32.0783,29.5654,1.353003311384758
4c_high,"70,80,90,100,0,0,0,0",baseline_no_svd,"60,61,62,63,64,65,66,67",3,4.323903333333333,2.25829,8.96054,1.75288,1.0
4c_high,"70,80,90,100,0,0,0,0",major_only_no_svd,"p=4;major=64,65,66,67",3,21.567666666666668,21.0506,22.6875,20.9649,4.9880085200794655
4c_high,"70,80,90,100,0,0,0,0",major_only_no_svd,"p=6;major=64,65,66,67,60,61",3,21.213333333333335,23.7597,27.0299,12.8504,4.9060609588095945
4c_high,"70,80,90,100,0,0,0,0",major_only_no_svd,"p=7;major=64,65,66,67,60,61,62",3,21.63829,24.764,31.8271,8.32377,5.004341756021374
8c_high,"30,40,50,60,70,80,90,100",baseline_no_svd,"60,61,62,63,64,65,66,67",3,27.078033333333334,26.5266,28.619,26.0885,1.0
8c_high,"30,40,50,60,70,80,90,100",major_only_no_svd,"p=4;major=60,61,62,63",3,19.577166666666667,19.6666,19.7551,19.3098,0.7229907144905895
