scenario,loads,policy,detail,runs,mean_tok_s,median_tok_s,min_tok_s,max_tok_s,speedup_vs_baseline_mean
6c_extreme_2idle,"90,90,90,100,100,100,0,0",baseline_no_svd,"60,61,62,63,64,65,66,67",3,1.445415,1.36603,0.455865,2.51435,1.0
6c_extreme_2idle,"90,90,90,100,100,100,0,0",major_only_no_svd,p=1;major=66,3,6.256833333333333,6.22698,6.20936,6.33416,4.328745262317973
6c_extreme_2idle,"90,90,90,100,100,100,0,0",major_only_no_svd,"p=2;major=66,67",3,12.2994,12.581,11.5929,12.7243,8.509251668206018
6c_extreme_2idle,"90,90,90,100,100,100,0,0",major_only_no_svd,"p=3;major=66,67,60",3,15.146166666666666,14.2908,13.2369,17.9108,10.478766767099184
6c_extreme_2idle,"90,90,90,100,100,100,0,0",major_only_no_svd,"p=4;major=66,67,60,61",3,16.641796666666668,19.9213,9.68009,20.324,11.513507654664348
6c_extreme_2idle,"90,90,90,100,100,100,0,0",major_only_no_svd,"p=5;major=66,67,60,61,62",3,19.305533333333333,22.8218,10.0796,25.0152,13.356394760904886
6c_extreme_2idle,"90,90,90,100,100,100,0,0",major_only_no_svd,"p=6;major=66,67,60,61,62,63",3,16.05675666666667,18.1289,3.55487,26.4865,11.108751927070543
6c_extreme_2idle,"90,90,90,100,100,100,0,0",major_only_no_svd,"p=7;major=66,67,60,61,62,63,64",3,20.28240333333333,26.6192,7.03681,27.1912,14.032235263459514
7c_extreme_1idle,"80,90,90,100,100,100,100,0",baseline_no_svd,"60,61,62,63,64,65,66,67",3,28.636766666666663,28.6195,28.1561,29.1347,1.0
7c_extreme_1idle,"80,90,90,100,100,100,100,0",major_only_no_svd,p=1;major=67,3,5.881956666666667,6.08584,5.44988,6.11015,0.2053987705781496
7c_extreme_1idle,"80,90,90,100,100,100,100,0",major_only_no_svd,"p=2;major=67,60",3,12.019866666666667,12.0433,11.7067,12.3096,0.4197354682733037
7c_extreme_1idle,"80,90,90,100,100,100,100,0",major_only_no_svd,"p=3;major=67,60,61",3,17.020333333333337,17.2129,16.2447,17.6034,0.5943524815999947
7c_extreme_1idle,"80,90,90,100,100,100,100,0",major_only_no_svd,"p=4;major=67,60,61,62",3,21.462633333333333,21.5214,20.9706,21.8959,0.7494782348565888
7c_extreme_1idle,"80,90,90,100,100,100,100,0",major_only_no_svd,"p=5;major=67,60,61,62,63",3,23.854166666666668,23.4703,22.7226,25.3696,0.8329909219267074
7c_extreme_1idle,"80,90,90,100,100,100,100,0",major_only_no_svd,"p=6;major=67,60,61,62,63,64",3,21.783733333333334,24.8453,14.1884,26.3175,0.7606910929190098
7c_extreme_1idle,"80,90,90,100,100,100,100,0",major_only_no_svd,"p=7;major=67,60,61,62,63,64,65",3,13.241916666666668,6.11636,5.80489,27.8045,0.4624096295787584
8c_all_100,"100,100,100,100,100,100,100,100",baseline_no_svd,"60,61,62,63,64,65,66,67",3,28.657666666666668,28.6006,27.0095,30.3629,1.0
8c_all_100,"100,100,100,100,100,100,100,100",major_only_no_svd,p=1;major=60,3,5.836936666666666,5.8488,5.7415,5.92051,0.20367801519081571
8c_all_100,"100,100,100,100,100,100,100,100",major_only_no_svd,"p=2;major=60,61",3,11.365699999999999,11.7445,10.4475,11.9051,0.39660242169053067
8c_all_100,"100,100,100,100,100,100,100,100",major_only_no_svd,"p=3;major=60,61,62",3,15.934866666666666,15.6839,15.4427,16.678,0.5560420131901875
8c_all_100,"100,100,100,100,100,100,100,100",major_only_no_svd,"p=4;major=60,61,62,63",3,19.728666666666665,19.7237,19.6664,19.7959,0.6884254358926639
8c_all_100,"100,100,100,100,100,100,100,100",major_only_no_svd,"p=5;major=60,61,62,63,64",3,22.179199999999998,22.2302,22.0181,22.2893,0.7739360031637839
8c_all_100,"100,100,100,100,100,100,100,100",major_only_no_svd,"p=6;major=60,61,62,63,64,65",3,25.03873333333333,24.7623,24.284,26.0699,0.8737184930152488
8c_all_100,"100,100,100,100,100,100,100,100",major_only_no_svd,"p=7;major=60,61,62,63,64,65,66",3,26.518666666666665,26.4415,26.4192,26.6953,0.9253602875321321
8c_extreme_all_hot,"80,90,90,90,100,100,100,100",baseline_no_svd,"60,61,62,63,64,65,66,67",3,28.430533333333333,28.2171,27.5102,29.5643,1.0
8c_extreme_all_hot,"80,90,90,90,100,100,100,100",major_only_no_svd,p=1;major=60,3,6.078363333333333,6.07931,6.02068,6.1351,0.21379702104310389
8c_extreme_all_hot,"80,90,90,90,100,100,100,100",major_only_no_svd,"p=2;major=60,61",3,12.038200000000002,11.9114,11.8289,12.3743,0.42342505006354675
8c_extreme_all_hot,"80,90,90,90,100,100,100,100",major_only_no_svd,"p=3;major=60,61,62",3,17.2061,17.1522,17.1271,17.339,0.6051979327389801
8c_extreme_all_hot,"80,90,90,90,100,100,100,100",major_only_no_svd,"p=4;major=60,61,62,63",3,20.056966666666668,19.4736,19.4248,21.2725,0.7054727546440681
8c_extreme_all_hot,"80,90,90,90,100,100,100,100",major_only_no_svd,"p=5;major=60,61,62,63,64",3,22.827933333333334,22.5044,22.2423,23.7371,0.8029372177330476
8c_extreme_all_hot,"80,90,90,90,100,100,100,100",major_only_no_svd,"p=6;major=60,61,62,63,64,65",3,25.272133333333333,25.2053,24.4288,26.1823,0.8889081691514756
8c_extreme_all_hot,"80,90,90,90,100,100,100,100",major_only_no_svd,"p=7;major=60,61,62,63,64,65,66",3,27.3762,27.5647,26.4094,28.1545,0.9629154570907335
