scenario,repeat,policy,detail,status,cpus,loads,decode_tok_s,generation_decode_ms,generated,steady_decode_ms,prefix_decode_ms,server_decode_ms,network_wait_ms,prefill_decode_ms,elapsed_s,client_log,server_log,output_tail
2c_asym_low_high,0,baseline_no_svd,"60,61",ok,"60,61","20,80",12.5699,2545.76,,,,,,93.3305,3.8344979286193848,,,"llama_context: graph splits = 1
attach_threadpool: call
threads: decode=2 batch=2
prompt tokens: 4
running one forward pass (llama_decode) ...
Top-5 next-token candidates:
  id=11 logit=21.0211 piece="",""
  id=3837 logit=19.3304 piece=""，""
  id=1052 logit=19.1368 piece="" there""
  id=304 logit=19.024 piece="" in""
  id=264 logit=18.1601 piece="" a""
Autoregressive generation:
Generated text: , there was a little girl named Lily. She lived in a small village with her family. One day, Lily's mom told her about a magical forest that
Decode-only throughput: 12.5699 tokens/s (32 tokens in 2.54576 s of llama_decode)
End-to-end throughput: 12.5192 tokens/s (32 tokens in 2.55607 s)
[decode-stage-profile] model_load=913.328 ms context_create=56.4279 ms tokenize=0.444136 ms prefill_decode=93.3305 ms generation_decode=2545.76 ms generation_total=2556.07 ms program_total=3635.93 ms
[svd-local-op-profile] up_ops=0 gate_ops=0 down_ops=0 up_total=0.000 ms gate_total=0.000 ms down_total=0.000 ms up_v=0.000 ms gate_v=0.000 ms down_v=0.000 ms up_u=0.000 ms gate_u=0.000 ms down_u=0.000 ms
[svd-local-stage-profile] attention_total=26.547 ms ffn_total=1843.113 ms ffn_svd_total=0.000 ms ffn_svd_v=0.000 ms ffn_svd_u=0.000 ms
[svd-offload-zero-profile] up_finish=0 up_cache=0 up_no_request=0 gate_finish=0 gate_cache=0 gate_no_request=0 down_finish=0 down_cache=0 down_no_request=0 other_finish=0 other_cache=0 other_no_request=0
[svd-local-timeout-profile] up_keep=0 up_drop=0 up_wait=0.000 ms gate_keep=0 gate_drop=0 gate_wait=0.000 ms down_keep=0 down_drop=0 down_wait=0.000 ms other_keep=0 other_drop=0 other_wait=0.000 ms
[svd-offload-client] up_gate_req=0 down_req=0 other_mat_req=0 ffn_req=0 gate_cache_hits=0 gate_cache_checks=0 miss_invalid=0 miss_layer=0 miss_rank=0 miss_hash=0 miss_output=0 miss_data=0 send_up_gate=0.000 ms send_down=0.000 ms send_other=0.000 ms send_ffn=0.000 ms wait_up_gate=0.000 ms wait_down=0.000 ms wait_other=0.000 ms wait_ffn=0.000 ms
[svd-offload-client-stage-profile] rpc_send_total=0.000 ms rpc_wait_total=0.000 ms
[svd-offload-client-debug] finish_fail_up_gate=0 finish_fail_down=0 finish_fail_other=0 finish_fail_ffn=0 cache_take_fail_up=0 cache_take_fail_gate=0 recv_up_sum_abs=0.000000e+00 recv_up_max_abs=0.000000e+00 recv_up_zero=0 recv_gate_sum_abs=0.000000e+00 recv_gate_max_abs=0.000000e+00 recv_gate_zero=0 recv_down_sum_abs=0.000000e+00 recv_down_max_abs=0.000000e+00 recv_down_zero=0 recv_other_sum_abs=0.000000e+00 recv_other_max_abs=0.000000e+00 recv_other_zero=0 recv_ffn_sum_abs=0.000000e+00 recv_ffn_max_abs=0.000000e+00 recv_ffn_zero=0
SUCCEED (one forward pass done)"
2c_asym_low_high,0,major_only_no_svd,p=1;major=60,ok,"60,61","20,80",6.42584,4979.89,,,,,,169.731,6.303972005844116,,,"llama_context: graph splits = 1
attach_threadpool: call
threads: decode=1 batch=1
prompt tokens: 4
running one forward pass (llama_decode) ...
Top-5 next-token candidates:
  id=11 logit=21.0211 piece="",""
  id=3837 logit=19.3304 piece=""，""
  id=1052 logit=19.1368 piece="" there""
  id=304 logit=19.024 piece="" in""
  id=264 logit=18.1601 piece="" a""
Autoregressive generation:
Generated text: , there was a little girl named Lily. She lived in a small village with her family. One day, Lily's mom told her about a magical forest that
Decode-only throughput: 6.42584 tokens/s (32 tokens in 4.97989 s of llama_decode)
End-to-end throughput: 6.41269 tokens/s (32 tokens in 4.99011 s)
[decode-stage-profile] model_load=894.052 ms context_create=56.2525 ms tokenize=0.448321 ms prefill_decode=169.731 ms generation_decode=4979.89 ms generation_total=4990.11 ms program_total=6126.56 ms
[svd-local-op-profile] up_ops=0 gate_ops=0 down_ops=0 up_total=0.000 ms gate_total=0.000 ms down_total=0.000 ms up_v=0.000 ms gate_v=0.000 ms down_v=0.000 ms up_u=0.000 ms gate_u=0.000 ms down_u=0.000 ms
[svd-local-stage-profile] attention_total=52.248 ms ffn_total=3715.774 ms ffn_svd_total=0.000 ms ffn_svd_v=0.000 ms ffn_svd_u=0.000 ms
[svd-offload-zero-profile] up_finish=0 up_cache=0 up_no_request=0 gate_finish=0 gate_cache=0 gate_no_request=0 down_finish=0 down_cache=0 down_no_request=0 other_finish=0 other_cache=0 other_no_request=0
[svd-local-timeout-profile] up_keep=0 up_drop=0 up_wait=0.000 ms gate_keep=0 gate_drop=0 gate_wait=0.000 ms down_keep=0 down_drop=0 down_wait=0.000 ms other_keep=0 other_drop=0 other_wait=0.000 ms
[svd-offload-client] up_gate_req=0 down_req=0 other_mat_req=0 ffn_req=0 gate_cache_hits=0 gate_cache_checks=0 miss_invalid=0 miss_layer=0 miss_rank=0 miss_hash=0 miss_output=0 miss_data=0 send_up_gate=0.000 ms send_down=0.000 ms send_other=0.000 ms send_ffn=0.000 ms wait_up_gate=0.000 ms wait_down=0.000 ms wait_other=0.000 ms wait_ffn=0.000 ms
[svd-offload-client-stage-profile] rpc_send_total=0.000 ms rpc_wait_total=0.000 ms
[svd-offload-client-debug] finish_fail_up_gate=0 finish_fail_down=0 finish_fail_other=0 finish_fail_ffn=0 cache_take_fail_up=0 cache_take_fail_gate=0 recv_up_sum_abs=0.000000e+00 recv_up_max_abs=0.000000e+00 recv_up_zero=0 recv_gate_sum_abs=0.000000e+00 recv_gate_max_abs=0.000000e+00 recv_gate_zero=0 recv_down_sum_abs=0.000000e+00 recv_down_max_abs=0.000000e+00 recv_down_zero=0 recv_other_sum_abs=0.000000e+00 recv_other_max_abs=0.000000e+00 recv_other_zero=0 recv_ffn_sum_abs=0.000000e+00 recv_ffn_max_abs=0.000000e+00 recv_ffn_zero=0
SUCCEED (one forward pass done)"
2c_asym_low_high,0,edge_end_no_svd,"M=2;PC=[0,2);Phone=[2,28)",ok,"60,61","20,80",6.93234,144.251,32,4616.05,2158.01,1648.56,809.358,,6.216532468795776,2c_asym_low_high_r0_M2_client.log,2c_asym_low_high_r0_M2_server.log,
2c_asym_low_high,0,edge_end_no_svd,"M=4;PC=[0,4);Phone=[4,28)",ok,"60,61","20,80",4.00409,249.745,32,7991.84,4623.73,1594.13,1773.82,,9.756305456161499,2c_asym_low_high_r0_M4_client.log,2c_asym_low_high_r0_M4_server.log,
2c_asym_low_high,0,edge_end_no_svd,"M=6;PC=[0,6);Phone=[6,28)",ok,"60,61","20,80",5.95086,168.043,32,5377.37,2602.06,1516.88,1258.28,,7.129312515258789,2c_asym_low_high_r0_M6_client.log,2c_asym_low_high_r0_M6_server.log,
2c_asym_low_high,0,edge_end_no_svd,"M=8;PC=[0,8);Phone=[8,28)",ok,"60,61","20,80",4.79952,208.354,32,6667.33,3721.86,1792.4,1152.93,,8.562416076660156,2c_asym_low_high_r0_M8_client.log,2c_asym_low_high_r0_M8_server.log,
2c_asym_low_high,0,edge_end_no_svd,"M=12;PC=[0,12);Phone=[12,28)",ok,"60,61","20,80",3.17053,315.405,32,10093.0,5234.37,1703.62,3154.78,,11.611106634140015,2c_asym_low_high_r0_M12_client.log,2c_asym_low_high_r0_M12_server.log,
2c_asym_low_high,0,edge_end_no_svd,"M=16;PC=[0,16);Phone=[16,28)",ok,"60,61","20,80",3.29662,303.341,32,9706.93,5337.21,1589.83,2779.71,,11.075096845626831,2c_asym_low_high_r0_M16_client.log,2c_asym_low_high_r0_M16_server.log,
2c_asym_low_high,0,edge_end_no_svd,"M=20;PC=[0,20);Phone=[20,28)",ok,"60,61","20,80",1.93767,516.084,32,16514.7,6576.12,1325.62,8612.72,,18.34298872947693,2c_asym_low_high_r0_M20_client.log,2c_asym_low_high_r0_M20_server.log,
2c_asym_low_high,0,edge_end_no_svd,"M=24;PC=[0,24);Phone=[24,28)",ok,"60,61","20,80",1.92279,520.078,32,16642.5,8622.49,1171.93,6847.88,,18.63277292251587,2c_asym_low_high_r0_M24_client.log,2c_asym_low_high_r0_M24_server.log,
