scenario,n_cores,cpus,loads,selected_policy,original_q4_baseline_tok_s,svd_q4_no_svd_baseline_tok_s,scheduler_tok_s,scheduler_vs_original,scheduler_vs_svd_no_svd,svd_no_svd_vs_original
2c_balanced_mid,2,"60,61","50,50",trunc_even_0.9,13.0668,9.41589,11.5083,0.880728,1.22222,0.720596
2c_asym_low_high,2,"60,61","20,80",trunc_even_0.9,12.3563,9.34531,11.4238,0.924532,1.22241,0.756319
2c_idle_saturated,2,"60,61","0,100",trunc_even_0.85,12.2853,11.2512,13.1867,1.07337,1.17203,0.915826
2c_high,2,"60,61","80,100",trunc_even_0.9,12.8478,11.1821,14.4283,1.12302,1.2903,0.870351
4c_gradient,4,"60,61,62,63","0,20,60,100",trunc_even_0.9,15.9322,17.8141,23.21,1.4568,1.3029,1.11812
4c_balanced_high,4,"60,61,62,63","20,40,60,80",trunc_even_0.9,20.9768,18.2116,25.0361,1.19351,1.37473,0.868178
4c_front_hot,4,"60,61,62,63","90,70,20,0",trunc_even_0.9,19.9424,16.8517,21.4096,1.07357,1.27047,0.845019
4c_high,4,"60,61,62,63","70,80,90,100",trunc_even_0.9,17.9023,17.4627,21.5618,1.20442,1.23473,0.975444
6c_ramp_light,6,"60,61,62,63,64,65","0,10,20,30,40,50",trunc_even_0.85,25.6931,23.1196,24.8774,0.968252,1.07603,0.899837
6c_mixed,6,"60,61,62,63,64,65","0,20,40,60,80,100",trunc_even_0.85,18.4709,19.721,2.81252,0.152268,0.142615,1.06768
6c_front_hot,6,"60,61,62,63,64,65","100,80,60,30,10,0",trunc_even_0.9,20.782,23.8251,25.495,1.22678,1.07009,1.14643
6c_high,6,"60,61,62,63,64,65","50,60,70,80,90,100",baseline_no_svd,26.5934,21.374,21.374,0.803733,1,0.803733
8c_ramp_light,8,"60,61,62,63,64,65,66,67","0,10,20,30,40,50,60,70",trunc_even_0.85,26.2936,0.609776,31.7797,1.20865,52.117,0.023191
8c_mixed,8,"60,61,62,63,64,65,66,67","0,20,40,60,80,100,30,50",trunc_even_0.85,20.4348,20.7318,25.459,1.24586,1.22802,1.01453
8c_front_hot,8,"60,61,62,63,64,65,66,67","100,90,80,70,30,20,10,0",trunc_even_0.85,19.4523,20.1616,27.1675,1.39662,1.34749,1.03646
8c_high,8,"60,61,62,63,64,65,66,67","30,40,50,60,70,80,90,100",trunc_even_0.8,20.6566,24.9655,29.1845,1.41284,1.16899,1.2086
