scenario,n_cores,cpus,loads,runs,tok_s_median,tok_s_mean,tok_s_min,tok_s_max
2c_balanced_mid,2,"60,61","50,50",5,13.0668,12.841560000000001,12.2843,13.3064
2c_asym_low_high,2,"60,61","20,80",5,12.3563,12.12898,10.7044,12.985
2c_idle_saturated,2,"60,61","0,100",5,12.2853,12.19778,10.9138,13.2703
2c_high,2,"60,61","80,100",5,12.8478,12.8075,12.5692,12.9901
4c_gradient,4,"60,61,62,63","0,20,60,100",5,15.9322,13.979458400000002,0.583592,21.1102
4c_balanced_high,4,"60,61,62,63","20,40,60,80",5,20.9768,21.30892,20.6603,22.4875
4c_front_hot,4,"60,61,62,63","90,70,20,0",5,19.9424,19.450319999999998,15.2424,21.7954
4c_high,4,"60,61,62,63","70,80,90,100",5,17.9023,19.106540000000003,17.3644,21.319
6c_ramp_light,6,"60,61,62,63,64,65","0,10,20,30,40,50",5,25.6931,25.59922,23.7925,26.9789
6c_mixed,6,"60,61,62,63,64,65","0,20,40,60,80,100",5,18.4709,13.656119999999998,1.27296,25.8986
6c_front_hot,6,"60,61,62,63,64,65","100,80,60,30,10,0",5,20.782,22.72186,16.9105,28.5057
6c_high,6,"60,61,62,63,64,65","50,60,70,80,90,100",5,26.5934,23.8977,17.5607,28.2424
8c_ramp_light,8,"60,61,62,63,64,65,66,67","0,10,20,30,40,50,60,70",5,26.2936,21.7729332,0.504766,29.7926
8c_mixed,8,"60,61,62,63,64,65,66,67","0,20,40,60,80,100,30,50",5,20.4348,18.5032174,0.377587,27.659
8c_front_hot,8,"60,61,62,63,64,65,66,67","100,90,80,70,30,20,10,0",5,19.4523,16.87603,2.22225,22.3974
8c_high,8,"60,61,62,63,64,65,66,67","30,40,50,60,70,80,90,100",5,20.6566,19.989340000000002,13.5075,25.0284
