scenario,n_cores,cpus,loads,calibration_baseline_tok_s,calibration_best_policy,calibration_best_tok_s,calibration_best_speedup,selected_policy,validation_baseline_tok_s,validation_scheduler_tok_s,validation_speedup
2c_balanced_mid,2,"60,61","50,50",8.89885,trunc_even_0.9,11.4547,1.2872112688718207,trunc_even_0.9,9.41589,11.5083,1.2222211601877253
2c_asym_low_high,2,"60,61","20,80",9.36822,trunc_even_0.9,15.1566,1.6178740465104362,trunc_even_0.9,9.34531,11.4238,1.2224099575080978
2c_idle_saturated,2,"60,61","0,100",9.40135,trunc_even_0.85,13.2264,1.4068617804889723,trunc_even_0.85,11.2512,13.1867,1.1720260949943115
2c_high,2,"60,61","80,100",11.1093,trunc_even_0.9,14.9291,1.3438380456014332,trunc_even_0.9,11.1821,14.4283,1.2903032525196518
4c_gradient,4,"60,61,62,63","0,20,60,100",3.88959,trunc_even_0.9,22.2269,5.714458336225669,trunc_even_0.9,17.8141,23.21,1.3029005113926608
4c_balanced_high,4,"60,61,62,63","20,40,60,80",18.9407,trunc_even_0.9,26.1934,1.3829161541020132,trunc_even_0.9,18.2116,25.0361,1.3747336862219683
4c_front_hot,4,"60,61,62,63","90,70,20,0",18.9014,trunc_even_0.9,25.6319,1.356084734464114,trunc_even_0.9,16.8517,21.4096,1.2704712284220583
4c_high,4,"60,61,62,63","70,80,90,100",16.3059,trunc_even_0.9,20.9935,1.2874787653548716,trunc_even_0.9,17.4627,21.5618,1.2347346057597048
6c_ramp_light,6,"60,61,62,63,64,65","0,10,20,30,40,50",21.2451,trunc_even_0.85,27.4028,1.289840951560595,trunc_even_0.85,23.1196,24.8774,1.0760307271752108
6c_mixed,6,"60,61,62,63,64,65","0,20,40,60,80,100",20.3794,trunc_even_0.85,27.6852,1.3584894550379303,trunc_even_0.85,19.721,2.81252,0.14261548603012017
6c_front_hot,6,"60,61,62,63,64,65","100,80,60,30,10,0",24.2624,trunc_even_0.9,32.2986,1.331220324452651,trunc_even_0.9,23.8251,25.495,1.0700899471565704
6c_high,6,"60,61,62,63,64,65","50,60,70,80,90,100",26.1627,trunc_even_0.85,27.1749,1.0386886674540472,baseline_no_svd,21.374,21.374,1.0
8c_ramp_light,8,"60,61,62,63,64,65,66,67","0,10,20,30,40,50,60,70",26.9739,trunc_even_0.85,32.9691,1.2222592950963709,trunc_even_0.85,0.609776,31.7797,52.11700690089475
8c_mixed,8,"60,61,62,63,64,65,66,67","0,20,40,60,80,100,30,50",2.72421,trunc_even_0.85,31.8205,11.680634018669632,trunc_even_0.85,20.7318,25.459,1.228016862983436
8c_front_hot,8,"60,61,62,63,64,65,66,67","100,90,80,70,30,20,10,0",27.838,trunc_even_0.85,32.239,1.1580932538257058,trunc_even_0.85,20.1616,27.1675,1.3474873025950322
8c_high,8,"60,61,62,63,64,65,66,67","30,40,50,60,70,80,90,100",25.9749,trunc_even_0.8,33.182,1.2774640133359512,trunc_even_0.8,24.9655,29.1845,1.1689932106306704
