scenario,loads,workers,method,baseline_tok_s,selected_policy,selected_detail,selected_tok_s,speedup_vs_baseline
2c_extra_01,"70,100,0,0,0,0,0,0","1,1,0,0,0,0,0,0",matrixprod,42.9648,baseline_no_svd,"60,61,62,63,64,65,66,67",42.9648,1.0
2c_extra_02,"80,100,0,0,0,0,0,0","1,1,0,0,0,0,0,0",matrixprod,42.9949,baseline_no_svd,"60,61,62,63,64,65,66,67",42.9949,1.0
2c_extra_03,"50,100,0,0,0,0,0,0","1,2,0,0,0,0,0,0",matrixprod,9.66978,major_only_no_svd,"p=7;major=62,63,64,65,66,67,60",39.5073,4.085646209117478
2c_extra_04,"70,100,0,0,0,0,0,0","1,2,0,0,0,0,0,0",matrixprod,43.7801,baseline_no_svd,"60,61,62,63,64,65,66,67",43.7801,1.0
2c_extra_05,"50,100,0,0,0,0,0,0","1,3,0,0,0,0,0,0",matrixprod,3.46437,major_only_no_svd,"p=7;major=62,63,64,65,66,67,60",38.2326,11.03594592956295
2c_extra_06,"70,100,0,0,0,0,0,0","1,3,0,0,0,0,0,0",matrixprod,40.2354,baseline_no_svd,"60,61,62,63,64,65,66,67",40.2354,1.0
2c_extra_07,"50,100,0,0,0,0,0,0","1,2,0,0,0,0,0,0",int64,40.0435,baseline_no_svd,"60,61,62,63,64,65,66,67",40.0435,1.0
2c_extra_08,"70,100,0,0,0,0,0,0","1,2,0,0,0,0,0,0",int64,6.90546,major_only_no_svd,"p=7;major=62,63,64,65,66,67,60",38.7024,5.60460852716546
2c_extra_09,"30,100,0,0,0,0,0,0","1,3,0,0,0,0,0,0",matrixprod,3.13408,major_only_no_svd,"p=7;major=62,63,64,65,66,67,60",38.4109,12.255877322850724
2c_extra_10,"40,95,0,0,0,0,0,0","1,3,0,0,0,0,0,0",int64,41.3089,baseline_no_svd,"60,61,62,63,64,65,66,67",41.3089,1.0
