scenario,loads,workers,method,baseline_tok_s,selected_policy,selected_detail,selected_tok_s,speedup_vs_baseline
8c_mw_01,"20,30,40,50,90,90,100,100","1,1,1,1,2,2,3,3",matrixprod,26.2608,major_only_no_svd,"p=7;major=60,61,62,63,64,65,66",34.3179,1.3068109120818865
8c_mw_02,"20,30,40,50,90,90,100,100","1,1,1,1,3,3,4,4",matrixprod,35.9273,baseline_no_svd,"60,61,62,63,64,65,66,67",35.9273,1.0
8c_mw_03,"20,30,40,60,80,90,100,100","1,1,1,2,2,3,4,5",matrixprod,35.6797,baseline_no_svd,"60,61,62,63,64,65,66,67",35.6797,1.0
8c_mw_04,"30,40,50,60,80,90,100,100","1,1,2,2,3,3,4,4",matrixprod,36.8154,baseline_no_svd,"60,61,62,63,64,65,66,67",36.8154,1.0
8c_mw_05,"20,20,40,40,90,90,100,100","1,1,1,1,4,4,6,6",matrixprod,33.4586,major_only_no_svd,"p=7;major=60,61,62,63,64,65,66",35.9256,1.0737329117177647
8c_mw_06,"20,30,40,50,90,90,100,100","1,1,1,1,2,2,3,3",int64,32.672,major_only_no_svd,"p=7;major=60,61,62,63,64,65,66",34.641,1.0602656709108718
8c_mw_07,"20,30,40,50,90,90,100,100","1,1,1,1,3,3,4,4",int64,0.793781,major_only_no_svd,"p=7;major=60,61,62,63,64,65,66",32.7985,41.31933115053144
8c_mw_08,"20,30,40,60,80,90,100,100","1,1,1,2,2,3,4,5",int64,6.70428,major_only_no_svd,"p=7;major=60,61,62,63,64,65,66",33.1738,4.948152523462624
8c_mw_09,"20,30,40,50,90,90,100,100","1,1,1,1,3,3,4,4",fft,35.1323,baseline_no_svd,"60,61,62,63,64,65,66,67",35.1323,1.0
8c_mw_10,"20,30,40,50,90,90,100,100","1,1,1,1,3,3,4,4",prime,33.5907,baseline_no_svd,"60,61,62,63,64,65,66,67",33.5907,1.0
8c_mw_11,"20,20,40,40,90,90,100,100","1,1,1,1,4,4,6,6",int64,32.2105,baseline_no_svd,"60,61,62,63,64,65,66,67",32.2105,1.0
8c_mw_12,"30,30,50,50,90,90,100,100","1,1,2,2,4,4,6,6",matrixprod,32.9096,baseline_no_svd,"60,61,62,63,64,65,66,67",32.9096,1.0
