scenario,loads,baseline_tok_s,selected_policy,selected_detail,selected_tok_s,speedup_vs_baseline,ppl,ppl_note
2c_plot_search_01,"50,80,0,0,0,0,0,0",37.5178,baseline_no_svd,,37.5178,1.0,15.1424,no-SVD selected path; same as Q4 baseline ctx128 sanity
2c_plot_search_02,"60,90,0,0,0,0,0,0",35.9108,baseline_no_svd,,35.9108,1.0,15.1424,no-SVD selected path; same as Q4 baseline ctx128 sanity
2c_plot_search_03,"70,90,0,0,0,0,0,0",39.4878,baseline_no_svd,,39.4878,1.0,15.1424,no-SVD selected path; same as Q4 baseline ctx128 sanity
2c_plot_search_04,"80,100,0,0,0,0,0,0",41.124,baseline_no_svd,,41.124,1.0,15.1424,no-SVD selected path; same as Q4 baseline ctx128 sanity
2c_plot_search_05,"40,100,0,0,0,0,0,0",4.57141,major_only_no_svd,p=1;major=62,26.42,5.77939847880632,15.1424,no-SVD selected path; same as Q4 baseline ctx128 sanity
2c_plot_search_06,"55,95,0,0,0,0,0,0",19.1913,major_only_no_svd,p=1;major=62,24.6528,1.2845820762533025,15.1424,no-SVD selected path; same as Q4 baseline ctx128 sanity
2c_plot_search_07,"65,85,0,0,0,0,0,0",41.4417,baseline_no_svd,,41.4417,1.0,15.1424,no-SVD selected path; same as Q4 baseline ctx128 sanity
2c_plot_search_08,"75,100,0,0,0,0,0,0",2.99748,major_only_no_svd,p=1;major=62,28.5988,9.540947729426051,15.1424,no-SVD selected path; same as Q4 baseline ctx128 sanity
4c_plot_search_01,"30,50,70,90,0,0,0,0",40.2307,baseline_no_svd,,40.2307,1.0,15.1424,no-SVD selected path; same as Q4 baseline ctx128 sanity
4c_plot_search_02,"40,60,80,100,0,0,0,0",22.1425,major_only_no_svd,p=1;major=64,26.5455,1.198848368522073,15.1424,no-SVD selected path; same as Q4 baseline ctx128 sanity
4c_plot_search_03,"50,50,80,90,0,0,0,0",21.0872,major_only_no_svd,p=1;major=64,27.2058,1.2901570621040253,15.1424,no-SVD selected path; same as Q4 baseline ctx128 sanity
4c_plot_search_04,"60,70,80,90,0,0,0,0",3.59866,major_only_no_svd,p=1;major=64,28.9737,8.05124685299528,15.1424,no-SVD selected path; same as Q4 baseline ctx128 sanity
4c_plot_search_05,"20,60,90,100,0,0,0,0",6.61435,major_only_no_svd,p=1;major=64,26.422,3.994648000181424,15.1424,no-SVD selected path; same as Q4 baseline ctx128 sanity
4c_plot_search_06,"70,80,90,100,0,0,0,0",12.7079,major_only_no_svd,p=1;major=64,26.1769,2.05989187828044,15.1424,no-SVD selected path; same as Q4 baseline ctx128 sanity
4c_plot_search_07,"45,65,85,95,0,0,0,0",43.9689,baseline_no_svd,,43.9689,1.0,15.1424,no-SVD selected path; same as Q4 baseline ctx128 sanity
4c_plot_search_08,"30,70,80,100,0,0,0,0",0.81084,major_only_no_svd,p=1;major=64,22.0322,27.172068472201666,15.1424,no-SVD selected path; same as Q4 baseline ctx128 sanity
6c_plot_search_01,"30,40,60,70,90,100,0,0",0.607428,major_only_no_svd,p=1;major=66,30.2334,49.77281258025643,15.1424,no-SVD selected path; same as Q4 baseline ctx128 sanity
6c_plot_search_02,"40,50,70,80,90,100,0,0",45.6166,baseline_no_svd,,45.6166,1.0,15.1424,no-SVD selected path; same as Q4 baseline ctx128 sanity
6c_plot_search_03,"50,60,70,80,90,100,0,0",45.0036,baseline_no_svd,,45.0036,1.0,15.1424,no-SVD selected path; same as Q4 baseline ctx128 sanity
6c_plot_search_04,"60,60,80,80,100,100,0,0",18.1698,major_only_no_svd,p=1;major=66,22.0302,1.212462437671301,15.1424,no-SVD selected path; same as Q4 baseline ctx128 sanity
6c_plot_search_05,"20,50,80,90,100,100,0,0",4.41556,major_only_no_svd,p=1;major=66,20.3341,4.605101051735227,15.1424,no-SVD selected path; same as Q4 baseline ctx128 sanity
6c_plot_search_06,"70,80,80,90,90,100,0,0",5.2315,major_only_no_svd,p=1;major=66,22.2706,4.2570199751505315,15.1424,no-SVD selected path; same as Q4 baseline ctx128 sanity
6c_plot_search_07,"35,55,75,85,95,100,0,0",41.9584,baseline_no_svd,,41.9584,1.0,15.1424,no-SVD selected path; same as Q4 baseline ctx128 sanity
6c_plot_search_08,"45,65,75,85,95,100,0,0",6.49538,major_only_no_svd,p=1;major=66,21.2515,3.2717870240078333,15.1424,no-SVD selected path; same as Q4 baseline ctx128 sanity
8c_plot_search_01,"20,40,60,80,90,90,100,100",38.9184,baseline_no_svd,,38.9184,1.0,15.1424,no-SVD selected path; same as Q4 baseline ctx128 sanity
8c_plot_search_02,"30,50,70,80,90,90,100,100",34.87,baseline_no_svd,,34.87,1.0,15.1424,no-SVD selected path; same as Q4 baseline ctx128 sanity
8c_plot_search_03,"40,60,70,80,90,100,100,100",38.0762,baseline_no_svd,,38.0762,1.0,15.1424,no-SVD selected path; same as Q4 baseline ctx128 sanity
8c_plot_search_04,"50,60,70,80,90,90,100,100",37.4386,baseline_no_svd,,37.4386,1.0,15.1424,no-SVD selected path; same as Q4 baseline ctx128 sanity
8c_plot_search_05,"60,70,80,80,90,90,100,100",39.0692,baseline_no_svd,,39.0692,1.0,15.1424,no-SVD selected path; same as Q4 baseline ctx128 sanity
8c_plot_search_06,"70,70,80,90,90,100,100,100",41.0695,baseline_no_svd,,41.0695,1.0,15.1424,no-SVD selected path; same as Q4 baseline ctx128 sanity
8c_plot_search_07,"30,60,90,90,90,100,100,100",43.2248,baseline_no_svd,,43.2248,1.0,15.1424,no-SVD selected path; same as Q4 baseline ctx128 sanity
8c_plot_search_08,"40,40,80,80,100,100,100,100",39.7571,baseline_no_svd,,39.7571,1.0,15.1424,no-SVD selected path; same as Q4 baseline ctx128 sanity
