scenario,n_cores,cpus,loads,calibration_baseline_tok_s,calibration_best_policy,calibration_best_tok_s,calibration_best_speedup,selected_policy,validation_baseline_tok_s,validation_scheduler_tok_s,validation_speedup
4c_ramp_light,4,"60,61,62,63","0,10,20,30",6.51613,trunc_even_0.9,10.3765,1.5924329318168913,trunc_even_0.9,7.09915,10.0269,1.4124085277814948
4c_mixed,4,"60,61,62,63","0,30,60,90",7.0837,trunc_even_0.85,9.98937,1.4101910018775496,trunc_even_0.85,7.00646,9.52788,1.359870747852696
4c_front_hot,4,"60,61,62,63","90,70,20,0",6.8811,trunc_even_0.9,10.3387,1.5024778015142928,trunc_even_0.9,7.11168,10.2162,1.4365382019438446
4c_high,4,"60,61,62,63","70,80,90,100",6.73081,trunc_even_0.9,10.0775,1.497219502556156,trunc_even_0.9,6.90328,10.1734,1.473705253155022
6c_ramp_light,6,"60,61,62,63,64,65","0,10,20,30,40,50",9.34681,trunc_even_0.9,13.6574,1.4611830132419512,trunc_even_0.9,8.10909,13.2671,1.636077537676854
6c_mixed,6,"60,61,62,63,64,65","0,20,40,60,80,100",8.69914,trunc_even_0.9,12.49,1.4357741110040763,trunc_even_0.9,0.484998,11.8957,24.527317638423252
6c_front_hot,6,"60,61,62,63,64,65","100,80,60,30,10,0",8.59266,trunc_even_0.8,12.0394,1.4011260773730136,trunc_even_0.8,8.34625,11.829,1.4172832110229145
6c_high,6,"60,61,62,63,64,65","50,60,70,80,90,100",8.76644,trunc_even_0.9,13.2736,1.5141380081310087,trunc_even_0.9,8.97646,13.6248,1.5178366527562093
8c_ramp_light,8,"60,61,62,63,64,65,66,67","0,10,20,30,40,50,60,70",9.29878,trunc_even_0.9,14.3262,1.5406537201654409,trunc_even_0.9,10.2935,14.2382,1.3832224219167437
8c_mixed,8,"60,61,62,63,64,65,66,67","0,20,40,60,80,100,30,50",9.66725,trunc_even_0.9,14.3903,1.4885618971268977,trunc_even_0.9,9.25494,13.52,1.4608414533211453
8c_front_hot,8,"60,61,62,63,64,65,66,67","100,90,80,70,30,20,10,0",9.86994,trunc_even_0.9,14.1515,1.4337979764821267,trunc_even_0.9,9.28262,13.4633,1.4503771564493646
8c_high,8,"60,61,62,63,64,65,66,67","30,40,50,60,70,80,90,100",9.01405,trunc_even_0.85,14.4027,1.5978056478497458,trunc_even_0.85,9.55915,13.9039,1.4545121689689982
