scenario,n_cores,cpus,loads,calibration_baseline_tok_s,calibration_best_policy,calibration_best_tok_s,calibration_best_speedup,selected_policy,validation_baseline_tok_s,validation_scheduler_tok_s,validation_speedup
4c_ramp_light,4,"60,61,62,63","0,10,20,30",6.95083,trunc_even_0.9,10.5953,1.5243215558429712,trunc_even_0.8,7.07387,9.47808,1.339871951279851
4c_mixed,4,"60,61,62,63","0,30,60,90",7.16389,trunc_even_0.9,10.6115,1.4812483162080936,trunc_even_0.8,7.16876,9.7947,1.366303237937942
4c_front_hot,4,"60,61,62,63","90,70,20,0",6.94292,trunc_even_0.9,10.4844,1.5100850938798087,edge_end,7.09718,,
4c_high,4,"60,61,62,63","70,80,90,100",6.534,trunc_even_0.9,10.8163,1.6553872053872054,trunc_even_0.8,6.99559,9.63813,1.377743692812186
6c_ramp_light,6,"60,61,62,63,64,65","0,10,20,30,40,50",3.3334,trunc_even_0.8,12.4996,3.7498050038999216,trunc_even_0.85,3.41512,12.9045,3.778637353885076
6c_mixed,6,"60,61,62,63,64,65","0,20,40,60,80,100",8.78097,trunc_even_0.9,13.9684,1.5907581964179358,edge_end,8.96485,,
6c_front_hot,6,"60,61,62,63,64,65","100,80,60,30,10,0",2.23801,trunc_even_0.9,14.3606,6.416682677914754,edge_end,8.76002,,
6c_high,6,"60,61,62,63,64,65","50,60,70,80,90,100",8.87653,trunc_even_0.9,13.7284,1.546595347506289,trunc_even_0.8,8.90009,12.2892,1.3807950256682795
8c_ramp_light,8,"60,61,62,63,64,65,66,67","0,10,20,30,40,50,60,70",9.73158,trunc_even_0.85,13.655,1.4031637205880239,edge_end,9.4004,,
8c_mixed,8,"60,61,62,63,64,65,66,67","0,20,40,60,80,100,30,50",8.85837,trunc_even_0.85,14.1265,1.5947064753447868,edge_end,9.24225,,
8c_front_hot,8,"60,61,62,63,64,65,66,67","100,90,80,70,30,20,10,0",1.61437,trunc_even_0.85,13.1597,8.15160093411052,edge_end,9.54318,,
8c_high,8,"60,61,62,63,64,65,66,67","30,40,50,60,70,80,90,100",10.0157,trunc_even_0.85,14.336,1.431352776141458,trunc_even_0.85,9.43409,13.0068,1.3787021323731277
