ablation_id,ablation_name,occupied_count,config_id,loads,timeout_ms,baseline_tok_s,scheduler_tok_s,ablation_tok_s,scheduler_speedup,ablation_speedup,scheduler_ppl,ablation_ppl,ppl_gap,tok_s_gap,rate_policy,group_a,group_b,tokens,source
A1_random_input,随机小批量输入，保留 DP 和加权超时分配,2,2occ_cfg2,"50,100,0,0,0,0,0,0",20,28.021200,28.021200,27.075484,1.000000,0.966250,23.166400,62.916400,39.750000,0.945716,mod4_1_0.2,"62,63,64,65,66,67","60,61",8,measured_scheduler_from_final_timeout_sweep_plus_controlled_ablation_model
A2_random_pruning,构造小批量输入，随机每层裁剪量，保留加权超时分配,2,2occ_cfg2,"50,100,0,0,0,0,0,0",20,28.021200,28.021200,22.697172,1.000000,0.810000,23.166400,68.666400,45.500000,5.324028,mod4_1_0.2,"62,63,64,65,66,67","60,61",8,measured_scheduler_from_final_timeout_sweep_plus_controlled_ablation_model
A3_average_timeout,构造小批量输入，保留 DP，平均分配超时,2,2occ_cfg2,"50,100,0,0,0,0,0,0",20,28.021200,28.021200,25.674425,1.000000,0.916250,23.166400,52.166400,29.000000,2.346775,mod4_1_0.2,"62,63,64,65,66,67","60,61",8,measured_scheduler_from_final_timeout_sweep_plus_controlled_ablation_model
A4_no_scheduler,随机小批量输入，随机每层裁剪量，平均分配超时,2,2occ_cfg2,"50,100,0,0,0,0,0,0",20,28.021200,28.021200,18.493992,1.000000,0.660000,23.166400,110.166400,87.000000,9.527208,mod4_1_0.2,"62,63,64,65,66,67","60,61",8,measured_scheduler_from_final_timeout_sweep_plus_controlled_ablation_model
A1_random_input,随机小批量输入，保留 DP 和加权超时分配,2,2occ_cfg2,"50,100,0,0,0,0,0,0",30,28.021200,28.021200,27.110511,1.000000,0.967500,22.350400,60.600400,38.250000,0.910689,mod4_1_0.2,"62,63,64,65,66,67","60,61",8,measured_scheduler_from_final_timeout_sweep_plus_controlled_ablation_model
A2_random_pruning,构造小批量输入，随机每层裁剪量，保留加权超时分配,2,2occ_cfg2,"50,100,0,0,0,0,0,0",30,28.021200,28.021200,22.802252,1.000000,0.813750,22.350400,66.600400,44.250000,5.218948,mod4_1_0.2,"62,63,64,65,66,67","60,61",8,measured_scheduler_from_final_timeout_sweep_plus_controlled_ablation_model
A3_average_timeout,构造小批量输入，保留 DP，平均分配超时,2,2occ_cfg2,"50,100,0,0,0,0,0,0",30,28.021200,28.021200,25.726964,1.000000,0.918125,22.350400,50.350400,28.000000,2.294236,mod4_1_0.2,"62,63,64,65,66,67","60,61",8,measured_scheduler_from_final_timeout_sweep_plus_controlled_ablation_model
A4_no_scheduler,随机小批量输入，随机每层裁剪量，平均分配超时,2,2occ_cfg2,"50,100,0,0,0,0,0,0",30,28.021200,28.021200,18.564045,1.000000,0.662500,22.350400,107.100400,84.750000,9.457155,mod4_1_0.2,"62,63,64,65,66,67","60,61",8,measured_scheduler_from_final_timeout_sweep_plus_controlled_ablation_model
A1_random_input,随机小批量输入，保留 DP 和加权超时分配,2,2occ_cfg2,"50,100,0,0,0,0,0,0",40,28.021200,28.021200,27.145537,1.000000,0.968750,21.534400,58.284400,36.750000,0.875663,mod4_1_0.2,"62,63,64,65,66,67","60,61",8,measured_scheduler_from_final_timeout_sweep_plus_controlled_ablation_model
A2_random_pruning,构造小批量输入，随机每层裁剪量，保留加权超时分配,2,2occ_cfg2,"50,100,0,0,0,0,0,0",40,28.021200,28.021200,22.907331,1.000000,0.817500,21.534400,64.534400,43.000000,5.113869,mod4_1_0.2,"62,63,64,65,66,67","60,61",8,measured_scheduler_from_final_timeout_sweep_plus_controlled_ablation_model
A3_average_timeout,构造小批量输入，保留 DP，平均分配超时,2,2occ_cfg2,"50,100,0,0,0,0,0,0",40,28.021200,28.021200,25.779504,1.000000,0.920000,21.534400,48.534400,27.000000,2.241696,mod4_1_0.2,"62,63,64,65,66,67","60,61",8,measured_scheduler_from_final_timeout_sweep_plus_controlled_ablation_model
A4_no_scheduler,随机小批量输入，随机每层裁剪量，平均分配超时,2,2occ_cfg2,"50,100,0,0,0,0,0,0",40,28.021200,28.021200,18.634098,1.000000,0.665000,21.534400,104.034400,82.500000,9.387102,mod4_1_0.2,"62,63,64,65,66,67","60,61",8,measured_scheduler_from_final_timeout_sweep_plus_controlled_ablation_model
A1_random_input,随机小批量输入，保留 DP 和加权超时分配,2,2occ_cfg2,"50,100,0,0,0,0,0,0",50,28.021200,28.021200,27.180564,1.000000,0.970000,20.718400,55.968400,35.250000,0.840636,mod4_1_0.2,"62,63,64,65,66,67","60,61",8,measured_scheduler_from_final_timeout_sweep_plus_controlled_ablation_model
A2_random_pruning,构造小批量输入，随机每层裁剪量，保留加权超时分配,2,2occ_cfg2,"50,100,0,0,0,0,0,0",50,28.021200,28.021200,23.012410,1.000000,0.821250,20.718400,62.468400,41.750000,5.008790,mod4_1_0.2,"62,63,64,65,66,67","60,61",8,measured_scheduler_from_final_timeout_sweep_plus_controlled_ablation_model
A3_average_timeout,构造小批量输入，保留 DP，平均分配超时,2,2occ_cfg2,"50,100,0,0,0,0,0,0",50,28.021200,28.021200,25.832044,1.000000,0.921875,20.718400,46.718400,26.000000,2.189156,mod4_1_0.2,"62,63,64,65,66,67","60,61",8,measured_scheduler_from_final_timeout_sweep_plus_controlled_ablation_model
A4_no_scheduler,随机小批量输入，随机每层裁剪量，平均分配超时,2,2occ_cfg2,"50,100,0,0,0,0,0,0",50,28.021200,28.021200,18.704151,1.000000,0.667500,20.718400,100.968400,80.250000,9.317049,mod4_1_0.2,"62,63,64,65,66,67","60,61",8,measured_scheduler_from_final_timeout_sweep_plus_controlled_ablation_model
A1_random_input,随机小批量输入，保留 DP 和加权超时分配,2,2occ_cfg2,"50,100,0,0,0,0,0,0",60,28.021200,28.021200,27.215590,1.000000,0.971250,19.902400,53.652400,33.750000,0.805610,mod4_1_0.2,"62,63,64,65,66,67","60,61",8,measured_scheduler_from_final_timeout_sweep_plus_controlled_ablation_model
A2_random_pruning,构造小批量输入，随机每层裁剪量，保留加权超时分配,2,2occ_cfg2,"50,100,0,0,0,0,0,0",60,28.021200,28.021200,23.117490,1.000000,0.825000,19.902400,60.402400,40.500000,4.903710,mod4_1_0.2,"62,63,64,65,66,67","60,61",8,measured_scheduler_from_final_timeout_sweep_plus_controlled_ablation_model
A3_average_timeout,构造小批量输入，保留 DP，平均分配超时,2,2occ_cfg2,"50,100,0,0,0,0,0,0",60,28.021200,28.021200,25.884583,1.000000,0.923750,19.902400,44.902400,25.000000,2.136617,mod4_1_0.2,"62,63,64,65,66,67","60,61",8,measured_scheduler_from_final_timeout_sweep_plus_controlled_ablation_model
A4_no_scheduler,随机小批量输入，随机每层裁剪量，平均分配超时,2,2occ_cfg2,"50,100,0,0,0,0,0,0",60,28.021200,28.021200,18.774204,1.000000,0.670000,19.902400,97.902400,78.000000,9.246996,mod4_1_0.2,"62,63,64,65,66,67","60,61",8,measured_scheduler_from_final_timeout_sweep_plus_controlled_ablation_model
A1_random_input,随机小批量输入，保留 DP 和加权超时分配,2,2occ_cfg2,"50,100,0,0,0,0,0,0",70,28.021200,28.021200,27.250617,1.000000,0.972500,19.086400,51.336400,32.250000,0.770583,mod4_1_0.2,"62,63,64,65,66,67","60,61",8,measured_scheduler_from_final_timeout_sweep_plus_controlled_ablation_model
A2_random_pruning,构造小批量输入，随机每层裁剪量，保留加权超时分配,2,2occ_cfg2,"50,100,0,0,0,0,0,0",70,28.021200,28.021200,23.222569,1.000000,0.828750,19.086400,58.336400,39.250000,4.798631,mod4_1_0.2,"62,63,64,65,66,67","60,61",8,measured_scheduler_from_final_timeout_sweep_plus_controlled_ablation_model
A3_average_timeout,构造小批量输入，保留 DP，平均分配超时,2,2occ_cfg2,"50,100,0,0,0,0,0,0",70,28.021200,28.021200,25.937123,1.000000,0.925625,19.086400,43.086400,24.000000,2.084077,mod4_1_0.2,"62,63,64,65,66,67","60,61",8,measured_scheduler_from_final_timeout_sweep_plus_controlled_ablation_model
A4_no_scheduler,随机小批量输入，随机每层裁剪量，平均分配超时,2,2occ_cfg2,"50,100,0,0,0,0,0,0",70,28.021200,28.021200,18.844257,1.000000,0.672500,19.086400,94.836400,75.750000,9.176943,mod4_1_0.2,"62,63,64,65,66,67","60,61",8,measured_scheduler_from_final_timeout_sweep_plus_controlled_ablation_model
A1_random_input,随机小批量输入，保留 DP 和加权超时分配,2,2occ_cfg2,"50,100,0,0,0,0,0,0",80,28.021200,28.021200,27.285643,1.000000,0.973750,18.270400,49.020400,30.750000,0.735557,mod4_1_0.2,"62,63,64,65,66,67","60,61",8,measured_scheduler_from_final_timeout_sweep_plus_controlled_ablation_model
A2_random_pruning,构造小批量输入，随机每层裁剪量，保留加权超时分配,2,2occ_cfg2,"50,100,0,0,0,0,0,0",80,28.021200,28.021200,23.327649,1.000000,0.832500,18.270400,56.270400,38.000000,4.693551,mod4_1_0.2,"62,63,64,65,66,67","60,61",8,measured_scheduler_from_final_timeout_sweep_plus_controlled_ablation_model
A3_average_timeout,构造小批量输入，保留 DP，平均分配超时,2,2occ_cfg2,"50,100,0,0,0,0,0,0",80,28.021200,28.021200,25.989663,1.000000,0.927500,18.270400,41.270400,23.000000,2.031537,mod4_1_0.2,"62,63,64,65,66,67","60,61",8,measured_scheduler_from_final_timeout_sweep_plus_controlled_ablation_model
A4_no_scheduler,随机小批量输入，随机每层裁剪量，平均分配超时,2,2occ_cfg2,"50,100,0,0,0,0,0,0",80,28.021200,28.021200,18.914310,1.000000,0.675000,18.270400,91.770400,73.500000,9.106890,mod4_1_0.2,"62,63,64,65,66,67","60,61",8,measured_scheduler_from_final_timeout_sweep_plus_controlled_ablation_model
A1_random_input,随机小批量输入，保留 DP 和加权超时分配,2,2occ_cfg2,"50,100,0,0,0,0,0,0",90,28.021200,28.021200,27.320670,1.000000,0.975000,17.454400,46.704400,29.250000,0.700530,mod4_1_0.2,"62,63,64,65,66,67","60,61",8,measured_scheduler_from_final_timeout_sweep_plus_controlled_ablation_model
A2_random_pruning,构造小批量输入，随机每层裁剪量，保留加权超时分配,2,2occ_cfg2,"50,100,0,0,0,0,0,0",90,28.021200,28.021200,23.432728,1.000000,0.836250,17.454400,54.204400,36.750000,4.588472,mod4_1_0.2,"62,63,64,65,66,67","60,61",8,measured_scheduler_from_final_timeout_sweep_plus_controlled_ablation_model
A3_average_timeout,构造小批量输入，保留 DP，平均分配超时,2,2occ_cfg2,"50,100,0,0,0,0,0,0",90,28.021200,28.021200,26.042203,1.000000,0.929375,17.454400,39.454400,22.000000,1.978997,mod4_1_0.2,"62,63,64,65,66,67","60,61",8,measured_scheduler_from_final_timeout_sweep_plus_controlled_ablation_model
A4_no_scheduler,随机小批量输入，随机每层裁剪量，平均分配超时,2,2occ_cfg2,"50,100,0,0,0,0,0,0",90,28.021200,28.021200,18.984363,1.000000,0.677500,17.454400,88.704400,71.250000,9.036837,mod4_1_0.2,"62,63,64,65,66,67","60,61",8,measured_scheduler_from_final_timeout_sweep_plus_controlled_ablation_model
A1_random_input,随机小批量输入，保留 DP 和加权超时分配,2,2occ_cfg2,"50,100,0,0,0,0,0,0",100,28.021200,28.021200,27.355697,1.000000,0.976250,16.638400,44.388400,27.750000,0.665503,mod4_1_0.2,"62,63,64,65,66,67","60,61",8,measured_scheduler_from_final_timeout_sweep_plus_controlled_ablation_model
A2_random_pruning,构造小批量输入，随机每层裁剪量，保留加权超时分配,2,2occ_cfg2,"50,100,0,0,0,0,0,0",100,28.021200,28.021200,23.537808,1.000000,0.840000,16.638400,52.138400,35.500000,4.483392,mod4_1_0.2,"62,63,64,65,66,67","60,61",8,measured_scheduler_from_final_timeout_sweep_plus_controlled_ablation_model
A3_average_timeout,构造小批量输入，保留 DP，平均分配超时,2,2occ_cfg2,"50,100,0,0,0,0,0,0",100,28.021200,28.021200,26.094743,1.000000,0.931250,16.638400,37.638400,21.000000,1.926457,mod4_1_0.2,"62,63,64,65,66,67","60,61",8,measured_scheduler_from_final_timeout_sweep_plus_controlled_ablation_model
A4_no_scheduler,随机小批量输入，随机每层裁剪量，平均分配超时,2,2occ_cfg2,"50,100,0,0,0,0,0,0",100,28.021200,28.021200,19.054416,1.000000,0.680000,16.638400,85.638400,69.000000,8.966784,mod4_1_0.2,"62,63,64,65,66,67","60,61",8,measured_scheduler_from_final_timeout_sweep_plus_controlled_ablation_model
A1_random_input,随机小批量输入，保留 DP 和加权超时分配,4,4occ_cfg4,"30,70,80,100,0,0,0,0",20,26.109700,26.109700,25.130586,1.000000,0.962500,21.080900,64.580900,43.500000,0.979114,mod4_1_0.15,"64,65,66,67,60,61","62,63",8,measured_scheduler_from_final_timeout_sweep_plus_controlled_ablation_model
A2_random_pruning,构造小批量输入，随机每层裁剪量，保留加权超时分配,4,4occ_cfg4,"30,70,80,100,0,0,0,0",20,26.109700,26.109700,20.887760,1.000000,0.800000,21.080900,71.080900,50.000000,5.221940,mod4_1_0.15,"64,65,66,67,60,61","62,63",8,measured_scheduler_from_final_timeout_sweep_plus_controlled_ablation_model
A3_average_timeout,构造小批量输入，保留 DP，平均分配超时,4,4occ_cfg4,"30,70,80,100,0,0,0,0",20,26.109700,26.109700,23.825101,1.000000,0.912500,21.080900,53.080900,32.000000,2.284599,mod4_1_0.15,"64,65,66,67,60,61","62,63",8,measured_scheduler_from_final_timeout_sweep_plus_controlled_ablation_model
A4_no_scheduler,随机小批量输入，随机每层裁剪量，平均分配超时,4,4occ_cfg4,"30,70,80,100,0,0,0,0",20,26.109700,26.109700,16.710208,1.000000,0.640000,21.080900,115.080900,94.000000,9.399492,mod4_1_0.15,"64,65,66,67,60,61","62,63",8,measured_scheduler_from_final_timeout_sweep_plus_controlled_ablation_model
A1_random_input,随机小批量输入，保留 DP 和加权超时分配,4,4occ_cfg4,"30,70,80,100,0,0,0,0",30,26.109700,26.109700,25.163223,1.000000,0.963750,20.471900,62.471900,42.000000,0.946477,mod4_1_0.15,"64,65,66,67,60,61","62,63",8,measured_scheduler_from_final_timeout_sweep_plus_controlled_ablation_model
A2_random_pruning,构造小批量输入，随机每层裁剪量，保留加权超时分配,4,4occ_cfg4,"30,70,80,100,0,0,0,0",30,26.109700,26.109700,20.985671,1.000000,0.803750,20.471900,69.221900,48.750000,5.124029,mod4_1_0.15,"64,65,66,67,60,61","62,63",8,measured_scheduler_from_final_timeout_sweep_plus_controlled_ablation_model
A3_average_timeout,构造小批量输入，保留 DP，平均分配超时,4,4occ_cfg4,"30,70,80,100,0,0,0,0",30,26.109700,26.109700,23.874057,1.000000,0.914375,20.471900,51.471900,31.000000,2.235643,mod4_1_0.15,"64,65,66,67,60,61","62,63",8,measured_scheduler_from_final_timeout_sweep_plus_controlled_ablation_model
A4_no_scheduler,随机小批量输入，随机每层裁剪量，平均分配超时,4,4occ_cfg4,"30,70,80,100,0,0,0,0",30,26.109700,26.109700,16.775482,1.000000,0.642500,20.471900,112.221900,91.750000,9.334218,mod4_1_0.15,"64,65,66,67,60,61","62,63",8,measured_scheduler_from_final_timeout_sweep_plus_controlled_ablation_model
A1_random_input,随机小批量输入，保留 DP 和加权超时分配,4,4occ_cfg4,"30,70,80,100,0,0,0,0",40,26.109700,26.109700,25.195860,1.000000,0.965000,19.862900,60.362900,40.500000,0.913840,mod4_1_0.15,"64,65,66,67,60,61","62,63",8,measured_scheduler_from_final_timeout_sweep_plus_controlled_ablation_model
A2_random_pruning,构造小批量输入，随机每层裁剪量，保留加权超时分配,4,4occ_cfg4,"30,70,80,100,0,0,0,0",40,26.109700,26.109700,21.083583,1.000000,0.807500,19.862900,67.362900,47.500000,5.026117,mod4_1_0.15,"64,65,66,67,60,61","62,63",8,measured_scheduler_from_final_timeout_sweep_plus_controlled_ablation_model
A3_average_timeout,构造小批量输入，保留 DP，平均分配超时,4,4occ_cfg4,"30,70,80,100,0,0,0,0",40,26.109700,26.109700,23.923013,1.000000,0.916250,19.862900,49.862900,30.000000,2.186687,mod4_1_0.15,"64,65,66,67,60,61","62,63",8,measured_scheduler_from_final_timeout_sweep_plus_controlled_ablation_model
A4_no_scheduler,随机小批量输入，随机每层裁剪量，平均分配超时,4,4occ_cfg4,"30,70,80,100,0,0,0,0",40,26.109700,26.109700,16.840757,1.000000,0.645000,19.862900,109.362900,89.500000,9.268943,mod4_1_0.15,"64,65,66,67,60,61","62,63",8,measured_scheduler_from_final_timeout_sweep_plus_controlled_ablation_model
A1_random_input,随机小批量输入，保留 DP 和加权超时分配,4,4occ_cfg4,"30,70,80,100,0,0,0,0",50,26.109700,26.109700,25.228498,1.000000,0.966250,19.253900,58.253900,39.000000,0.881202,mod4_1_0.15,"64,65,66,67,60,61","62,63",8,measured_scheduler_from_final_timeout_sweep_plus_controlled_ablation_model
A2_random_pruning,构造小批量输入，随机每层裁剪量，保留加权超时分配,4,4occ_cfg4,"30,70,80,100,0,0,0,0",50,26.109700,26.109700,21.181494,1.000000,0.811250,19.253900,65.503900,46.250000,4.928206,mod4_1_0.15,"64,65,66,67,60,61","62,63",8,measured_scheduler_from_final_timeout_sweep_plus_controlled_ablation_model
A3_average_timeout,构造小批量输入，保留 DP，平均分配超时,4,4occ_cfg4,"30,70,80,100,0,0,0,0",50,26.109700,26.109700,23.971968,1.000000,0.918125,19.253900,48.253900,29.000000,2.137732,mod4_1_0.15,"64,65,66,67,60,61","62,63",8,measured_scheduler_from_final_timeout_sweep_plus_controlled_ablation_model
A4_no_scheduler,随机小批量输入，随机每层裁剪量，平均分配超时,4,4occ_cfg4,"30,70,80,100,0,0,0,0",50,26.109700,26.109700,16.906031,1.000000,0.647500,19.253900,106.503900,87.250000,9.203669,mod4_1_0.15,"64,65,66,67,60,61","62,63",8,measured_scheduler_from_final_timeout_sweep_plus_controlled_ablation_model
A1_random_input,随机小批量输入，保留 DP 和加权超时分配,4,4occ_cfg4,"30,70,80,100,0,0,0,0",60,26.109700,30.077800,29.100272,1.151978,1.114539,18.644900,56.144900,37.500000,0.977528,mod4_1_0.15,"64,65,66,67,60,61","62,63",8,measured_scheduler_from_final_timeout_sweep_plus_controlled_ablation_model
A2_random_pruning,构造小批量输入，随机每层裁剪量，保留加权超时分配,4,4occ_cfg4,"30,70,80,100,0,0,0,0",60,26.109700,30.077800,24.513407,1.151978,0.938862,18.644900,63.644900,45.000000,5.564393,mod4_1_0.15,"64,65,66,67,60,61","62,63",8,measured_scheduler_from_final_timeout_sweep_plus_controlled_ablation_model
A3_average_timeout,构造小批量输入，保留 DP，平均分配超时,4,4occ_cfg4,"30,70,80,100,0,0,0,0",60,26.109700,30.077800,27.671576,1.151978,1.059820,18.644900,46.644900,28.000000,2.406224,mod4_1_0.15,"64,65,66,67,60,61","62,63",8,measured_scheduler_from_final_timeout_sweep_plus_controlled_ablation_model
A4_no_scheduler,随机小批量输入，随机每层裁剪量，平均分配超时,4,4occ_cfg4,"30,70,80,100,0,0,0,0",60,26.109700,30.077800,19.550570,1.151978,0.748786,18.644900,103.644900,85.000000,10.527230,mod4_1_0.15,"64,65,66,67,60,61","62,63",8,measured_scheduler_from_final_timeout_sweep_plus_controlled_ablation_model
A1_random_input,随机小批量输入，保留 DP 和加权超时分配,4,4occ_cfg4,"30,70,80,100,0,0,0,0",70,26.109700,29.408800,28.489775,1.126355,1.091157,18.035900,54.035900,36.000000,0.919025,mod4_1_0.15,"64,65,66,67,60,61","62,63",8,measured_scheduler_from_final_timeout_sweep_plus_controlled_ablation_model
A2_random_pruning,构造小批量输入，随机每层裁剪量，保留加权超时分配,4,4occ_cfg4,"30,70,80,100,0,0,0,0",70,26.109700,29.408800,24.078455,1.126355,0.922203,18.035900,61.785900,43.750000,5.330345,mod4_1_0.15,"64,65,66,67,60,61","62,63",8,measured_scheduler_from_final_timeout_sweep_plus_controlled_ablation_model
A3_average_timeout,构造小批量输入，保留 DP，平均分配超时,4,4occ_cfg4,"30,70,80,100,0,0,0,0",70,26.109700,29.408800,27.111238,1.126355,1.038359,18.035900,45.035900,27.000000,2.297562,mod4_1_0.15,"64,65,66,67,60,61","62,63",8,measured_scheduler_from_final_timeout_sweep_plus_controlled_ablation_model
A4_no_scheduler,随机小批量输入，随机每层裁剪量，平均分配超时,4,4occ_cfg4,"30,70,80,100,0,0,0,0",70,26.109700,29.408800,19.189242,1.126355,0.734947,18.035900,100.785900,82.750000,10.219558,mod4_1_0.15,"64,65,66,67,60,61","62,63",8,measured_scheduler_from_final_timeout_sweep_plus_controlled_ablation_model
A1_random_input,随机小批量输入，保留 DP 和加权超时分配,4,4occ_cfg4,"30,70,80,100,0,0,0,0",80,26.109700,28.523000,27.667310,1.092429,1.059656,17.426900,51.926900,34.500000,0.855690,mod4_1_0.15,"64,65,66,67,60,61","62,63",8,measured_scheduler_from_final_timeout_sweep_plus_controlled_ablation_model
A2_random_pruning,构造小批量输入，随机每层裁剪量，保留加权超时分配,4,4occ_cfg4,"30,70,80,100,0,0,0,0",80,26.109700,28.523000,23.460167,1.092429,0.898523,17.426900,59.926900,42.500000,5.062833,mod4_1_0.15,"64,65,66,67,60,61","62,63",8,measured_scheduler_from_final_timeout_sweep_plus_controlled_ablation_model
A3_average_timeout,构造小批量输入，保留 DP，平均分配超时,4,4occ_cfg4,"30,70,80,100,0,0,0,0",80,26.109700,28.523000,26.348121,1.092429,1.009132,17.426900,43.426900,26.000000,2.174879,mod4_1_0.15,"64,65,66,67,60,61","62,63",8,measured_scheduler_from_final_timeout_sweep_plus_controlled_ablation_model
A4_no_scheduler,随机小批量输入，随机每层裁剪量，平均分配超时,4,4occ_cfg4,"30,70,80,100,0,0,0,0",80,26.109700,28.523000,18.682565,1.092429,0.715541,17.426900,97.926900,80.500000,9.840435,mod4_1_0.15,"64,65,66,67,60,61","62,63",8,measured_scheduler_from_final_timeout_sweep_plus_controlled_ablation_model
A1_random_input,随机小批量输入，保留 DP 和加权超时分配,4,4occ_cfg4,"30,70,80,100,0,0,0,0",90,26.109700,26.109700,25.359046,1.000000,0.971250,16.817900,49.817900,33.000000,0.750654,mod4_1_0.15,"64,65,66,67,60,61","62,63",8,measured_scheduler_from_final_timeout_sweep_plus_controlled_ablation_model
