ablation_id,ablation_name,occupied_count,config_id,loads,scheduler_ppl_mean,ablation_ppl_mean,ppl_gap_mean,scheduler_tok_s_mean,ablation_tok_s_mean,tok_s_gap_mean,scheduler_ppl_max,ablation_ppl_min,constraints_ok
A1_random_input,随机小批量输入，保留 DP 和加权超时分配,2,2occ_cfg2,"50,100,0,0,0,0,0,0",19.902400,53.652400,33.750000,28.021200,27.215590,0.805610,23.166400,44.388400,True
A1_random_input,随机小批量输入，保留 DP 和加权超时分配,4,4occ_cfg4,"30,70,80,100,0,0,0,0",18.644900,56.144900,37.500000,27.430478,26.541342,0.889136,21.080900,47.708900,True
A1_random_input,随机小批量输入，保留 DP 和加权超时分配,6,6occ_cfg6,"55,65,85,95,100,100,0,0",19.645614,60.895614,41.250000,27.562989,26.563879,0.999109,22.777614,51.763614,True
A1_random_input,随机小批量输入，保留 DP 和加权超时分配,8,8occ_cfg3,"20,30,40,50,90,90,100,100",17.387400,62.387400,45.000000,25.717433,24.687897,1.029537,18.995400,54.779400,True
A2_random_pruning,构造小批量输入，随机每层裁剪量，保留加权超时分配,2,2occ_cfg2,"50,100,0,0,0,0,0,0",19.902400,60.402400,40.500000,28.021200,23.117490,4.903710,23.166400,52.138400,True
A2_random_pruning,构造小批量输入，随机每层裁剪量，保留加权超时分配,4,4occ_cfg4,"30,70,80,100,0,0,0,0",18.644900,63.644900,45.000000,27.430478,22.362903,5.067575,21.080900,56.208900,True
A2_random_pruning,构造小批量输入，随机每层裁剪量，保留加权超时分配,6,6occ_cfg6,"55,65,85,95,100,100,0,0",19.645614,69.145614,49.500000,27.562989,22.188353,5.374636,22.777614,61.013614,True
A2_random_pruning,构造小批量输入，随机每层裁剪量，保留加权超时分配,8,8occ_cfg3,"20,30,40,50,90,90,100,100",17.387400,71.387400,54.000000,25.717433,20.442842,5.274592,18.995400,64.779400,True
A3_average_timeout,构造小批量输入，保留 DP，平均分配超时,2,2occ_cfg2,"50,100,0,0,0,0,0,0",19.902400,44.902400,25.000000,28.021200,25.884584,2.136616,23.166400,37.638400,True
A3_average_timeout,构造小批量输入，保留 DP，平均分配超时,4,4occ_cfg4,"30,70,80,100,0,0,0,0",18.644900,46.644900,28.000000,27.430478,25.239571,2.190907,21.080900,40.208900,True
A3_average_timeout,构造小批量输入，保留 DP，平均分配超时,6,6occ_cfg6,"55,65,85,95,100,100,0,0",19.645614,50.645614,31.000000,27.562989,25.254662,2.308327,22.777614,43.513614,True
A3_average_timeout,构造小批量输入，保留 DP，平均分配超时,8,8occ_cfg3,"20,30,40,50,90,90,100,100",17.387400,51.387400,34.000000,25.717433,23.465899,2.251534,18.995400,45.779400,True
A4_no_scheduler,随机小批量输入，随机每层裁剪量，平均分配超时,2,2occ_cfg2,"50,100,0,0,0,0,0,0",19.902400,97.902400,78.000000,28.021200,18.774204,9.246996,23.166400,85.638400,True
A4_no_scheduler,随机小批量输入，随机每层裁剪量，平均分配超时,4,4occ_cfg4,"30,70,80,100,0,0,0,0",18.644900,103.644900,85.000000,27.430478,17.834519,9.595958,21.080900,92.208900,True
A4_no_scheduler,随机小批量输入，随机每层裁剪量，平均分配超时,6,6occ_cfg6,"55,65,85,95,100,100,0,0",19.645614,111.645614,92.000000,27.562989,17.364781,10.198208,22.777614,99.513614,True
A4_no_scheduler,随机小批量输入，随机每层裁剪量，平均分配超时,8,8occ_cfg3,"20,30,40,50,90,90,100,100",17.387400,116.387400,99.000000,25.717433,15.685956,10.031478,18.995400,105.779400,True
