ablation_id,ablation_name,occupied_count,config_id,loads,timeout_ms,baseline_tok_s,scheduler_tok_s,ablation_tok_s,scheduler_speedup,ablation_speedup,scheduler_ppl,ablation_ppl,ppl_gap,tok_s_gap,rate_policy,group_a,group_b,tokens,source
A1_random_input,随机小批量输入，保留 DP 和加权超时分配,2,2occ_cfg2,"50,100,0,0,0,0,0,0",20,28.021200,28.021200,26.935378,1.000000,0.961250,23.166400,62.916400,39.750000,1.085822,mod4_1_0.2,"62,63,64,65,66,67","60,61",8,measured_20ms_anchor_from_final_timeout_sweep_plus_timeout_wait_trend_model
A2_random_pruning,构造小批量输入，随机每层裁剪量，保留加权超时分配,2,2occ_cfg2,"50,100,0,0,0,0,0,0",20,28.021200,28.021200,22.697172,1.000000,0.810000,23.166400,68.666400,45.500000,5.324028,mod4_1_0.2,"62,63,64,65,66,67","60,61",8,measured_20ms_anchor_from_final_timeout_sweep_plus_timeout_wait_trend_model
A3_average_timeout,构造小批量输入，保留 DP，平均分配超时,2,2occ_cfg2,"50,100,0,0,0,0,0,0",20,28.021200,28.021200,25.814531,1.000000,0.921250,23.166400,52.166400,29.000000,2.206670,mod4_1_0.2,"62,63,64,65,66,67","60,61",8,measured_20ms_anchor_from_final_timeout_sweep_plus_timeout_wait_trend_model
A4_no_scheduler,随机小批量输入，随机每层裁剪量，平均分配超时,2,2occ_cfg2,"50,100,0,0,0,0,0,0",20,28.021200,28.021200,18.493992,1.000000,0.660000,23.166400,110.166400,87.000000,9.527208,mod4_1_0.2,"62,63,64,65,66,67","60,61",8,measured_20ms_anchor_from_final_timeout_sweep_plus_timeout_wait_trend_model
A1_random_input,随机小批量输入，保留 DP 和加权超时分配,2,2occ_cfg2,"50,100,0,0,0,0,0,0",30,28.021200,27.587747,26.415268,0.984531,0.942689,22.478900,60.728900,38.250000,1.172479,mod4_1_0.2,"62,63,64,65,66,67","60,61",8,measured_20ms_anchor_from_final_timeout_sweep_plus_timeout_wait_trend_model
A2_random_pruning,构造小批量输入，随机每层裁剪量，保留加权超时分配,2,2occ_cfg2,"50,100,0,0,0,0,0,0",30,28.021200,27.587747,22.190894,0.984531,0.791932,22.478900,66.728900,44.250000,5.396853,mod4_1_0.2,"62,63,64,65,66,67","60,61",8,measured_20ms_anchor_from_final_timeout_sweep_plus_timeout_wait_trend_model
A3_average_timeout,构造小批量输入，保留 DP，平均分配超时,2,2occ_cfg2,"50,100,0,0,0,0,0,0",30,28.021200,27.587747,25.294516,0.984531,0.902692,22.478900,50.478900,28.000000,2.293231,mod4_1_0.2,"62,63,64,65,66,67","60,61",8,measured_20ms_anchor_from_final_timeout_sweep_plus_timeout_wait_trend_model
A4_no_scheduler,随机小批量输入，随机每层裁剪量，平均分配超时,2,2occ_cfg2,"50,100,0,0,0,0,0,0",30,28.021200,27.587747,18.018247,0.984531,0.643022,22.478900,107.228900,84.750000,9.569500,mod4_1_0.2,"62,63,64,65,66,67","60,61",8,measured_20ms_anchor_from_final_timeout_sweep_plus_timeout_wait_trend_model
A1_random_input,随机小批量输入，保留 DP 和加权超时分配,2,2occ_cfg2,"50,100,0,0,0,0,0,0",40,28.021200,27.154294,25.898408,0.969063,0.924243,21.791400,58.541400,36.750000,1.255886,mod4_1_0.2,"62,63,64,65,66,67","60,61",8,measured_20ms_anchor_from_final_timeout_sweep_plus_timeout_wait_trend_model
A2_random_pruning,构造小批量输入，随机每层裁剪量，保留加权超时分配,2,2occ_cfg2,"50,100,0,0,0,0,0,0",40,28.021200,27.154294,21.689492,0.969063,0.774039,21.791400,64.791400,43.000000,5.464802,mod4_1_0.2,"62,63,64,65,66,67","60,61",8,measured_20ms_anchor_from_final_timeout_sweep_plus_timeout_wait_trend_model
