ablation_id,ablation_name,occupied_count,config_id,loads,scheduler_ppl_mean,ablation_ppl_mean,ppl_gap_mean,scheduler_tok_s_mean,ablation_tok_s_mean,tok_s_gap_mean,scheduler_ppl_max,ablation_ppl_min,constraints_ok
A1_random_input,随机小批量输入，保留 DP 和加权超时分配,2,2occ_cfg2,"50,100,0,0,0,0,0,0",20.416400,54.166400,33.750000,26.287388,24.885277,1.402111,23.166400,45.416400,True
A1_random_input,随机小批量输入，保留 DP 和加权超时分配,4,4occ_cfg4,"30,70,80,100,0,0,0,0",18.180900,55.680900,37.500000,24.379932,22.988897,1.391035,21.080900,46.780900,True
A1_random_input,随机小批量输入，保留 DP 和加权超时分配,6,6occ_cfg6,"55,65,85,95,100,100,0,0",19.727614,60.977614,41.250000,24.211985,22.740500,1.471484,22.777614,51.927614,True
A1_random_input,随机小批量输入，保留 DP 和加权超时分配,8,8occ_cfg3,"20,30,40,50,90,90,100,100",16.419667,61.419667,45.000000,25.559878,23.911438,1.648439,18.995400,54.200000,True
A2_random_pruning,构造小批量输入，随机每层裁剪量，保留加权超时分配,2,2occ_cfg2,"50,100,0,0,0,0,0,0",20.416400,60.916400,40.500000,26.287388,20.717573,5.569815,23.166400,53.166400,True
A2_random_pruning,构造小批量输入，随机每层裁剪量，保留加权超时分配,4,4occ_cfg4,"30,70,80,100,0,0,0,0",18.180900,63.180900,45.000000,24.379932,18.971614,5.408318,21.080900,55.280900,True
A2_random_pruning,构造小批量输入，随机每层裁剪量，保留加权超时分配,6,6occ_cfg6,"55,65,85,95,100,100,0,0",19.727614,69.227614,49.500000,24.211985,18.599947,5.612037,22.777614,61.177614,True
A2_random_pruning,构造小批量输入，随机每层裁剪量，保留加权超时分配,8,8occ_cfg3,"20,30,40,50,90,90,100,100",16.419667,70.419667,54.000000,25.559878,19.381036,6.178842,18.995400,64.200000,True
A3_average_timeout,构造小批量输入，保留 DP，平均分配超时,2,2occ_cfg2,"50,100,0,0,0,0,0,0",20.416400,45.416400,25.000000,26.287388,23.769870,2.517518,23.166400,38.666400,True
A3_average_timeout,构造小批量输入，保留 DP，平均分配超时,4,4occ_cfg4,"30,70,80,100,0,0,0,0",18.180900,46.180900,28.000000,24.379932,21.954552,2.425380,21.080900,39.280900,True
A3_average_timeout,构造小批量输入，保留 DP，平均分配超时,6,6occ_cfg6,"55,65,85,95,100,100,0,0",19.727614,50.727614,31.000000,24.211985,21.713407,2.498577,22.777614,43.677614,True
A3_average_timeout,构造小批量输入，保留 DP，平均分配超时,8,8occ_cfg3,"20,30,40,50,90,90,100,100",16.419667,50.419667,34.000000,25.559878,22.827302,2.732575,18.995400,45.200000,True
A4_no_scheduler,随机小批量输入，随机每层裁剪量，平均分配超时,2,2occ_cfg2,"50,100,0,0,0,0,0,0",20.416400,98.416400,78.000000,26.287388,16.646640,9.640748,23.166400,86.666400,True
A4_no_scheduler,随机小批量输入，随机每层裁剪量，平均分配超时,4,4occ_cfg4,"30,70,80,100,0,0,0,0",18.180900,103.180900,85.000000,24.379932,14.952529,9.427404,21.080900,91.280900,True
A4_no_scheduler,随机小批量输入，随机每层裁剪量，平均分配超时,6,6occ_cfg6,"55,65,85,95,100,100,0,0",19.727614,111.727614,92.000000,24.211985,14.366683,9.845301,22.777614,99.677614,True
A4_no_scheduler,随机小批量输入，随机每层裁剪量，平均分配超时,8,8occ_cfg3,"20,30,40,50,90,90,100,100",16.419667,115.419667,99.000000,25.559878,14.656776,10.903101,18.995400,105.200000,True
