phase,scenario,policy,policy_name,timeout_ms,status,ppl,ppl_stderr,elapsed_s,rates_file,timeouts_file,log,output_tail
ppl,quality,scheduler,constructed_minibatch_dp_weighted_timeout,20,ok,12.0285,3.091,13.276663541793823,src/llama.cpp/exp12_algorithms/results/scheduler_ablation_real_20260505_r1/rates/scheduler_t20.rates.txt,src/llama.cpp/exp12_algorithms/results/scheduler_ablation_real_20260505_r1/timeouts/scheduler_t20.timeouts.txt,src/llama.cpp/exp12_algorithms/results/scheduler_ablation_real_20260505_r1/logs/ppl_scheduler_t20.log,"[svd-local-timeout-profile] up_keep=762 up_drop=0 up_wait=0.283 ms gate_keep=762 gate_drop=0 gate_wait=0.122 ms down_keep=762 down_drop=0 down_wait=0.337 ms other_keep=0 other_drop=0 other_wait=0.000 ms\n[svd-offload-client] up_gate_req=0 down_req=0 other_mat_req=0 ffn_req=0 gate_cache_hits=0 gate_cache_checks=0 miss_invalid=0 miss_layer=0 miss_rank=0 miss_hash=0 miss_output=0 miss_data=0 send_up_gate=0.000 ms send_down=0.000 ms send_other=0.000 ms send_ffn=0.000 ms wait_up_gate=0.000 ms wait_down=0.000 ms wait_other=0.000 ms wait_ffn=0.000 ms\n[svd-offload-client-stage-profile] rpc_send_total=0.000 ms rpc_wait_total=0.000 ms\n[svd-offload-client-debug] finish_fail_up_gate=0 finish_fail_down=0 finish_fail_other=0 finish_fail_ffn=0 cache_take_fail_up=0 cache_take_fail_gate=0 recv_up_sum_abs=0.000000e+00 recv_up_max_abs=0.000000e+00 recv_up_zero=0 recv_gate_sum_abs=0.000000e+00 recv_gate_max_abs=0.000000e+00 recv_gate_zero=0 recv_down_sum_abs=0.000000e+00 recv_down_max_abs=0.000000e+00 recv_down_zero=0 recv_other_sum_abs=0.000000e+00 recv_other_max_abs=0.000000e+00 recv_other_zero=0 recv_ffn_sum_abs=0.000000e+00 recv_ffn_max_abs=0.000000e+00 recv_ffn_zero=0\nperplexity: 12.32 seconds per pass - ETA 0.20 minutes\n[1]12.0285,\nFinal estimate: PPL = 12.0285 +/- 3.09100\n\nllama_perf_context_print:        load time =     778.23 ms\nllama_perf_context_print: prompt eval time =       0.00 ms /     1 tokens (    0.00 ms per token,      inf tokens per second)\nllama_perf_context_print:        eval time =   12183.51 ms /   127 runs   (   95.93 ms per token,    10.42 tokens per second)\nllama_perf_context_print:       total time =   12998.72 ms /   128 tokens"
ppl,quality,A1_random_input,random_minibatch_dp_weighted_timeout,20,ok,14.9087,4.19563,13.060877561569214,src/llama.cpp/exp12_algorithms/results/scheduler_ablation_real_20260505_r1/rates/A1_random_input_t20.rates.txt,src/llama.cpp/exp12_algorithms/results/scheduler_ablation_real_20260505_r1/timeouts/A1_random_input_t20.timeouts.txt,src/llama.cpp/exp12_algorithms/results/scheduler_ablation_real_20260505_r1/logs/ppl_A1_random_input_t20.log,"[svd-local-timeout-profile] up_keep=889 up_drop=0 up_wait=0.658 ms gate_keep=889 gate_drop=0 gate_wait=0.407 ms down_keep=889 down_drop=0 down_wait=1.445 ms other_keep=0 other_drop=0 other_wait=0.000 ms\n[svd-offload-client] up_gate_req=0 down_req=0 other_mat_req=0 ffn_req=0 gate_cache_hits=0 gate_cache_checks=0 miss_invalid=0 miss_layer=0 miss_rank=0 miss_hash=0 miss_output=0 miss_data=0 send_up_gate=0.000 ms send_down=0.000 ms send_other=0.000 ms send_ffn=0.000 ms wait_up_gate=0.000 ms wait_down=0.000 ms wait_other=0.000 ms wait_ffn=0.000 ms\n[svd-offload-client-stage-profile] rpc_send_total=0.000 ms rpc_wait_total=0.000 ms\n[svd-offload-client-debug] finish_fail_up_gate=0 finish_fail_down=0 finish_fail_other=0 finish_fail_ffn=0 cache_take_fail_up=0 cache_take_fail_gate=0 recv_up_sum_abs=0.000000e+00 recv_up_max_abs=0.000000e+00 recv_up_zero=0 recv_gate_sum_abs=0.000000e+00 recv_gate_max_abs=0.000000e+00 recv_gate_zero=0 recv_down_sum_abs=0.000000e+00 recv_down_max_abs=0.000000e+00 recv_down_zero=0 recv_other_sum_abs=0.000000e+00 recv_other_max_abs=0.000000e+00 recv_other_zero=0 recv_ffn_sum_abs=0.000000e+00 recv_ffn_max_abs=0.000000e+00 recv_ffn_zero=0\nperplexity: 12.10 seconds per pass - ETA 0.20 minutes\n[1]14.9087,\nFinal estimate: PPL = 14.9087 +/- 4.19563\n\nllama_perf_context_print:        load time =     792.45 ms\nllama_perf_context_print: prompt eval time =       0.00 ms /     1 tokens (    0.00 ms per token,      inf tokens per second)\nllama_perf_context_print:        eval time =   11965.86 ms /   127 runs   (   94.22 ms per token,    10.61 tokens per second)\nllama_perf_context_print:       total time =   12800.06 ms /   128 tokens"
ppl,quality,A2_random_pruning,constructed_minibatch_random_pruning_weighted_timeout,20,ok,15.6467,4.36164,13.091405391693115,src/llama.cpp/exp12_algorithms/results/scheduler_ablation_real_20260505_r1/rates/A2_random_pruning_t20.rates.txt,src/llama.cpp/exp12_algorithms/results/scheduler_ablation_real_20260505_r1/timeouts/A2_random_pruning_t20.timeouts.txt,src/llama.cpp/exp12_algorithms/results/scheduler_ablation_real_20260505_r1/logs/ppl_A2_random_pruning_t20.log,"[svd-local-timeout-profile] up_keep=1397 up_drop=0 up_wait=0.620 ms gate_keep=1397 gate_drop=0 gate_wait=0.553 ms down_keep=1397 down_drop=0 down_wait=2.121 ms other_keep=0 other_drop=0 other_wait=0.000 ms\n[svd-offload-client] up_gate_req=0 down_req=0 other_mat_req=0 ffn_req=0 gate_cache_hits=0 gate_cache_checks=0 miss_invalid=0 miss_layer=0 miss_rank=0 miss_hash=0 miss_output=0 miss_data=0 send_up_gate=0.000 ms send_down=0.000 ms send_other=0.000 ms send_ffn=0.000 ms wait_up_gate=0.000 ms wait_down=0.000 ms wait_other=0.000 ms wait_ffn=0.000 ms\n[svd-offload-client-stage-profile] rpc_send_total=0.000 ms rpc_wait_total=0.000 ms\n[svd-offload-client-debug] finish_fail_up_gate=0 finish_fail_down=0 finish_fail_other=0 finish_fail_ffn=0 cache_take_fail_up=0 cache_take_fail_gate=0 recv_up_sum_abs=0.000000e+00 recv_up_max_abs=0.000000e+00 recv_up_zero=0 recv_gate_sum_abs=0.000000e+00 recv_gate_max_abs=0.000000e+00 recv_gate_zero=0 recv_down_sum_abs=0.000000e+00 recv_down_max_abs=0.000000e+00 recv_down_zero=0 recv_other_sum_abs=0.000000e+00 recv_other_max_abs=0.000000e+00 recv_other_zero=0 recv_ffn_sum_abs=0.000000e+00 recv_ffn_max_abs=0.000000e+00 recv_ffn_zero=0\nperplexity: 12.12 seconds per pass - ETA 0.20 minutes\n[1]15.6467,\nFinal estimate: PPL = 15.6467 +/- 4.36164\n\nllama_perf_context_print:        load time =     786.33 ms\nllama_perf_context_print: prompt eval time =       0.00 ms /     1 tokens (    0.00 ms per token,      inf tokens per second)\nllama_perf_context_print:        eval time =   11971.11 ms /   127 runs   (   94.26 ms per token,    10.61 tokens per second)\nllama_perf_context_print:       total time =   12800.04 ms /   128 tokens"
ppl,quality,A3_average_timeout,constructed_minibatch_dp_average_timeout,20,ok,12.0285,3.091,13.432289361953735,src/llama.cpp/exp12_algorithms/results/scheduler_ablation_real_20260505_r1/rates/A3_average_timeout_t20.rates.txt,src/llama.cpp/exp12_algorithms/results/scheduler_ablation_real_20260505_r1/timeouts/A3_average_timeout_t20.timeouts.txt,src/llama.cpp/exp12_algorithms/results/scheduler_ablation_real_20260505_r1/logs/ppl_A3_average_timeout_t20.log,"[svd-local-timeout-profile] up_keep=762 up_drop=0 up_wait=0.659 ms gate_keep=762 gate_drop=0 gate_wait=0.647 ms down_keep=762 down_drop=0 down_wait=3.818 ms other_keep=0 other_drop=0 other_wait=0.000 ms\n[svd-offload-client] up_gate_req=0 down_req=0 other_mat_req=0 ffn_req=0 gate_cache_hits=0 gate_cache_checks=0 miss_invalid=0 miss_layer=0 miss_rank=0 miss_hash=0 miss_output=0 miss_data=0 send_up_gate=0.000 ms send_down=0.000 ms send_other=0.000 ms send_ffn=0.000 ms wait_up_gate=0.000 ms wait_down=0.000 ms wait_other=0.000 ms wait_ffn=0.000 ms\n[svd-offload-client-stage-profile] rpc_send_total=0.000 ms rpc_wait_total=0.000 ms\n[svd-offload-client-debug] finish_fail_up_gate=0 finish_fail_down=0 finish_fail_other=0 finish_fail_ffn=0 cache_take_fail_up=0 cache_take_fail_gate=0 recv_up_sum_abs=0.000000e+00 recv_up_max_abs=0.000000e+00 recv_up_zero=0 recv_gate_sum_abs=0.000000e+00 recv_gate_max_abs=0.000000e+00 recv_gate_zero=0 recv_down_sum_abs=0.000000e+00 recv_down_max_abs=0.000000e+00 recv_down_zero=0 recv_other_sum_abs=0.000000e+00 recv_other_max_abs=0.000000e+00 recv_other_zero=0 recv_ffn_sum_abs=0.000000e+00 recv_ffn_max_abs=0.000000e+00 recv_ffn_zero=0\nperplexity: 12.46 seconds per pass - ETA 0.20 minutes\n[1]12.0285,\nFinal estimate: PPL = 12.0285 +/- 3.09100\n\nllama_perf_context_print:        load time =     729.50 ms\nllama_perf_context_print: prompt eval time =       0.00 ms /     1 tokens (    0.00 ms per token,      inf tokens per second)\nllama_perf_context_print:        eval time =   12311.03 ms /   127 runs   (   96.94 ms per token,    10.32 tokens per second)\nllama_perf_context_print:       total time =   13091.30 ms /   128 tokens"
ppl,quality,A4_no_scheduler,random_minibatch_random_pruning_average_timeout,20,ok,18.8311,5.11605,13.048115730285645,src/llama.cpp/exp12_algorithms/results/scheduler_ablation_real_20260505_r1/rates/A4_no_scheduler_t20.rates.txt,src/llama.cpp/exp12_algorithms/results/scheduler_ablation_real_20260505_r1/timeouts/A4_no_scheduler_t20.timeouts.txt,src/llama.cpp/exp12_algorithms/results/scheduler_ablation_real_20260505_r1/logs/ppl_A4_no_scheduler_t20.log,"[svd-local-timeout-profile] up_keep=1905 up_drop=0 up_wait=2.423 ms gate_keep=1905 gate_drop=0 gate_wait=3.126 ms down_keep=1905 down_drop=0 down_wait=17.118 ms other_keep=0 other_drop=0 other_wait=0.000 ms\n[svd-offload-client] up_gate_req=0 down_req=0 other_mat_req=0 ffn_req=0 gate_cache_hits=0 gate_cache_checks=0 miss_invalid=0 miss_layer=0 miss_rank=0 miss_hash=0 miss_output=0 miss_data=0 send_up_gate=0.000 ms send_down=0.000 ms send_other=0.000 ms send_ffn=0.000 ms wait_up_gate=0.000 ms wait_down=0.000 ms wait_other=0.000 ms wait_ffn=0.000 ms\n[svd-offload-client-stage-profile] rpc_send_total=0.000 ms rpc_wait_total=0.000 ms\n[svd-offload-client-debug] finish_fail_up_gate=0 finish_fail_down=0 finish_fail_other=0 finish_fail_ffn=0 cache_take_fail_up=0 cache_take_fail_gate=0 recv_up_sum_abs=0.000000e+00 recv_up_max_abs=0.000000e+00 recv_up_zero=0 recv_gate_sum_abs=0.000000e+00 recv_gate_max_abs=0.000000e+00 recv_gate_zero=0 recv_down_sum_abs=0.000000e+00 recv_down_max_abs=0.000000e+00 recv_down_zero=0 recv_other_sum_abs=0.000000e+00 recv_other_max_abs=0.000000e+00 recv_other_zero=0 recv_ffn_sum_abs=0.000000e+00 recv_ffn_max_abs=0.000000e+00 recv_ffn_zero=0\nperplexity: 12.16 seconds per pass - ETA 0.20 minutes\n[1]18.8311,\nFinal estimate: PPL = 18.8311 +/- 5.11605\n\nllama_perf_context_print:        load time =     722.94 ms\nllama_perf_context_print: prompt eval time =       0.00 ms /     1 tokens (    0.00 ms per token,      inf tokens per second)\nllama_perf_context_print:        eval time =   12022.84 ms /   127 runs   (   94.67 ms per token,    10.56 tokens per second)\nllama_perf_context_print:       total time =   12776.78 ms /   128 tokens"
ppl,quality,scheduler,constructed_minibatch_dp_weighted_timeout,30,ok,12.0285,3.091,13.082103490829468,src/llama.cpp/exp12_algorithms/results/scheduler_ablation_real_20260505_r1/rates/scheduler_t30.rates.txt,src/llama.cpp/exp12_algorithms/results/scheduler_ablation_real_20260505_r1/timeouts/scheduler_t30.timeouts.txt,src/llama.cpp/exp12_algorithms/results/scheduler_ablation_real_20260505_r1/logs/ppl_scheduler_t30.log,"[svd-local-timeout-profile] up_keep=762 up_drop=0 up_wait=0.512 ms gate_keep=762 gate_drop=0 gate_wait=0.488 ms down_keep=762 down_drop=0 down_wait=1.135 ms other_keep=0 other_drop=0 other_wait=0.000 ms\n[svd-offload-client] up_gate_req=0 down_req=0 other_mat_req=0 ffn_req=0 gate_cache_hits=0 gate_cache_checks=0 miss_invalid=0 miss_layer=0 miss_rank=0 miss_hash=0 miss_output=0 miss_data=0 send_up_gate=0.000 ms send_down=0.000 ms send_other=0.000 ms send_ffn=0.000 ms wait_up_gate=0.000 ms wait_down=0.000 ms wait_other=0.000 ms wait_ffn=0.000 ms\n[svd-offload-client-stage-profile] rpc_send_total=0.000 ms rpc_wait_total=0.000 ms\n[svd-offload-client-debug] finish_fail_up_gate=0 finish_fail_down=0 finish_fail_other=0 finish_fail_ffn=0 cache_take_fail_up=0 cache_take_fail_gate=0 recv_up_sum_abs=0.000000e+00 recv_up_max_abs=0.000000e+00 recv_up_zero=0 recv_gate_sum_abs=0.000000e+00 recv_gate_max_abs=0.000000e+00 recv_gate_zero=0 recv_down_sum_abs=0.000000e+00 recv_down_max_abs=0.000000e+00 recv_down_zero=0 recv_other_sum_abs=0.000000e+00 recv_other_max_abs=0.000000e+00 recv_other_zero=0 recv_ffn_sum_abs=0.000000e+00 recv_ffn_max_abs=0.000000e+00 recv_ffn_zero=0\nperplexity: 12.21 seconds per pass - ETA 0.20 minutes\n[1]12.0285,\nFinal estimate: PPL = 12.0285 +/- 3.09100\n\nllama_perf_context_print:        load time =     706.22 ms\nllama_perf_context_print: prompt eval time =       0.00 ms /     1 tokens (    0.00 ms per token,      inf tokens per second)\nllama_perf_context_print:        eval time =   12071.40 ms /   127 runs   (   95.05 ms per token,    10.52 tokens per second)\nllama_perf_context_print:       total time =   12819.84 ms /   128 tokens"
ppl,quality,A1_random_input,random_minibatch_dp_weighted_timeout,30,ok,14.9087,4.19563,12.995056390762329,src/llama.cpp/exp12_algorithms/results/scheduler_ablation_real_20260505_r1/rates/A1_random_input_t30.rates.txt,src/llama.cpp/exp12_algorithms/results/scheduler_ablation_real_20260505_r1/timeouts/A1_random_input_t30.timeouts.txt,src/llama.cpp/exp12_algorithms/results/scheduler_ablation_real_20260505_r1/logs/ppl_A1_random_input_t30.log,"[svd-local-timeout-profile] up_keep=889 up_drop=0 up_wait=0.684 ms gate_keep=889 gate_drop=0 gate_wait=0.475 ms down_keep=889 down_drop=0 down_wait=1.450 ms other_keep=0 other_drop=0 other_wait=0.000 ms\n[svd-offload-client] up_gate_req=0 down_req=0 other_mat_req=0 ffn_req=0 gate_cache_hits=0 gate_cache_checks=0 miss_invalid=0 miss_layer=0 miss_rank=0 miss_hash=0 miss_output=0 miss_data=0 send_up_gate=0.000 ms send_down=0.000 ms send_other=0.000 ms send_ffn=0.000 ms wait_up_gate=0.000 ms wait_down=0.000 ms wait_other=0.000 ms wait_ffn=0.000 ms\n[svd-offload-client-stage-profile] rpc_send_total=0.000 ms rpc_wait_total=0.000 ms\n[svd-offload-client-debug] finish_fail_up_gate=0 finish_fail_down=0 finish_fail_other=0 finish_fail_ffn=0 cache_take_fail_up=0 cache_take_fail_gate=0 recv_up_sum_abs=0.000000e+00 recv_up_max_abs=0.000000e+00 recv_up_zero=0 recv_gate_sum_abs=0.000000e+00 recv_gate_max_abs=0.000000e+00 recv_gate_zero=0 recv_down_sum_abs=0.000000e+00 recv_down_max_abs=0.000000e+00 recv_down_zero=0 recv_other_sum_abs=0.000000e+00 recv_other_max_abs=0.000000e+00 recv_other_zero=0 recv_ffn_sum_abs=0.000000e+00 recv_ffn_max_abs=0.000000e+00 recv_ffn_zero=0\nperplexity: 12.13 seconds per pass - ETA 0.20 minutes\n[1]14.9087,\nFinal estimate: PPL = 14.9087 +/- 4.19563\n\nllama_perf_context_print:        load time =     703.95 ms\nllama_perf_context_print: prompt eval time =       0.00 ms /     1 tokens (    0.00 ms per token,      inf tokens per second)\nllama_perf_context_print:        eval time =   11989.15 ms /   127 runs   (   94.40 ms per token,    10.59 tokens per second)\nllama_perf_context_print:       total time =   12739.59 ms /   128 tokens"
ppl,quality,A2_random_pruning,constructed_minibatch_random_pruning_weighted_timeout,30,ok,15.6467,4.36164,13.112734079360962,src/llama.cpp/exp12_algorithms/results/scheduler_ablation_real_20260505_r1/rates/A2_random_pruning_t30.rates.txt,src/llama.cpp/exp12_algorithms/results/scheduler_ablation_real_20260505_r1/timeouts/A2_random_pruning_t30.timeouts.txt,src/llama.cpp/exp12_algorithms/results/scheduler_ablation_real_20260505_r1/logs/ppl_A2_random_pruning_t30.log,"[svd-local-timeout-profile] up_keep=1397 up_drop=0 up_wait=0.910 ms gate_keep=1397 gate_drop=0 gate_wait=0.613 ms down_keep=1397 down_drop=0 down_wait=1.994 ms other_keep=0 other_drop=0 other_wait=0.000 ms\n[svd-offload-client] up_gate_req=0 down_req=0 other_mat_req=0 ffn_req=0 gate_cache_hits=0 gate_cache_checks=0 miss_invalid=0 miss_layer=0 miss_rank=0 miss_hash=0 miss_output=0 miss_data=0 send_up_gate=0.000 ms send_down=0.000 ms send_other=0.000 ms send_ffn=0.000 ms wait_up_gate=0.000 ms wait_down=0.000 ms wait_other=0.000 ms wait_ffn=0.000 ms\n[svd-offload-client-stage-profile] rpc_send_total=0.000 ms rpc_wait_total=0.000 ms\n[svd-offload-client-debug] finish_fail_up_gate=0 finish_fail_down=0 finish_fail_other=0 finish_fail_ffn=0 cache_take_fail_up=0 cache_take_fail_gate=0 recv_up_sum_abs=0.000000e+00 recv_up_max_abs=0.000000e+00 recv_up_zero=0 recv_gate_sum_abs=0.000000e+00 recv_gate_max_abs=0.000000e+00 recv_gate_zero=0 recv_down_sum_abs=0.000000e+00 recv_down_max_abs=0.000000e+00 recv_down_zero=0 recv_other_sum_abs=0.000000e+00 recv_other_max_abs=0.000000e+00 recv_other_zero=0 recv_ffn_sum_abs=0.000000e+00 recv_ffn_max_abs=0.000000e+00 recv_ffn_zero=0\nperplexity: 12.19 seconds per pass - ETA 0.20 minutes\n[1]15.6467,\nFinal estimate: PPL = 15.6467 +/- 4.36164\n\nllama_perf_context_print:        load time =     744.97 ms\nllama_perf_context_print: prompt eval time =       0.00 ms /     1 tokens (    0.00 ms per token,      inf tokens per second)\nllama_perf_context_print:        eval time =   12064.28 ms /   127 runs   (   94.99 ms per token,    10.53 tokens per second)\nllama_perf_context_print:       total time =   12838.38 ms /   128 tokens"
ppl,quality,A3_average_timeout,constructed_minibatch_dp_average_timeout,30,ok,12.0285,3.091,13.119551658630371,src/llama.cpp/exp12_algorithms/results/scheduler_ablation_real_20260505_r1/rates/A3_average_timeout_t30.rates.txt,src/llama.cpp/exp12_algorithms/results/scheduler_ablation_real_20260505_r1/timeouts/A3_average_timeout_t30.timeouts.txt,src/llama.cpp/exp12_algorithms/results/scheduler_ablation_real_20260505_r1/logs/ppl_A3_average_timeout_t30.log,"[svd-local-timeout-profile] up_keep=762 up_drop=0 up_wait=0.473 ms gate_keep=762 gate_drop=0 gate_wait=0.233 ms down_keep=762 down_drop=0 down_wait=0.902 ms other_keep=0 other_drop=0 other_wait=0.000 ms\n[svd-offload-client] up_gate_req=0 down_req=0 other_mat_req=0 ffn_req=0 gate_cache_hits=0 gate_cache_checks=0 miss_invalid=0 miss_layer=0 miss_rank=0 miss_hash=0 miss_output=0 miss_data=0 send_up_gate=0.000 ms send_down=0.000 ms send_other=0.000 ms send_ffn=0.000 ms wait_up_gate=0.000 ms wait_down=0.000 ms wait_other=0.000 ms wait_ffn=0.000 ms\n[svd-offload-client-stage-profile] rpc_send_total=0.000 ms rpc_wait_total=0.000 ms\n[svd-offload-client-debug] finish_fail_up_gate=0 finish_fail_down=0 finish_fail_other=0 finish_fail_ffn=0 cache_take_fail_up=0 cache_take_fail_gate=0 recv_up_sum_abs=0.000000e+00 recv_up_max_abs=0.000000e+00 recv_up_zero=0 recv_gate_sum_abs=0.000000e+00 recv_gate_max_abs=0.000000e+00 recv_gate_zero=0 recv_down_sum_abs=0.000000e+00 recv_down_max_abs=0.000000e+00 recv_down_zero=0 recv_other_sum_abs=0.000000e+00 recv_other_max_abs=0.000000e+00 recv_other_zero=0 recv_ffn_sum_abs=0.000000e+00 recv_ffn_max_abs=0.000000e+00 recv_ffn_zero=0\nperplexity: 12.17 seconds per pass - ETA 0.20 minutes\n[1]12.0285,\nFinal estimate: PPL = 12.0285 +/- 3.09100\n\nllama_perf_context_print:        load time =     730.26 ms\nllama_perf_context_print: prompt eval time =       0.00 ms /     1 tokens (    0.00 ms per token,      inf tokens per second)\nllama_perf_context_print:        eval time =   12022.00 ms /   127 runs   (   94.66 ms per token,    10.56 tokens per second)\nllama_perf_context_print:       total time =   12805.11 ms /   128 tokens"
ppl,quality,A4_no_scheduler,random_minibatch_random_pruning_average_timeout,30,ok,18.8311,5.11605,12.879062414169312,src/llama.cpp/exp12_algorithms/results/scheduler_ablation_real_20260505_r1/rates/A4_no_scheduler_t30.rates.txt,src/llama.cpp/exp12_algorithms/results/scheduler_ablation_real_20260505_r1/timeouts/A4_no_scheduler_t30.timeouts.txt,src/llama.cpp/exp12_algorithms/results/scheduler_ablation_real_20260505_r1/logs/ppl_A4_no_scheduler_t30.log,"[svd-local-timeout-profile] up_keep=1905 up_drop=0 up_wait=1.465 ms gate_keep=1905 gate_drop=0 gate_wait=0.783 ms down_keep=1905 down_drop=0 down_wait=3.135 ms other_keep=0 other_drop=0 other_wait=0.000 ms\n[svd-offload-client] up_gate_req=0 down_req=0 other_mat_req=0 ffn_req=0 gate_cache_hits=0 gate_cache_checks=0 miss_invalid=0 miss_layer=0 miss_rank=0 miss_hash=0 miss_output=0 miss_data=0 send_up_gate=0.000 ms send_down=0.000 ms send_other=0.000 ms send_ffn=0.000 ms wait_up_gate=0.000 ms wait_down=0.000 ms wait_other=0.000 ms wait_ffn=0.000 ms\n[svd-offload-client-stage-profile] rpc_send_total=0.000 ms rpc_wait_total=0.000 ms\n[svd-offload-client-debug] finish_fail_up_gate=0 finish_fail_down=0 finish_fail_other=0 finish_fail_ffn=0 cache_take_fail_up=0 cache_take_fail_gate=0 recv_up_sum_abs=0.000000e+00 recv_up_max_abs=0.000000e+00 recv_up_zero=0 recv_gate_sum_abs=0.000000e+00 recv_gate_max_abs=0.000000e+00 recv_gate_zero=0 recv_down_sum_abs=0.000000e+00 recv_down_max_abs=0.000000e+00 recv_down_zero=0 recv_other_sum_abs=0.000000e+00 recv_other_max_abs=0.000000e+00 recv_other_zero=0 recv_ffn_sum_abs=0.000000e+00 recv_ffn_max_abs=0.000000e+00 recv_ffn_zero=0\nperplexity: 12.00 seconds per pass - ETA 0.20 minutes\n[1]18.8311,\nFinal estimate: PPL = 18.8311 +/- 5.11605\n\nllama_perf_context_print:        load time =     703.47 ms\nllama_perf_context_print: prompt eval time =       0.00 ms /     1 tokens (    0.00 ms per token,      inf tokens per second)\nllama_perf_context_print:        eval time =   11859.29 ms /   127 runs   (   93.38 ms per token,    10.71 tokens per second)\nllama_perf_context_print:       total time =   12611.29 ms /   128 tokens"
