timeout_ms,scenario,occupied_count,policy,policy_label,decode_tok_s,generation_decode_ms,ppl,loads,workers,log
20,2occ_minor_hot,2,scheduler,Scheduler,0.158388,6313.59,12.0285,"0,0,0,0,0,0,100,100","0,0,0,0,0,0,3,3",src/llama.cpp/exp12_algorithms/results/scheduler_ablation_real_6067_20260506_r1/logs/decode_2occ_minor_hot_scheduler_t20.log
20,2occ_minor_hot,2,A1_random_input,Random input,0.167301,5977.25,14.9087,"0,0,0,0,0,0,100,100","0,0,0,0,0,0,3,3",src/llama.cpp/exp12_algorithms/results/scheduler_ablation_real_6067_20260506_r1/logs/decode_2occ_minor_hot_A1_random_input_t20.log
20,2occ_minor_hot,2,A2_random_pruning,Random pruning,19.9621,50.0949,15.6467,"0,0,0,0,0,0,100,100","0,0,0,0,0,0,3,3",src/llama.cpp/exp12_algorithms/results/scheduler_ablation_real_6067_20260506_r1/logs/decode_2occ_minor_hot_A2_random_pruning_t20.log
20,2occ_minor_hot,2,A3_average_timeout,Average timeout,0.16093,6213.89,12.0285,"0,0,0,0,0,0,100,100","0,0,0,0,0,0,3,3",src/llama.cpp/exp12_algorithms/results/scheduler_ablation_real_6067_20260506_r1/logs/decode_2occ_minor_hot_A3_average_timeout_t20.log
20,2occ_minor_hot,2,A4_no_scheduler,No scheduler,0.163219,6126.74,18.8311,"0,0,0,0,0,0,100,100","0,0,0,0,0,0,3,3",src/llama.cpp/exp12_algorithms/results/scheduler_ablation_real_6067_20260506_r1/logs/decode_2occ_minor_hot_A4_no_scheduler_t20.log
20,4occ_tail_hot,4,scheduler,Scheduler,19.7303,50.6834,12.0285,"0,0,0,0,80,90,100,100","0,0,0,0,1,1,3,3",src/llama.cpp/exp12_algorithms/results/scheduler_ablation_real_6067_20260506_r1/logs/decode_4occ_tail_hot_scheduler_t20.log
20,4occ_tail_hot,4,A1_random_input,Random input,0.164345,6084.74,14.9087,"0,0,0,0,80,90,100,100","0,0,0,0,1,1,3,3",src/llama.cpp/exp12_algorithms/results/scheduler_ablation_real_6067_20260506_r1/logs/decode_4occ_tail_hot_A1_random_input_t20.log
20,4occ_tail_hot,4,A2_random_pruning,Random pruning,0.154185,6485.71,15.6467,"0,0,0,0,80,90,100,100","0,0,0,0,1,1,3,3",src/llama.cpp/exp12_algorithms/results/scheduler_ablation_real_6067_20260506_r1/logs/decode_4occ_tail_hot_A2_random_pruning_t20.log
20,4occ_tail_hot,4,A3_average_timeout,Average timeout,0.165405,6045.78,12.0285,"0,0,0,0,80,90,100,100","0,0,0,0,1,1,3,3",src/llama.cpp/exp12_algorithms/results/scheduler_ablation_real_6067_20260506_r1/logs/decode_4occ_tail_hot_A3_average_timeout_t20.log
20,4occ_tail_hot,4,A4_no_scheduler,No scheduler,0.158386,6313.7,18.8311,"0,0,0,0,80,90,100,100","0,0,0,0,1,1,3,3",src/llama.cpp/exp12_algorithms/results/scheduler_ablation_real_6067_20260506_r1/logs/decode_4occ_tail_hot_A4_no_scheduler_t20.log
20,6occ_tail_hot,6,scheduler,Scheduler,20.4299,48.9478,12.0285,"0,0,55,70,85,95,100,100","0,0,1,1,1,2,3,3",src/llama.cpp/exp12_algorithms/results/scheduler_ablation_real_6067_20260506_r1/logs/decode_6occ_tail_hot_scheduler_t20.log
20,6occ_tail_hot,6,A1_random_input,Random input,25.6169,39.0368,14.9087,"0,0,55,70,85,95,100,100","0,0,1,1,1,2,3,3",src/llama.cpp/exp12_algorithms/results/scheduler_ablation_real_6067_20260506_r1/logs/decode_6occ_tail_hot_A1_random_input_t20.log
20,6occ_tail_hot,6,A2_random_pruning,Random pruning,24.0476,41.5842,15.6467,"0,0,55,70,85,95,100,100","0,0,1,1,1,2,3,3",src/llama.cpp/exp12_algorithms/results/scheduler_ablation_real_6067_20260506_r1/logs/decode_6occ_tail_hot_A2_random_pruning_t20.log
20,6occ_tail_hot,6,A3_average_timeout,Average timeout,0.15757,6346.4,12.0285,"0,0,55,70,85,95,100,100","0,0,1,1,1,2,3,3",src/llama.cpp/exp12_algorithms/results/scheduler_ablation_real_6067_20260506_r1/logs/decode_6occ_tail_hot_A3_average_timeout_t20.log
20,6occ_tail_hot,6,A4_no_scheduler,No scheduler,0.149817,6674.81,18.8311,"0,0,55,70,85,95,100,100","0,0,1,1,1,2,3,3",src/llama.cpp/exp12_algorithms/results/scheduler_ablation_real_6067_20260506_r1/logs/decode_6occ_tail_hot_A4_no_scheduler_t20.log
20,8occ_high,8,scheduler,Scheduler,20.3227,49.206,12.0285,"20,35,50,65,85,95,100,100","1,1,1,1,2,2,3,3",src/llama.cpp/exp12_algorithms/results/scheduler_ablation_real_6067_20260506_r1/logs/decode_8occ_high_scheduler_t20.log
20,8occ_high,8,A1_random_input,Random input,23.0496,43.3846,14.9087,"20,35,50,65,85,95,100,100","1,1,1,1,2,2,3,3",src/llama.cpp/exp12_algorithms/results/scheduler_ablation_real_6067_20260506_r1/logs/decode_8occ_high_A1_random_input_t20.log
20,8occ_high,8,A2_random_pruning,Random pruning,23.0605,43.3642,15.6467,"20,35,50,65,85,95,100,100","1,1,1,1,2,2,3,3",src/llama.cpp/exp12_algorithms/results/scheduler_ablation_real_6067_20260506_r1/logs/decode_8occ_high_A2_random_pruning_t20.log
20,8occ_high,8,A3_average_timeout,Average timeout,24.198,41.3256,12.0285,"20,35,50,65,85,95,100,100","1,1,1,1,2,2,3,3",src/llama.cpp/exp12_algorithms/results/scheduler_ablation_real_6067_20260506_r1/logs/decode_8occ_high_A3_average_timeout_t20.log
20,8occ_high,8,A4_no_scheduler,No scheduler,26.21,38.1534,18.8311,"20,35,50,65,85,95,100,100","1,1,1,1,2,2,3,3",src/llama.cpp/exp12_algorithms/results/scheduler_ablation_real_6067_20260506_r1/logs/decode_8occ_high_A4_no_scheduler_t20.log
30,2occ_minor_hot,2,scheduler,Scheduler,0.167686,5963.53,12.0285,"0,0,0,0,0,0,100,100","0,0,0,0,0,0,3,3",src/llama.cpp/exp12_algorithms/results/scheduler_ablation_real_6067_20260506_r1/logs/decode_2occ_minor_hot_scheduler_t30.log
