ablation,scenario,occupied_count,scheduler_tok_s_mean,ablation_tok_s_mean,tok_s_gap_mean,scheduler_ppl_mean,ablation_ppl_mean,ppl_gap_mean,scheduler_ppl_max,ablation_ppl_min
A1_random_input,2occ_minor_hot,2,0.164681,0.163378,0.00130267,12.0285,14.9087,2.8802,12.0285,14.9087
A1_random_input,4occ_tail_hot,4,6.68319,0.158887,6.52431,12.0285,14.9087,2.8802,12.0285,14.9087
A1_random_input,6occ_tail_hot,6,24.0167,16.6738,7.34295,12.0285,14.9087,2.8802,12.0285,14.9087
A1_random_input,8occ_high,8,25.3531,24.6171,0.736067,12.0285,14.9087,2.8802,12.0285,14.9087
A2_random_pruning,2occ_minor_hot,2,0.164681,6.76047,-6.59579,12.0285,15.6467,3.6182,12.0285,15.6467
A2_random_pruning,4occ_tail_hot,4,6.68319,0.157105,6.52609,12.0285,15.6467,3.6182,12.0285,15.6467
A2_random_pruning,6occ_tail_hot,6,24.0167,8.12498,15.8918,12.0285,15.6467,3.6182,12.0285,15.6467
A2_random_pruning,8occ_high,8,25.3531,24.1216,1.2315,12.0285,15.6467,3.6182,12.0285,15.6467
A3_average_timeout,2occ_minor_hot,2,0.164681,0.16434,0.000340667,12.0285,12.0285,0,12.0285,12.0285
A3_average_timeout,4occ_tail_hot,4,6.68319,0.161757,6.52144,12.0285,12.0285,0,12.0285,12.0285
A3_average_timeout,6occ_tail_hot,6,24.0167,0.161357,23.8554,12.0285,12.0285,0,12.0285,12.0285
A3_average_timeout,8occ_high,8,25.3531,21.6983,3.65483,12.0285,12.0285,0,12.0285,12.0285
A4_no_scheduler,2occ_minor_hot,2,0.164681,0.161433,0.00324733,12.0285,18.8311,6.8026,12.0285,18.8311
A4_no_scheduler,4occ_tail_hot,4,6.68319,0.158435,6.52476,12.0285,18.8311,6.8026,12.0285,18.8311
A4_no_scheduler,6occ_tail_hot,6,24.0167,7.78156,16.2352,12.0285,18.8311,6.8026,12.0285,18.8311
A4_no_scheduler,8occ_high,8,25.3531,24.8326,0.5205,12.0285,18.8311,6.8026,12.0285,18.8311
