scope,layer,matrix,rate,loss,relative_loss,reduction,loss_definition
layer,0,ffn_up+ffn_gate+ffn_down,0.0,0.0,0.0,sum,spectral_norm_discarded_residual
layer,0,ffn_up+ffn_gate+ffn_down,0.1,3.200283571733445,0.46758741109493973,sum,spectral_norm_discarded_residual
layer,0,ffn_up+ffn_gate+ffn_down,0.2,4.6577299700972326,0.6712256406392942,sum,spectral_norm_discarded_residual
layer,0,ffn_up+ffn_gate+ffn_down,0.3,5.606158724428741,0.8011853886362583,sum,spectral_norm_discarded_residual
layer,0,ffn_up+ffn_gate+ffn_down,0.4,6.408698828823583,0.9120475648744715,sum,spectral_norm_discarded_residual
layer,0,ffn_up+ffn_gate+ffn_down,0.5,7.216603290709174,1.023828998611818,sum,spectral_norm_discarded_residual
layer,0,ffn_up+ffn_gate+ffn_down,0.6,8.013237037518694,1.1341979114348544,sum,spectral_norm_discarded_residual
layer,0,ffn_up+ffn_gate+ffn_down,0.7,8.849781800866689,1.2492407720957242,sum,spectral_norm_discarded_residual
layer,0,ffn_up+ffn_gate+ffn_down,0.8,9.789736524665098,1.3785590268078403,sum,spectral_norm_discarded_residual
layer,0,ffn_up+ffn_gate+ffn_down,0.85,10.343995069016177,1.4542076920850122,sum,spectral_norm_discarded_residual
layer,0,ffn_up+ffn_gate+ffn_down,0.9,10.99079166204881,1.5413841898790326,sum,spectral_norm_discarded_residual
layer,1,ffn_up+ffn_gate+ffn_down,0.0,0.0,0.0,sum,spectral_norm_discarded_residual
layer,1,ffn_up+ffn_gate+ffn_down,0.1,5.379071606686578,0.5333085997985763,sum,spectral_norm_discarded_residual
layer,1,ffn_up+ffn_gate+ffn_down,0.2,6.069824888944754,0.6024089874472279,sum,spectral_norm_discarded_residual
layer,1,ffn_up+ffn_gate+ffn_down,0.3,6.677894968577946,0.662858897690349,sum,spectral_norm_discarded_residual
layer,1,ffn_up+ffn_gate+ffn_down,0.4,7.275708114361516,0.7222630001537186,sum,spectral_norm_discarded_residual
layer,1,ffn_up+ffn_gate+ffn_down,0.5,7.867029905983932,0.7808034193888149,sum,spectral_norm_discarded_residual
layer,1,ffn_up+ffn_gate+ffn_down,0.6,8.486733323175201,0.8418665567648547,sum,spectral_norm_discarded_residual
layer,1,ffn_up+ffn_gate+ffn_down,0.7,9.155962036574351,0.9076000958912398,sum,spectral_norm_discarded_residual
layer,1,ffn_up+ffn_gate+ffn_down,0.8,9.918369682392878,0.9819296840028844,sum,spectral_norm_discarded_residual
layer,1,ffn_up+ffn_gate+ffn_down,0.85,10.37673756355298,1.0263825269267581,sum,spectral_norm_discarded_residual
layer,1,ffn_up+ffn_gate+ffn_down,0.9,10.949271131888619,1.0810294675757104,sum,spectral_norm_discarded_residual
layer,2,ffn_up+ffn_gate+ffn_down,0.0,0.0,0.0,sum,spectral_norm_discarded_residual
layer,2,ffn_up+ffn_gate+ffn_down,0.1,5.270616926375596,0.6264537161063649,sum,spectral_norm_discarded_residual
layer,2,ffn_up+ffn_gate+ffn_down,0.2,5.957695530179552,0.7076768825407842,sum,spectral_norm_discarded_residual
layer,2,ffn_up+ffn_gate+ffn_down,0.3,6.560128237549473,0.7787177916175253,sum,spectral_norm_discarded_residual
layer,2,ffn_up+ffn_gate+ffn_down,0.4,7.132845578102573,0.8462012733474873,sum,spectral_norm_discarded_residual
layer,2,ffn_up+ffn_gate+ffn_down,0.5,7.706908643588705,0.9135122626658273,sum,spectral_norm_discarded_residual
layer,2,ffn_up+ffn_gate+ffn_down,0.6,8.304070981200523,0.9832290681256697,sum,spectral_norm_discarded_residual
layer,2,ffn_up+ffn_gate+ffn_down,0.7,8.934855758018685,1.056507036977632,sum,spectral_norm_discarded_residual
layer,2,ffn_up+ffn_gate+ffn_down,0.8,9.653594828412508,1.138824745038925,sum,spectral_norm_discarded_residual
layer,2,ffn_up+ffn_gate+ffn_down,0.85,10.090080822428693,1.188165190160349,sum,spectral_norm_discarded_residual
layer,2,ffn_up+ffn_gate+ffn_down,0.9,10.646749271082225,1.248927027283846,sum,spectral_norm_discarded_residual
layer,3,ffn_up+ffn_gate+ffn_down,0.0,0.0,0.0,sum,spectral_norm_discarded_residual
layer,3,ffn_up+ffn_gate+ffn_down,0.1,5.236850643114886,0.7581020046760241,sum,spectral_norm_discarded_residual
layer,3,ffn_up+ffn_gate+ffn_down,0.2,5.9301025408088,0.8583682019855268,sum,spectral_norm_discarded_residual
layer,3,ffn_up+ffn_gate+ffn_down,0.3,6.527182677885315,0.9441965013291822,sum,spectral_norm_discarded_residual
layer,3,ffn_up+ffn_gate+ffn_down,0.4,7.106210538192725,1.0273351562165156,sum,spectral_norm_discarded_residual
layer,3,ffn_up+ffn_gate+ffn_down,0.5,7.670456213651045,1.108177620924115,sum,spectral_norm_discarded_residual
layer,3,ffn_up+ffn_gate+ffn_down,0.6,8.257848342904829,1.1919656707847812,sum,spectral_norm_discarded_residual
layer,3,ffn_up+ffn_gate+ffn_down,0.7,8.888838595715388,1.2810495036178176,sum,spectral_norm_discarded_residual
layer,3,ffn_up+ffn_gate+ffn_down,0.8,9.597513220214662,1.3801344266660047,sum,spectral_norm_discarded_residual
layer,3,ffn_up+ffn_gate+ffn_down,0.85,10.013370062373994,1.4367389367035197,sum,spectral_norm_discarded_residual
layer,3,ffn_up+ffn_gate+ffn_down,0.9,10.547445843623514,1.5065213064330525,sum,spectral_norm_discarded_residual
layer,4,ffn_up+ffn_gate+ffn_down,0.0,0.0,0.0,sum,spectral_norm_discarded_residual
layer,4,ffn_up+ffn_gate+ffn_down,0.1,5.128252107475742,0.6946455229299777,sum,spectral_norm_discarded_residual
layer,4,ffn_up+ffn_gate+ffn_down,0.2,5.821999033703039,0.788130169066136,sum,spectral_norm_discarded_residual
layer,4,ffn_up+ffn_gate+ffn_down,0.3,6.4207159759003725,0.868463934641408,sum,spectral_norm_discarded_residual
layer,4,ffn_up+ffn_gate+ffn_down,0.4,6.993715999984053,0.9451041032888293,sum,spectral_norm_discarded_residual
layer,4,ffn_up+ffn_gate+ffn_down,0.5,7.5542966470243815,1.019787475815503,sum,spectral_norm_discarded_residual
layer,4,ffn_up+ffn_gate+ffn_down,0.6,8.14203255372039,1.097511391751461,sum,spectral_norm_discarded_residual
layer,4,ffn_up+ffn_gate+ffn_down,0.7,8.77218727873381,1.1801920059588646,sum,spectral_norm_discarded_residual
layer,4,ffn_up+ffn_gate+ffn_down,0.8,9.484271906286498,1.2726443190076533,sum,spectral_norm_discarded_residual
layer,4,ffn_up+ffn_gate+ffn_down,0.85,9.915814572648447,1.3274897597709987,sum,spectral_norm_discarded_residual
layer,4,ffn_up+ffn_gate+ffn_down,0.9,10.499484126982896,1.3994974020255653,sum,spectral_norm_discarded_residual
layer,5,ffn_up+ffn_gate+ffn_down,0.0,0.0,0.0,sum,spectral_norm_discarded_residual
layer,5,ffn_up+ffn_gate+ffn_down,0.1,5.051227837090543,0.7188842901651742,sum,spectral_norm_discarded_residual
layer,5,ffn_up+ffn_gate+ffn_down,0.2,5.810777377889709,0.8259514717975941,sum,spectral_norm_discarded_residual
layer,5,ffn_up+ffn_gate+ffn_down,0.3,6.438672918233204,0.9141902206365955,sum,spectral_norm_discarded_residual
layer,5,ffn_up+ffn_gate+ffn_down,0.4,7.027586477303577,0.9964082037183826,sum,spectral_norm_discarded_residual
layer,5,ffn_up+ffn_gate+ffn_down,0.5,7.602592597577909,1.076537796116673,sum,spectral_norm_discarded_residual
layer,5,ffn_up+ffn_gate+ffn_down,0.6,8.197888381964601,1.1586257838170768,sum,spectral_norm_discarded_residual
layer,5,ffn_up+ffn_gate+ffn_down,0.7,8.835859849390095,1.246002162313987,sum,spectral_norm_discarded_residual
layer,5,ffn_up+ffn_gate+ffn_down,0.8,9.551057316119305,1.3422162411007117,sum,spectral_norm_discarded_residual
layer,5,ffn_up+ffn_gate+ffn_down,0.85,9.986844126287275,1.3992299413026006,sum,spectral_norm_discarded_residual
layer,5,ffn_up+ffn_gate+ffn_down,0.9,10.556796922164443,1.469365558884119,sum,spectral_norm_discarded_residual
layer,6,ffn_up+ffn_gate+ffn_down,0.0,0.0,0.0,sum,spectral_norm_discarded_residual
layer,6,ffn_up+ffn_gate+ffn_down,0.1,5.1109413565383575,0.7059903631814946,sum,spectral_norm_discarded_residual
layer,6,ffn_up+ffn_gate+ffn_down,0.2,5.863078528771137,0.809535758967417,sum,spectral_norm_discarded_residual
layer,6,ffn_up+ffn_gate+ffn_down,0.3,6.4878898177897355,0.8950098960444173,sum,spectral_norm_discarded_residual
layer,6,ffn_up+ffn_gate+ffn_down,0.4,7.071726047636178,0.9746405026638134,sum,spectral_norm_discarded_residual
layer,6,ffn_up+ffn_gate+ffn_down,0.5,7.645766440391374,1.0524662271646297,sum,spectral_norm_discarded_residual
layer,6,ffn_up+ffn_gate+ffn_down,0.6,8.230753664358119,1.1312858936651726,sum,spectral_norm_discarded_residual
layer,6,ffn_up+ffn_gate+ffn_down,0.7,8.851347538493279,1.214180004782365,sum,spectral_norm_discarded_residual
layer,6,ffn_up+ffn_gate+ffn_down,0.8,9.553565613456055,1.307121213831237,sum,spectral_norm_discarded_residual
layer,6,ffn_up+ffn_gate+ffn_down,0.85,9.970718525694956,1.361364157091366,sum,spectral_norm_discarded_residual
layer,6,ffn_up+ffn_gate+ffn_down,0.9,10.518015720983218,1.430545465657464,sum,spectral_norm_discarded_residual
layer,7,ffn_up+ffn_gate+ffn_down,0.0,0.0,0.0,sum,spectral_norm_discarded_residual
layer,7,ffn_up+ffn_gate+ffn_down,0.1,5.144517495527085,0.6740411029937219,sum,spectral_norm_discarded_residual
layer,7,ffn_up+ffn_gate+ffn_down,0.2,5.8834612039414065,0.7704127926549235,sum,spectral_norm_discarded_residual
layer,7,ffn_up+ffn_gate+ffn_down,0.3,6.508182656510223,0.851835482396837,sum,spectral_norm_discarded_residual
layer,7,ffn_up+ffn_gate+ffn_down,0.4,7.090874152819275,0.9273074577532956,sum,spectral_norm_discarded_residual
layer,7,ffn_up+ffn_gate+ffn_down,0.5,7.670306895359364,1.0019409229901228,sum,spectral_norm_discarded_residual
layer,7,ffn_up+ffn_gate+ffn_down,0.6,8.262515880981184,1.0779345233740962,sum,spectral_norm_discarded_residual
layer,7,ffn_up+ffn_gate+ffn_down,0.7,8.898885857982085,1.1592010427606092,sum,spectral_norm_discarded_residual
layer,7,ffn_up+ffn_gate+ffn_down,0.8,9.612063346630048,1.249444448317796,sum,spectral_norm_discarded_residual
layer,7,ffn_up+ffn_gate+ffn_down,0.85,10.050167256050468,1.3042279240485983,sum,spectral_norm_discarded_residual
layer,7,ffn_up+ffn_gate+ffn_down,0.9,10.58640857295515,1.3697556637602284,sum,spectral_norm_discarded_residual
layer,8,ffn_up+ffn_gate+ffn_down,0.0,0.0,0.0,sum,spectral_norm_discarded_residual
layer,8,ffn_up+ffn_gate+ffn_down,0.1,4.9338816823796385,0.6413856119315007,sum,spectral_norm_discarded_residual
layer,8,ffn_up+ffn_gate+ffn_down,0.2,5.724968041834481,0.7424808082518376,sum,spectral_norm_discarded_residual
layer,8,ffn_up+ffn_gate+ffn_down,0.3,6.37472123084671,0.8254910055095127,sum,spectral_norm_discarded_residual
layer,8,ffn_up+ffn_gate+ffn_down,0.4,6.975324383515904,0.9019626269170933,sum,spectral_norm_discarded_residual
layer,8,ffn_up+ffn_gate+ffn_down,0.5,7.55833379129635,0.9760864750962582,sum,spectral_norm_discarded_residual
layer,8,ffn_up+ffn_gate+ffn_down,0.6,8.160294279571264,1.0518434327783455,sum,spectral_norm_discarded_residual
layer,8,ffn_up+ffn_gate+ffn_down,0.7,8.80490087043712,1.1324737267469964,sum,spectral_norm_discarded_residual
layer,8,ffn_up+ffn_gate+ffn_down,0.8,9.539896717990704,1.2233002144427454,sum,spectral_norm_discarded_residual
layer,8,ffn_up+ffn_gate+ffn_down,0.85,9.988785183188863,1.2778053327798027,sum,spectral_norm_discarded_residual
layer,8,ffn_up+ffn_gate+ffn_down,0.9,10.559455801886408,1.3455320622735374,sum,spectral_norm_discarded_residual
layer,9,ffn_up+ffn_gate+ffn_down,0.0,0.0,0.0,sum,spectral_norm_discarded_residual
layer,9,ffn_up+ffn_gate+ffn_down,0.1,4.791741052804209,0.6028501378706924,sum,spectral_norm_discarded_residual
layer,9,ffn_up+ffn_gate+ffn_down,0.2,5.562027177822352,0.6980115023471196,sum,spectral_norm_discarded_residual
layer,9,ffn_up+ffn_gate+ffn_down,0.3,6.198659164395082,0.7773753527994456,sum,spectral_norm_discarded_residual
layer,9,ffn_up+ffn_gate+ffn_down,0.4,6.80641762187102,0.8529557107982935,sum,spectral_norm_discarded_residual
layer,9,ffn_up+ffn_gate+ffn_down,0.5,7.405861124132135,0.9271033639361226,sum,spectral_norm_discarded_residual
layer,9,ffn_up+ffn_gate+ffn_down,0.6,8.030650734004789,1.0040102113408147,sum,spectral_norm_discarded_residual
layer,9,ffn_up+ffn_gate+ffn_down,0.7,8.70875502282356,1.0864514303004227,sum,spectral_norm_discarded_residual
layer,9,ffn_up+ffn_gate+ffn_down,0.8,9.494252470967254,1.1806405596077263,sum,spectral_norm_discarded_residual
layer,9,ffn_up+ffn_gate+ffn_down,0.85,9.986264251520996,1.2384657384413282,sum,spectral_norm_discarded_residual
layer,9,ffn_up+ffn_gate+ffn_down,0.9,10.618427160106915,1.310427498030143,sum,spectral_norm_discarded_residual
layer,10,ffn_up+ffn_gate+ffn_down,0.0,0.0,0.0,sum,spectral_norm_discarded_residual
layer,10,ffn_up+ffn_gate+ffn_down,0.1,4.697615142752313,0.5842972607768532,sum,spectral_norm_discarded_residual
layer,10,ffn_up+ffn_gate+ffn_down,0.2,5.48275790933052,0.679390191735071,sum,spectral_norm_discarded_residual
layer,10,ffn_up+ffn_gate+ffn_down,0.3,6.122468608598789,0.7573806378420964,sum,spectral_norm_discarded_residual
layer,10,ffn_up+ffn_gate+ffn_down,0.4,6.725928450833019,0.8307629107919332,sum,spectral_norm_discarded_residual
layer,10,ffn_up+ffn_gate+ffn_down,0.5,7.324899988575547,0.9034760558354941,sum,spectral_norm_discarded_residual
