scope,layer,matrix,rate,rank_total,rank_keep,rank_truncated,loss,relative_loss,loss_definition
matrix,0,down,0.0,1536,1536,0,0.0,0.0,spectral_norm_discarded_residual
matrix,0,down,0.1,1536,1382,154,1.6335287525458855,0.23845089215794307,spectral_norm_discarded_residual
matrix,0,down,0.2,1536,1228,308,1.9096067403974382,0.27875079040324396,spectral_norm_discarded_residual
matrix,0,down,0.3,1536,1075,461,2.116348790620808,0.3089295223328125,spectral_norm_discarded_residual
matrix,0,down,0.4,1536,921,615,2.304259926480472,0.33635945151056096,spectral_norm_discarded_residual
matrix,0,down,0.5,1536,768,768,2.4794515135372857,0.36193267155162645,spectral_norm_discarded_residual
matrix,0,down,0.6,1536,614,922,2.6486594428821024,0.3866324398597061,spectral_norm_discarded_residual
matrix,0,down,0.7,1536,460,1076,2.81622417961325,0.41109234661401384,spectral_norm_discarded_residual
matrix,0,down,0.8,1536,307,1229,2.990517047407131,0.43653437801838607,spectral_norm_discarded_residual
matrix,0,down,0.85,1536,230,1306,3.0874895258057142,0.45068972970893395,spectral_norm_discarded_residual
matrix,0,down,0.9,1536,153,1383,3.199382618046357,0.46702308633305795,spectral_norm_discarded_residual
matrix,0,gate,0.0,1536,1536,0,0.0,0.0,spectral_norm_discarded_residual
matrix,0,gate,0.1,1536,1382,154,0.7451987219039354,0.06326257658083241,spectral_norm_discarded_residual
matrix,0,gate,0.2,1536,1228,308,1.3877369688947545,0.11780993940039797,spectral_norm_discarded_residual
matrix,0,gate,0.3,1536,1075,461,1.8147750735053103,0.15406272674661864,spectral_norm_discarded_residual
matrix,0,gate,0.4,1536,921,615,2.1622937050355913,0.18356482248865158,spectral_norm_discarded_residual
matrix,0,gate,0.5,1536,768,768,2.5172922401073574,0.21370191391264362,spectral_norm_discarded_residual
matrix,0,gate,0.6,1536,614,922,2.8677748751678296,0.2434556344827969,spectral_norm_discarded_residual
matrix,0,gate,0.7,1536,460,1076,3.247965371365617,0.2757313613111606,spectral_norm_discarded_residual
matrix,0,gate,0.8,1536,307,1229,3.6813741835379226,0.31252498073767465,spectral_norm_discarded_residual
matrix,0,gate,0.85,1536,230,1306,3.94489097116732,0.33489586043423,spectral_norm_discarded_residual
matrix,0,gate,0.9,1536,153,1383,4.262431994878828,0.3618530501604555,spectral_norm_discarded_residual
matrix,0,up,0.0,1536,1536,0,0.0,0.0,spectral_norm_discarded_residual
matrix,0,up,0.1,1536,1382,154,0.8215560972836239,0.16587394235616426,spectral_norm_discarded_residual
matrix,0,up,0.2,1536,1228,308,1.3603862608050399,0.2746649108356523,spectral_norm_discarded_residual
