layer,matrix,rank,sigma_max,sigma_min,sigma_mean
0,down,1536,6.850587715410528,0.45409469542445347,2.4550112614730657
0,gate,1536,11.779455756939866,0.17928933480809173,2.5828644045546434
0,up,1536,4.952894261833965,0.18833131078578408,2.2214145459820553
1,down,1536,7.741739690979649,0.746564569454101,2.5389105172425164
1,gate,1536,13.984456785661251,0.3999132702259117,2.9098346985490493
1,up,1536,9.964437015082542,0.32196379347151566,2.630443134037803
2,down,1536,6.741261201053003,0.6354245061003045,2.4467923968252974
2,gate,1536,14.505573206680841,0.41648548255707074,2.999618516077041
2,up,1536,6.77505048079528,0.3260028969042319,2.4518489801206407
3,down,1536,6.6732827713990295,0.3369022544096262,2.336106517566824
3,gate,1536,13.5086979503855,0.4522090161529634,3.1180158828850217
3,up,1536,4.383215918105806,0.36236619920755964,2.3773534298487644
4,down,1536,7.867074742238068,0.26732672186868045,2.345598162357887
4,gate,1536,12.835866478604895,0.4703064254836389,2.9729344473123014
4,up,1536,4.754956505197185,0.3483041985499863,2.4088684258623183
5,down,1536,6.513842126495669,0.5146134666555264,2.330215703829967
5,gate,1536,16.49924672050919,0.39991519258683345,2.978520412958094
5,up,1536,4.447405006641322,0.31430080345174705,2.447806915990428
6,down,1536,7.273701253691718,0.556958784515811,2.481471861697514
6,gate,1536,12.471394992146205,0.5358583983353256,2.736735447917559
6,up,1536,5.085940435938033,0.3779426954597679,2.560893424661266
7,down,1536,7.691944263720158,0.5519774730368034,2.53656712570786
7,gate,1536,11.5098194523856,0.5421569367951988,2.660124850606667
7,up,1536,5.745505589175915,0.38715986346742526,2.611490463871445
8,down,1536,9.782289319497053,0.57920192990192,2.4781677711751904
8,gate,1536,11.471222892056067,0.5416208694277129,2.6384673010591055
8,up,1536,5.102630454603782,0.3778871539839429,2.5731550331953557
9,down,1536,11.582973456034782,0.5338496034794095,2.463520494119344
9,gate,1536,10.413871420520865,0.5300509543880698,2.5719692587572793
9,up,1536,5.276121284436328,0.37172888152224814,2.5673827707964345
10,down,1536,12.370411738151,0.4024124364230779,2.4192292824062926
10,gate,1536,10.874424458092854,0.5581167657088195,2.5780055580928125
10,up,1536,5.191380774358191,0.39748210518151583,2.562563690040069
11,down,1536,11.971429375123016,0.6252849142097812,2.3869510947258505
11,gate,1536,12.160947885684202,0.5467975562321485,2.6271970775976476
11,up,1536,5.016469364333178,0.41529361010825183,2.5294391536077705
12,down,1536,11.325376826344304,0.7291909701222551,2.378839626563508
12,gate,1536,11.04724303424699,0.5483673054859051,2.5765837008846977
12,up,1536,4.9906263444049355,0.4030198340002302,2.521243449721072
13,down,1536,10.589690845083094,0.26745979039914913,2.3516604805752253
13,gate,1536,10.439621813036887,0.5335634334150272,2.523664533751771
13,up,1536,5.1657921663007675,0.39051801487214866,2.505279203525367
14,down,1536,11.254584915546415,0.6821571282638799,2.3499402107442315
14,gate,1536,10.068385052663544,0.5272178306918363,2.4076246014910168
14,up,1536,5.316312827097205,0.3766445048621444,2.4771761120805857
15,down,1536,11.97040253337197,0.6668955085101618,2.3578381854315027
15,gate,1536,10.131707921377458,0.5260600928596344,2.49042726597683
15,up,1536,5.254908267505089,0.40189136044895113,2.4900000180864525
16,down,1536,10.60558926455312,0.7287094183777998,2.323017081304063
16,gate,1536,9.45440526435431,0.5085491056349054,2.4418840520442284
16,up,1536,4.990599999329485,0.38269052096790224,2.4795624305482487
17,down,1536,8.657399207310432,0.7432535608633732,2.385077401593217
17,gate,1536,9.704147007237458,0.5234549627707021,2.459871246602183
17,up,1536,5.206750289376188,0.38906651982664736,2.5341623921029917
18,down,1536,7.793166392697598,0.4798460454374304,2.3913864621104097
18,gate,1536,9.445695635126512,0.5087268760537931,2.471734247767795
18,up,1536,5.494464180327181,0.3904415935370259,2.544671023970849
19,down,1536,8.502316599882793,1.0407650467196732,2.5012035976304325
19,gate,1536,10.272171322508997,0.5288411761226234,2.4600411899529493
19,up,1536,8.078168325473996,0.3882045904747018,2.625815190069981
20,down,1536,7.016210032596659,0.6434472736762111,2.5129601966563047
20,gate,1536,10.506583269429992,0.5012626480200524,2.5036620424664555
20,up,1536,5.758826199536075,0.4158353348348982,2.6342908877692337
21,down,1536,6.72945339240575,0.8462148987646108,2.5437635106012153
21,gate,1536,11.367438505903344,0.556168923926323,2.5305570388743095
21,up,1536,5.81258334041768,0.4491515494987127,2.6719487042074213
22,down,1536,6.924321056963201,0.6245437460601788,2.5467292233539247
22,gate,1536,11.466950152474258,0.5916365177490432,2.593588431445866
22,up,1536,6.297659841488617,0.43657172533363453,2.675183210167457
23,down,1536,6.4236344889676324,0.35009383006189665,2.608215502205415
23,gate,1536,11.843895864164756,0.5148386393394713,2.5749393579904525
23,up,1536,6.696215562548357,0.472750065455655,2.7002258782406066
24,down,1536,5.8971328860194205,0.32315442720261567,2.640352729990748
24,gate,1536,11.18473452809063,0.5643863548548059,2.5730874744676577
24,up,1536,6.643850701842389,0.4953539587323573,2.723764697891074
25,down,1536,5.7690459074268325,0.29799152415811947,2.681792615381731
25,gate,1536,9.903156295782637,0.6163611146174518,2.5299614870517755
25,up,1536,6.543580130750222,0.5359280206649855,2.7658283295210744
26,down,1536,5.538237104521675,0.37906079105023693,2.671836526307617
26,gate,1536,11.769304396709206,0.5768881141810858,2.481102404976152
26,up,1536,14.509371993556336,0.5428908258949675,2.7801991489293223
27,down,1536,7.495413886144423,0.7171969821225498,2.2911242977181376
27,gate,1536,15.509353732483941,0.5508135827104048,2.5047182391059697
27,up,1536,11.663928405536218,0.45710379449517324,2.5865116314601417
