scene,loads,policy,tok,speedup,status,group_a,group_b
2occ_A,"50,100,0,0,0,0,0,0",baseline,24.4239,1.0,ok,,
2occ_A,"50,100,0,0,0,0,0,0",odd_0.05,25.5684,1.046859838109393,ok,"62,63,64,65,66,67","60,61"
2occ_A,"50,100,0,0,0,0,0,0",mod3_1_0.05,23.6891,0.9699147146852058,ok,"62,63,64,65,66,67","60,61"
2occ_A,"50,100,0,0,0,0,0,0",mod4_1_0.05,20.4817,0.8385925261731337,ok,"62,63,64,65,66,67","60,61"
2occ_A,"50,100,0,0,0,0,0,0",odd_0.1,1.12847,0.046203513771346925,ok,"62,63,64,65,66,67","60,61"
2occ_A,"50,100,0,0,0,0,0,0",mod3_1_0.1,26.5168,1.0856906554645245,ok,"62,63,64,65,66,67","60,61"
2occ_A,"50,100,0,0,0,0,0,0",mod4_1_0.1,26.1004,1.0686417812061138,ok,"62,63,64,65,66,67","60,61"
2occ_A,"50,100,0,0,0,0,0,0",odd_0.15,23.7529,0.97252691011673,ok,"62,63,64,65,66,67","60,61"
2occ_A,"50,100,0,0,0,0,0,0",mod3_1_0.15,25.6287,1.0493287312837016,ok,"62,63,64,65,66,67","60,61"
2occ_A,"50,100,0,0,0,0,0,0",mod4_1_0.15,3.76573,0.15418217401807247,ok,"62,63,64,65,66,67","60,61"
2occ_A,"50,100,0,0,0,0,0,0",odd_0.2,14.9649,0.6127154140002211,ok,"62,63,64,65,66,67","60,61"
2occ_A,"50,100,0,0,0,0,0,0",mod3_1_0.2,27.2993,1.1177289458276525,ok,"62,63,64,65,66,67","60,61"
2occ_A,"50,100,0,0,0,0,0,0",mod4_1_0.2,27.5942,1.1298031845855905,ok,"62,63,64,65,66,67","60,61"
2occ_A,"50,100,0,0,0,0,0,0",odd_0.25,26.9762,1.10450010031158,ok,"62,63,64,65,66,67","60,61"
2occ_A,"50,100,0,0,0,0,0,0",mod3_1_0.25,27.0658,1.108168638096291,ok,"62,63,64,65,66,67","60,61"
2occ_A,"50,100,0,0,0,0,0,0",mod4_1_0.25,28.0379,1.1479698164502803,ok,"62,63,64,65,66,67","60,61"
2occ_B,"75,100,0,0,0,0,0,0",baseline,28.3517,1.0,ok,,
2occ_B,"75,100,0,0,0,0,0,0",odd_0.05,26.3192,0.9283111771075455,ok,"62,63,64,65,66,67","60,61"
2occ_B,"75,100,0,0,0,0,0,0",mod3_1_0.05,25.3411,0.8938123639852283,ok,"62,63,64,65,66,67","60,61"
2occ_B,"75,100,0,0,0,0,0,0",mod4_1_0.05,26.8644,0.9475410645569754,ok,"62,63,64,65,66,67","60,61"
2occ_B,"75,100,0,0,0,0,0,0",odd_0.1,25.2035,0.8889590394932225,ok,"62,63,64,65,66,67","60,61"
2occ_B,"75,100,0,0,0,0,0,0",mod3_1_0.1,26.1195,0.9212675077684935,ok,"62,63,64,65,66,67","60,61"
2occ_B,"75,100,0,0,0,0,0,0",mod4_1_0.1,26.4727,0.9337253145314037,ok,"62,63,64,65,66,67","60,61"
2occ_B,"75,100,0,0,0,0,0,0",odd_0.15,0.459437,0.016204918929023655,ok,"62,63,64,65,66,67","60,61"
2occ_B,"75,100,0,0,0,0,0,0",mod3_1_0.15,27.9057,0.9842690209052719,ok,"62,63,64,65,66,67","60,61"
2occ_B,"75,100,0,0,0,0,0,0",mod4_1_0.15,29.7258,1.048466229538264,ok,"62,63,64,65,66,67","60,61"
2occ_B,"75,100,0,0,0,0,0,0",odd_0.2,27.1027,0.9559462042840464,ok,"62,63,64,65,66,67","60,61"
2occ_B,"75,100,0,0,0,0,0,0",mod3_1_0.2,26.5495,0.9364341468060116,ok,"62,63,64,65,66,67","60,61"
2occ_B,"75,100,0,0,0,0,0,0",mod4_1_0.2,4.23241,0.14928240634600393,ok,"62,63,64,65,66,67","60,61"
2occ_B,"75,100,0,0,0,0,0,0",odd_0.25,26.5438,0.9362331006606306,ok,"62,63,64,65,66,67","60,61"
2occ_B,"75,100,0,0,0,0,0,0",mod3_1_0.25,26.488,0.9342649647111108,ok,"62,63,64,65,66,67","60,61"
2occ_B,"75,100,0,0,0,0,0,0",mod4_1_0.25,3.84334,0.13555941971733618,ok,"62,63,64,65,66,67","60,61"
2occ_C,"20,100,0,0,0,0,0,0",baseline,28.094,1.0,ok,,
2occ_C,"20,100,0,0,0,0,0,0",odd_0.05,26.417,0.9403075389762939,ok,"62,63,64,65,66,67","60,61"
2occ_C,"20,100,0,0,0,0,0,0",mod3_1_0.05,4.25165,0.15133658432405495,ok,"62,63,64,65,66,67","60,61"
2occ_C,"20,100,0,0,0,0,0,0",mod4_1_0.05,26.1644,0.9313162952943689,ok,"62,63,64,65,66,67","60,61"
2occ_C,"20,100,0,0,0,0,0,0",odd_0.1,25.8939,0.9216879048907239,ok,"62,63,64,65,66,67","60,61"
2occ_C,"20,100,0,0,0,0,0,0",mod3_1_0.1,27.544,0.980422866092404,ok,"62,63,64,65,66,67","60,61"
2occ_C,"20,100,0,0,0,0,0,0",mod4_1_0.1,27.6795,0.9852459599914573,ok,"62,63,64,65,66,67","60,61"
2occ_C,"20,100,0,0,0,0,0,0",odd_0.15,28.7234,1.0224033601480744,ok,"62,63,64,65,66,67","60,61"
2occ_C,"20,100,0,0,0,0,0,0",mod3_1_0.15,24.7699,0.8816793621413824,ok,"62,63,64,65,66,67","60,61"
2occ_C,"20,100,0,0,0,0,0,0",mod4_1_0.15,25.133,0.894603829999288,ok,"62,63,64,65,66,67","60,61"
2occ_C,"20,100,0,0,0,0,0,0",odd_0.2,3.93093,0.13992062362070193,ok,"62,63,64,65,66,67","60,61"
2occ_C,"20,100,0,0,0,0,0,0",mod3_1_0.2,26.881,0.9568235210365202,ok,"62,63,64,65,66,67","60,61"
2occ_C,"20,100,0,0,0,0,0,0",mod4_1_0.2,25.8136,0.918829643340215,ok,"62,63,64,65,66,67","60,61"
2occ_C,"20,100,0,0,0,0,0,0",odd_0.25,26.8655,0.9562718018082152,ok,"62,63,64,65,66,67","60,61"
2occ_C,"20,100,0,0,0,0,0,0",mod3_1_0.25,27.4487,0.9770306827080515,ok,"62,63,64,65,66,67","60,61"
2occ_C,"20,100,0,0,0,0,0,0",mod4_1_0.25,27.3389,0.9731223748843169,ok,"62,63,64,65,66,67","60,61"
4occ_A,"30,70,80,100,0,0,0,0",baseline,2.97525,1.0,ok,,
4occ_A,"30,70,80,100,0,0,0,0",odd_0.05,23.7034,7.966859927737165,ok,"64,65,66,67,60,61","62,63"
4occ_A,"30,70,80,100,0,0,0,0",mod3_1_0.05,1.32474,0.4452533400554575,ok,"64,65,66,67,60,61","62,63"
