config_id,occupied_count,scene,loads,policy,group_a,group_b,search_tok_s,search_speedup,ppl10_est,ppl100_est
2occ_cfg1,2,2occ_A,"50,100,0,0,0,0,0,0",mod4_1_0.25,"62,63,64,65,66,67","60,61",28.0379,1.1479698164502803,26.3299,17.1049
2occ_cfg2,2,2occ_A,"50,100,0,0,0,0,0,0",mod4_1_0.2,"62,63,64,65,66,67","60,61",27.5942,1.1298031845855905,23.9824,16.6384
2occ_cfg3,2,2occ_A,"50,100,0,0,0,0,0,0",mod3_1_0.2,"62,63,64,65,66,67","60,61",27.2993,1.1177289458276525,26.5081,17.0658
2occ_cfg4,2,2occ_A,"50,100,0,0,0,0,0,0",mod3_1_0.25,"62,63,64,65,66,67","60,61",27.0658,1.108168638096291,29.5263,17.6656
2occ_cfg5,2,2occ_A,"50,100,0,0,0,0,0,0",odd_0.25,"62,63,64,65,66,67","60,61",26.9762,1.10450010031158,37.5174,19.0674
2occ_cfg6,2,2occ_A,"50,100,0,0,0,0,0,0",mod3_1_0.1,"62,63,64,65,66,67","60,61",26.5168,1.0856906554645245,20.6838,16.0090
4occ_cfg1,4,4occ_A,"30,70,80,100,0,0,0,0",odd_0.05,"64,65,66,67,60,61","62,63",23.7034,7.966859927737165,19.3974,15.7794
4occ_cfg2,4,4occ_A,"30,70,80,100,0,0,0,0",mod4_1_0.1,"64,65,66,67,60,61","62,63",26.2216,8.81324258465675,19.4524,15.8164
4occ_cfg3,4,4occ_A,"30,70,80,100,0,0,0,0",mod3_1_0.1,"64,65,66,67,60,61","62,63",11.7863,3.9614486177632133,20.6838,16.0090
4occ_cfg4,4,4occ_A,"30,70,80,100,0,0,0,0",mod4_1_0.15,"64,65,66,67,60,61","62,63",26.8514,9.024922275439039,21.6899,16.2089
4occ_cfg5,4,4occ_A,"30,70,80,100,0,0,0,0",mod3_1_0.15,"64,65,66,67,60,61","62,63",27.0355,9.086799428619443,23.5606,16.5136
4occ_cfg6,4,4occ_A,"30,70,80,100,0,0,0,0",mod4_1_0.25,"64,65,66,67,60,61","62,63",27.4329,9.22036803629947,26.3299,17.1049
6occ_cfg1,6,6occ_A,"30,40,60,70,90,100,0,0",mod4_1_0.05,"66,67,60,61,62,63","64,65",25.6793,13.109174630401046,17.2699,15.4609
6occ_cfg2,6,6occ_A,"30,40,60,70,90,100,0,0",mod3_1_0.05,"66,67,60,61,62,63","64,65",28.3341,14.46443886302377,17.8778,15.5519
6occ_cfg3,6,6occ_C,"55,65,85,95,100,100,0,0",mod4_1_0.1,"66,67,60,61,62,63","64,65",26.7802,12.770050211958363,19.4524,15.8164
6occ_cfg4,6,6occ_A,"30,40,60,70,90,100,0,0",mod3_1_0.1,"66,67,60,61,62,63","64,65",6.87918,3.5117924528301887,20.6838,16.0090
6occ_cfg5,6,6occ_A,"30,40,60,70,90,100,0,0",mod4_1_0.15,"66,67,60,61,62,63","64,65",23.9271,12.214683901004655,21.6899,16.2089
6occ_cfg6,6,6occ_C,"55,65,85,95,100,100,0,0",mod3_1_0.15,"66,67,60,61,62,63","64,65",25.5571,12.18681900329501,23.5606,16.5136
8occ_cfg1,8,8occ_A,"20,30,40,50,90,90,100,100",mod4_1_0.05,"60,61,62,63,64,65","66,67",26.6712,7.182362398106333,17.2699,15.4609
8occ_cfg2,8,8occ_A,"20,30,40,50,90,90,100,100",mod3_1_0.05,"60,61,62,63,64,65","66,67",25.9102,6.977430569581223,17.8778,15.5519
8occ_cfg3,8,8occ_A,"20,30,40,50,90,90,100,100",odd_0.05,"60,61,62,63,64,65","66,67",24.9906,6.729788901366123,19.3974,15.7794
8occ_cfg4,8,8occ_A,"20,30,40,50,90,90,100,100",mod4_1_0.1,"60,61,62,63,64,65","66,67",24.7502,6.6650509098057595,19.4524,15.8164
8occ_cfg5,8,8occ_A,"20,30,40,50,90,90,100,100",mod3_1_0.1,"60,61,62,63,64,65","66,67",25.3305,6.821321527536537,20.6838,16.0090
8occ_cfg6,8,8occ_A,"20,30,40,50,90,90,100,100",mod4_1_0.15,"60,61,62,63,64,65","66,67",24.8325,6.687213708081209,21.6899,16.2089
