scenario,config_id,occupied_count,loads,occupied_loads,baseline_status,schedule_status,baseline_images_s,schedule_images_s,speedup,selected_policy,selected_cpus,baseline_forward_ms,schedule_forward_ms
2occ_config1,1,2,"20,20,0,0,0,0,0,0",20/20,ok,ok,18.99472326587674,19.190027326598912,1.0102820166415916,No-Offloading 7核,"62,63,64,65,66,67,60",52.6462,52.1104
4occ_config1,1,4,"20,20,20,20,0,0,0,0",20/20/20/20,ok,ok,18.4488570010645,18.827534139026277,1.0205257777183663,基线,"60,61,62,63,64,65,66,67",54.2039,53.1137
6occ_config1,1,6,"20,20,20,20,20,20,0,0",20/20/20/20/20/20,ok,ok,15.37576840402599,17.88451254866823,1.1631621964327552,No-Offloading 7核,"66,67,60,61,62,63,64",65.0374,55.9143
8occ_config1,1,8,"20,20,20,20,20,20,20,20",20/20/20/20/20/20/20/20,ok,ok,14.86953470252009,19.383826910179224,1.3035933738326089,No-Offloading 7核,"60,61,62,63,64,65,66",67.2516,51.5894
2occ_config2,2,2,"30,40,0,0,0,0,0,0",30/40,ok,ok,4.835753628024159,18.246410474899324,3.773229961335856,No-Offloading 6核,"62,63,64,65,66,67",206.793,54.8053
4occ_config2,2,4,"30,40,30,40,0,0,0,0",30/40/30/40,ok,ok,4.326307410099332,18.125201642868277,4.189531608539145,No-Offloading 5核,"64,65,66,67,60",231.144,55.1718
6occ_config2,2,6,"30,40,30,40,30,40,0,0",30/40/30/40/30/40,ok,ok,3.627828345673996,14.05181184061873,3.873339778431031,No-Offloading 3核,"66,67,60",275.647,71.1652
8occ_config2,2,8,"30,40,30,40,30,40,30,40",30/40/30/40/30/40/30/40,ok,ok,1.7402017938000092,10.251636673794971,5.891062008049585,No-Offloading 2核,"60,62",574.646,97.5454
2occ_config3,3,2,"50,50,0,0,0,0,0,0",50/50,ok,ok,8.482771491101573,16.761256021481227,1.9759174273483358,No-Offloading 6核,"62,63,64,65,66,67",117.886,59.6614
4occ_config3,3,4,"50,50,60,60,0,0,0,0",50/50/60/60,ok,ok,1.1660148643574908,15.976150802082651,13.701498403183727,No-Offloading 4核,"64,65,66,67",857.622,62.5933
6occ_config3,3,6,"50,50,60,60,50,50,0,0",50/50/60/60/50/50,ok,ok,1.029419788124819,16.996772312937775,16.51102155700633,No-Offloading 5核,"66,67,60,61,64",971.421,58.8347
8occ_config3,3,8,"50,50,60,60,50,50,60,60",50/50/60/60/50/50/60/60,ok,ok,0.7487047407984186,5.836689429755443,7.795715869958561,No-Offloading 2核,"60,61",1335.64,171.33
2occ_config4,4,2,"90,90,0,0,0,0,0,0",90/90,ok,ok,2.288863762251143,17.419933630052867,7.610734163102838,No-Offloading 5核,"62,63,64,65,66",436.898,57.4055
4occ_config4,4,4,"90,90,100,100,0,0,0,0",90/90/100/100,ok,ok,0.8841029449469097,14.827093845125072,16.770777577282516,No-Offloading 4核,"64,65,66,67",1131.09,67.4441
6occ_config4,4,6,"90,90,100,100,90,90,0,0",90/90/100/100/90/90,ok,ok,0.6710688785096902,10.521354140363282,15.678501085803749,No-Offloading 2核,"66,67",1490.16,95.0448
8occ_config4,4,8,"90,90,100,100,90,90,100,100",90/90/100/100/90/90/100/100,ok,ok,1.051745898190997,3.148842642886607,2.9939195848565863,No-Offloading 1核,60,950.8,317.577
