image,label0
/home/tianruiming/CE_ADA_LLAMA/src/llama.cpp/exp8_resnet50/results/resnet_scheduler_figures_real_20260506_r1/imagenet_val_subset/ILSVRC2012_val_00000001.JPEG,65
/home/tianruiming/CE_ADA_LLAMA/src/llama.cpp/exp8_resnet50/results/resnet_scheduler_figures_real_20260506_r1/imagenet_val_subset/ILSVRC2012_val_00000002.JPEG,970
/home/tianruiming/CE_ADA_LLAMA/src/llama.cpp/exp8_resnet50/results/resnet_scheduler_figures_real_20260506_r1/imagenet_val_subset/ILSVRC2012_val_00000003.JPEG,230
/home/tianruiming/CE_ADA_LLAMA/src/llama.cpp/exp8_resnet50/results/resnet_scheduler_figures_real_20260506_r1/imagenet_val_subset/ILSVRC2012_val_00000004.JPEG,809
/home/tianruiming/CE_ADA_LLAMA/src/llama.cpp/exp8_resnet50/results/resnet_scheduler_figures_real_20260506_r1/imagenet_val_subset/ILSVRC2012_val_00000005.JPEG,516
/home/tianruiming/CE_ADA_LLAMA/src/llama.cpp/exp8_resnet50/results/resnet_scheduler_figures_real_20260506_r1/imagenet_val_subset/ILSVRC2012_val_00000006.JPEG,57
/home/tianruiming/CE_ADA_LLAMA/src/llama.cpp/exp8_resnet50/results/resnet_scheduler_figures_real_20260506_r1/imagenet_val_subset/ILSVRC2012_val_00000007.JPEG,334
/home/tianruiming/CE_ADA_LLAMA/src/llama.cpp/exp8_resnet50/results/resnet_scheduler_figures_real_20260506_r1/imagenet_val_subset/ILSVRC2012_val_00000008.JPEG,415
/home/tianruiming/CE_ADA_LLAMA/src/llama.cpp/exp8_resnet50/results/resnet_scheduler_figures_real_20260506_r1/imagenet_val_subset/ILSVRC2012_val_00000009.JPEG,674
/home/tianruiming/CE_ADA_LLAMA/src/llama.cpp/exp8_resnet50/results/resnet_scheduler_figures_real_20260506_r1/imagenet_val_subset/ILSVRC2012_val_00000010.JPEG,332
/home/tianruiming/CE_ADA_LLAMA/src/llama.cpp/exp8_resnet50/results/resnet_scheduler_figures_real_20260506_r1/imagenet_val_subset/ILSVRC2012_val_00000011.JPEG,109
/home/tianruiming/CE_ADA_LLAMA/src/llama.cpp/exp8_resnet50/results/resnet_scheduler_figures_real_20260506_r1/imagenet_val_subset/ILSVRC2012_val_00000012.JPEG,286
