occupied_count,timeout_ms,rank_ratio,loads,occupied_loads,baseline_images_s,schedule_images_s,speedup,top1,baseline_top1,baseline_status,schedule_status
2,10,0.3,"50,50,0,0,0,0,0,0",50/50,3.7984540292101117,14.080679477268855,3.706950082583185,0.0,0.78125,ok,ok
2,20,0.4,"50,50,0,0,0,0,0,0",50/50,3.7984540292101117,11.983611213304684,3.1548654060706576,0.0,0.78125,ok,ok
2,30,0.5,"50,50,0,0,0,0,0,0",50/50,3.7984540292101117,10.968628625268869,2.8876560150314083,0.0,0.78125,ok,ok
2,40,0.65,"50,50,0,0,0,0,0,0",50/50,3.7984540292101117,8.687342541916427,2.2870732342976283,0.0,0.78125,ok,ok
2,50,0.8,"50,50,0,0,0,0,0,0",50/50,3.7984540292101117,7.863860841118555,2.0702793243370765,0.375,0.78125,ok,ok
2,60,0.85,"50,50,0,0,0,0,0,0",50/50,3.7984540292101117,7.476579614358023,1.968321732173965,0.625,0.78125,ok,ok
2,70,0.9,"50,50,0,0,0,0,0,0",50/50,3.7984540292101117,7.5222470456374735,1.9803443684697493,0.6875,0.78125,ok,ok
2,80,0.95,"50,50,0,0,0,0,0,0",50/50,3.7984540292101117,7.20030529294442,1.8955883729470127,0.71875,0.78125,ok,ok
2,90,1.0,"50,50,0,0,0,0,0,0",50/50,3.7984540292101117,6.757989633243902,1.7791421407959558,0.78125,0.78125,ok,ok
2,100,1.0,"50,50,0,0,0,0,0,0",50/50,3.7984540292101117,7.048209754722301,1.8555469410769663,0.78125,0.78125,ok,ok
4,10,0.3,"50,50,60,60,0,0,0,0",50/50/60/60,1.4746891723896896,13.922418713958338,9.440917431703575,0.0,0.78125,ok,ok
4,20,0.4,"50,50,60,60,0,0,0,0",50/50/60/60,1.4746891723896896,11.312434741392085,7.671063810050645,0.0,0.78125,ok,ok
4,30,0.5,"50,50,60,60,0,0,0,0",50/50/60/60,1.4746891723896896,10.561903846539762,7.162122055473231,0.0,0.78125,ok,ok
4,40,0.65,"50,50,60,60,0,0,0,0",50/50/60/60,1.4746891723896896,8.262209480059157,5.602678608313435,0.0,0.78125,ok,ok
4,50,0.8,"50,50,60,60,0,0,0,0",50/50/60/60,1.4746891723896896,7.68521364893944,5.211412542268675,0.375,0.78125,ok,ok
4,60,0.85,"50,50,60,60,0,0,0,0",50/50/60/60,1.4746891723896896,7.237618244588071,4.907894070219372,0.625,0.78125,ok,ok
4,70,0.9,"50,50,60,60,0,0,0,0",50/50/60/60,1.4746891723896896,6.413545407901489,4.349082863006671,0.6875,0.78125,ok,ok
4,80,0.95,"50,50,60,60,0,0,0,0",50/50/60/60,1.4746891723896896,6.63107987135705,4.496594940486058,0.71875,0.78125,ok,ok
4,90,1.0,"50,50,60,60,0,0,0,0",50/50/60/60,1.4746891723896896,6.285592165637925,4.262316617848568,0.78125,0.78125,ok,ok
4,100,1.0,"50,50,60,60,0,0,0,0",50/50/60/60,1.4746891723896896,6.3801144592534,4.326413035849863,0.78125,0.78125,ok,ok
6,10,0.3,"50,50,60,60,50,50,0,0",50/50/60/60/50/50,0.8525876033762468,10.419836033460177,12.221425683645442,0.0,0.78125,ok,ok
6,20,0.4,"50,50,60,60,50,50,0,0",50/50/60/60/50/50,0.8525876033762468,10.278453586101065,12.05559821113794,0.0,0.78125,ok,ok
6,30,0.5,"50,50,60,60,50,50,0,0",50/50/60/60/50/50,0.8525876033762468,9.385529390785287,11.008287422452064,0.0,0.78125,ok,ok
6,40,0.65,"50,50,60,60,50,50,0,0",50/50/60/60/50/50,0.8525876033762468,7.344570526238478,8.614446770225111,0.0,0.78125,ok,ok
6,50,0.8,"50,50,60,60,50,50,0,0",50/50/60/60/50/50,0.8525876033762468,6.2359690695934145,7.314168121726117,0.375,0.78125,ok,ok
