scenario,config_id,occupied_count,loads,occupied_loads,baseline_status,schedule_status,baseline_images_s,schedule_images_s,speedup,selected_policy,selected_cpus,baseline_forward_ms,schedule_forward_ms
2occ_config1,1,2,"20,20,0,0,0,0,0,0",20/20,ok,ok,14.966318300664355,14.814485604023616,0.9898550402583648,No-Offloading 空闲核,"62,63,64,65,66,67",66.8167,67.5015
4occ_config1,1,4,"20,20,20,20,0,0,0,0",20/20/20/20,ok,ok,15.061307050348441,13.490907128595328,0.8957328260752255,No-Offloading 空闲核,"64,65,66,67",66.3953,74.124
6occ_config1,1,6,"20,20,20,20,20,20,0,0",20/20/20/20/20/20,ok,ok,15.15202021885578,9.656331173533928,0.6372966135246575,No-Offloading 空闲核,"66,67",65.9978,103.559
8occ_config1,1,8,"20,20,20,20,20,20,20,20",20/20/20/20/20/20/20/20,ok,ok,7.160964152213455,12.563366479681894,1.7544238754216577,基线,"60,61,62,63,64,65,66,67",139.646,79.5965
2occ_config2,2,2,"30,40,0,0,0,0,0,0",30/40,ok,ok,7.04324552753909,14.730252255569876,2.091401215245811,No-Offloading 空闲核,"62,63,64,65,66,67",141.98,67.8875
4occ_config2,2,4,"30,40,30,40,0,0,0,0",30/40/30/40,ok,ok,2.0217050251500104,12.177004943864008,6.023136309393342,No-Offloading 空闲核,"64,65,66,67",494.632,82.122
6occ_config2,2,6,"30,40,30,40,30,40,0,0",30/40/30/40/30/40,ok,ok,4.134247277598168,6.986899563318778,1.6900052401746726,No-Offloading 空闲核,"66,67",241.882,143.125
8occ_config2,2,8,"30,40,30,40,30,40,30,40",30/40/30/40/30/40/30/40,ok,ok,8.388909861163542,3.3739671443079486,0.402193753437229,基线,"60,61,62,63,64,65,66,67",119.205,296.387
2occ_config3,3,2,"50,50,0,0,0,0,0,0",50/50,ok,ok,6.795140115789188,12.410088905876922,1.8263183237444713,No-Offloading 空闲核,"62,63,64,65,66,67",147.164,80.5796
4occ_config3,3,4,"50,50,60,60,0,0,0,0",50/50/60/60,ok,ok,1.5304232844720194,13.554635346422595,8.856788500247372,No-Offloading 空闲核,"64,65,66,67",653.414,73.7755
6occ_config3,3,6,"50,50,60,60,50,50,0,0",50/50/60/60/50/50,ok,ok,0.6981192666955223,9.224496573099524,13.21335338123922,No-Offloading 空闲核,"66,67",1432.42,108.407
8occ_config3,3,8,"50,50,60,60,50,50,60,60",50/50/60/60/50/50/60/60,ok,ok,0.596135847436914,0.6598264656395368,1.1068391013163539,基线,"60,61,62,63,64,65,66,67",1677.47,1515.55
2occ_config4,4,2,"90,90,0,0,0,0,0,0",90/90,ok,ok,1.227249855798142,14.554388293614407,11.859352213285828,No-Offloading 空闲核,"62,63,64,65,66,67",814.83,68.7078
4occ_config4,4,4,"90,90,100,100,0,0,0,0",90/90/100/100,ok,ok,0.7619628162145686,13.470988878351584,17.679325803948622,No-Offloading 空闲核,"64,65,66,67",1312.4,74.2336
6occ_config4,4,6,"90,90,100,100,90,90,0,0",90/90/100/100/90/90,ok,ok,0.5992006663111409,7.897646501342599,13.180303269625652,No-Offloading 空闲核,"66,67",1668.89,126.62
8occ_config4,4,8,"90,90,100,100,90,90,100,100",90/90/100/100/90/90/100/100,ok,ok,0.8437323343542494,0.7973210014351778,0.9449928241109872,基线,"60,61,62,63,64,65,66,67",1185.21,1254.2
